발주일,발주번호,상품번호,상품명,발송수량,입고수량,미입고수량,매입단가,미입고금액,쉽먼트번호,송장번호,집하,센터도착,하차,증거등급
2025-09-22,113919755,50342949,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰16프로",100,0,100,10740,1074000,39836141,460489345514;460489345525;460489345536;460489345540;460489345551,2025-09-30 18:56,2025-10-02 12:36,2025-10-03 18:33,집하+도착+하차
2025-08-29,112067182,53305588,"[20매]오하이 버디필름 장타 비거리스티커 드라이버 우드 헤드 보호 슬라이스방지 골프필름, 드라이버용, 1세트, 드라이버용 20매 95*48mm 단일색상",54,0,54,14000,756000,38926970,460218155353,2025-09-01 19:28,2025-09-04 12:24,2025-09-02 14:12,집하+도착+하차
2025-09-19,113783833,40840087,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰15프로, 1세트",68,0,68,9540,648720,39603921,460405288825;460405288836;460405288840;460405288851,2025-09-23 19:21,2025-09-25 11:22,2025-09-26 08:42,집하+도착+하차
2026-06-05,133402531,39017754,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15프로맥스",46,0,46,10740,494040,47281616,462550053814;462550057686;462550061013,2026-06-08 18:57,2026-06-09 15:55,2026-06-09 14:13,집하+도착+하차
2026-06-04,133347525,62178970,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17프로 1세트,45,0,45,10740,483300,47281799,462550099594;462550102313,2026-06-08 19:03,2026-06-09 08:35,2026-06-10 10:16,집하+도착+하차
2025-09-19,113783833,18371042,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰13프로맥스",40,0,40,10740,429600,39603921,460405288825;460405288836;460405288840;460405288851,2025-09-23 19:21,2025-09-25 11:22,2025-09-26 08:42,집하+도착+하차
2025-12-05,119441784,27686154,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰14",40,0,40,10740,429600,41766179,461028226050;461028226061;461028226072;461028226083;461028226094,2025-12-05 18:29,2025-12-10 11:43,2025-12-15 08:36,집하+도착+하차
2025-09-22,113919755,50342949,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰16프로",38,0,38,10740,408120,39836141,460489345514;460489345525;460489345536;460489345540;460489345551,2025-09-30 18:56,2025-10-02 12:36,2025-10-03 18:33,집하+도착+하차
2026-01-02,121364130,50342949,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰16프로",38,0,38,10740,408120,42626227,461279374872;461279374883,2026-01-06 18:55,2026-01-07 13:56,,집하+도착
2026-01-02,121364130,62178971,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17 1세트,34,0,34,10740,365160,42626227,461279374872;461279374883,2026-01-06 18:55,2026-01-07 13:56,,집하+도착
2025-10-10,114991787,41555857,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로, 1세트",29,0,29,11940,346260,40025947,460553718166,2025-10-13 19:35,2025-10-15 15:51,2025-10-15 11:14,집하+도착+하차
2026-03-27,127709958,62178971,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17 1세트,32,0,32,10740,343680,45021291,461993763965,2026-03-30 18:42,2026-03-31 11:54,2026-03-31 18:52,집하+도착+하차
2026-06-05,133402531,62178970,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17프로 1세트,27,0,27,10740,289980,47281616,462550053814;462550057686;462550061013,2026-06-08 18:57,2026-06-09 15:55,2026-06-09 14:13,집하+도착+하차
2025-09-12,113200617,55701817,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2매1세트, 갤럭시S25 울트라",25,0,25,10740,268500,39373869,460329038805;460329038816;460329038820;460329038831;460329038842;460329038853;460329038864;460329038875;460329038886,2025-09-15 19:23,2025-09-18 11:34,2025-09-18 17:36,집하+도착+하차
2026-03-27,127711266,62178967,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17프로맥스 1세트,21,0,21,10740,225540,45022383,461994194793,2026-03-30 18:42,2026-03-31 12:13,,집하+도착
2025-12-25,120915968,39017749,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15프로",36,17,19,10740,204060,42447750,461227900335,2025-12-30 18:09,2025-12-31 10:36,2025-12-31 14:03,집하+도착+하차
2026-01-02,121364130,18371038,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰13/13프로",17,0,17,10740,182580,42626227,461279374872;461279374883,2026-01-06 18:55,2026-01-07 13:56,,집하+도착
2025-08-25,111682239,41555857,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로, 1세트",15,1,14,11940,167160,38948976,460223542100;460223542111;460223542122;460223542133;460223542144,2025-09-02 18:25,2025-09-03 10:51,2025-09-03 10:02,집하+도착+하차
2025-12-05,119441784,48472778,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 갤럭시S24 울트라",15,0,15,10740,161100,41766179,461028226050;461028226061;461028226072;461028226083;461028226094,2025-12-05 18:29,2025-12-10 11:43,2025-12-15 08:36,집하+도착+하차
2026-01-02,121364130,39017747,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15",15,0,15,10740,161100,42626227,461279374872;461279374883,2026-01-06 18:55,2026-01-07 13:56,,집하+도착
2026-06-01,133036256,62178970,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17프로 1세트,15,0,15,10740,161100,47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착
2025-09-15,113349931,27686154,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰14",14,0,14,10740,150360,39552632,460380800165;460380802372,2025-09-19 18:09,2025-09-24 11:30,2025-09-24 12:03,집하+도착+하차
2026-03-19,127025060,50342949,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰16프로",14,0,14,10740,150360,44806906,461935367832,2026-03-23 18:53,2026-03-24 11:40,2026-03-24 09:31,집하+도착+하차
2026-03-25,127563338,39017749,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15프로",13,0,13,10740,139620,44984115,461977832072,2026-03-27 19:05,2026-03-28 08:35,,집하+도착
2025-12-05,119441784,40840087,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰15프로, 1세트",14,0,14,9540,133560,41766179,461028226050;461028226061;461028226072;461028226083;461028226094,2025-12-05 18:29,2025-12-10 11:43,2025-12-15 08:36,집하+도착+하차
2026-06-26,135233887,41555857,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로, 1세트",11,0,11,11940,131340,47994335,462721350140,2026-06-30 18:42,2026-07-01 08:49,2026-07-01 11:16,집하+도착+하차
2025-09-15,113349931,39017751,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15플러스",12,0,12,10740,128880,39552632,460380800165;460380802372,2025-09-19 18:09,2025-09-24 11:30,2025-09-24 12:03,집하+도착+하차
2025-09-05,112588227,41555886,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로맥스, 1세트",10,0,10,11940,119400,39101790,460255397873,2025-09-08 20:02,2025-09-09 09:10,2025-09-11 00:55,집하+도착+하차
2025-09-15,113349931,35373969,"오하이 EZ툴 아이폰 풀커버 사생활보호 프라이버시 강화유리필름 2매, 아이폰 14 프로맥스, 1세트",9,0,9,11940,107460,39552632,460380800165;460380802372,2025-09-19 18:09,2025-09-24 11:30,2025-09-24 12:03,집하+도착+하차
2025-10-10,114898481,41555857,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로, 1세트",59,50,9,11940,107460,40028672,460554719855;460554733564,2025-10-13 19:44,2025-10-15 11:18,2025-10-15 14:25,집하+도착+하차
2025-09-11,113127142,50342949,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰16프로",64,54,10,10740,107400,39377081,460330685732;460330692651,2025-09-15 19:30,2025-09-17 10:16,2025-09-19 17:02,집하+도착+하차
2025-09-08,112823925,39017749,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15프로",10,0,10,10740,107400,39410813,460339552083;460339552094;460339552105,2025-09-16 18:41,2025-09-17 15:41,2025-09-17 11:10,집하+도착+하차
2025-09-08,112823925,50342950,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰16프로맥스",10,0,10,10740,107400,39410813,460339552083;460339552094;460339552105,2025-09-16 18:41,2025-09-17 15:41,2025-09-17 11:10,집하+도착+하차
2025-09-22,113919755,27686155,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰14프로",31,21,10,10740,107400,39836141,460489345514;460489345525;460489345536;460489345540;460489345551,2025-09-30 18:56,2025-10-02 12:36,2025-10-03 18:33,집하+도착+하차
2025-09-11,113127996,48472778,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 갤럭시S24 울트라",12,3,9,10740,96660,39372559,460328270625;460328270636;460328270640;460328270651;460328270662;460328270673,2025-09-15 19:25,2025-09-17 11:36,2025-09-18 00:07,집하+도착+하차
2025-09-15,113351136,39017751,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15플러스",9,0,9,10740,96660,39551955,460380508022;460380508033;460380508044;460380508055;460380508066;460380508070;460380508081;460380508092,2025-09-19 18:09,2025-09-26 08:42,2025-09-27 00:51,집하+도착+하차
2026-03-10,126251674,50342949,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰16프로",9,0,9,10740,96660,44540706,461854887314,2026-03-16 18:58,2026-03-17 11:53,2026-03-17 10:35,집하+도착+하차
2025-08-26,111770670,41555886,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로맥스, 1세트",8,0,8,11940,95520,38913991,460212337793;460212337804;460212337815;460212337826,2025-09-01 19:14,2025-09-03 09:13,2025-09-05 15:13,집하+도착+하차
2025-11-06,117218465,63688990,오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2p 세트 아이폰17프로 1세트,8,0,8,11940,95520,40888195,460777816796,2025-11-07 18:38,2025-11-08 09:40,2025-11-08 17:13,집하+도착+하차
