물류센터,발주건수,납품확인수량,미입고수량,결손율(%)
이천4,75,1863,132,7.09
창원4,130,2681,43,1.6
안산3,88,4099,54,1.32
전라광주2,72,3883,45,1.16
서울,146,5050,54,1.07
경기광주3,252,5942,61,1.03
대구6,56,2038,20,0.98
고양1,167,6276,50,0.8
인천32,175,10608,83,0.78
창원3,61,2097,16,0.76
동탄1,115,4605,30,0.65
창원1,86,3836,24,0.63
이천2,104,4851,25,0.52
대구3,183,4542,23,0.51
전라광주4,39,1634,8,0.49
양산1,89,2306,11,0.48
인천14,47,2636,12,0.46
시흥2,89,3845,11,0.29
인천36,208,3176,9,0.28
인천4,72,5789,12,0.21
인천28,78,3511,5,0.14
대구2,64,2338,3,0.13
