발주일,발주번호,물류센터,상품번호,상품명,발송수량,쿠팡정산수량,미정산수량,매입단가,미정산금액,쿠팡정산금액,계산서번호,지급일,정산상태,쉽먼트번호,송장번호,집하,센터도착,하차,증거등급,쿠팡정산수량_재판정,미정산금액_재판정,연령기준일,연령기준일출처,경과일수,연령버킷
2025-08-29,112067182,이천4,53305588,"[20매]오하이 버디필름 장타 비거리스티커 드라이버 우드 헤드 보호 슬라이스방지 골프필름, 드라이버용, 1세트, 드라이버용 20매 95*48mm 단일색상",54,0,54,14000,756000,0,,,계산서 미발행(전량 미정산),38926970,460218155353,2025-09-01 19:28,2025-09-04 12:24,2025-09-02 14:12,집하+도착+하차,0,756000,2025-09-02,①하차일(제3자),338,181~365일
2026-06-04,133347525,전라광주2,62178970,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17프로 1세트,45,0,45,10740,483300,0,,,정산명세에 없음(전량 미정산),47281799,462550099594;462550102313,2026-06-08 19:03,2026-06-09 08:35,2026-06-10 10:16,집하+도착+하차,0,483300,2026-06-10,①하차일(제3자),57,31~60일
2025-09-22,113919755,인천32,50342949,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰16프로",138,100,38,10740,408120,1074000,27302148,2025-12-02,정산됨(일부),39836141,460489345514;460489345525;460489345536;460489345540;460489345551,2025-09-30 18:56,2025-10-02 12:36,2025-10-03 18:33,집하+도착+하차,100,408120,2025-10-03,①하차일(제3자),307,181~365일
2025-10-10,114991787,고양1,41555857,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로, 1세트",29,0,29,11940,346260,0,,,정산명세에 없음(전량 미정산),40025947,460553718166,2025-10-13 19:35,2025-10-15 15:51,2025-10-15 11:14,집하+도착+하차,0,346260,2025-10-15,①하차일(제3자),295,181~365일
2026-03-27,127709958,안산3,62178971,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17 1세트,32,0,32,10740,343680,0,,,정산명세에 없음(전량 미정산),45021291,461993763965,2026-03-30 18:42,2026-03-31 11:54,2026-03-31 18:52,집하+도착+하차,0,343680,2026-03-31,①하차일(제3자),128,91~180일
2025-12-25,120915968,창원4,39017749,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15프로",36,17,19,10740,204060,182580,28283897,2026-02-27,정산됨(일부),42447750,461227900335,2025-12-30 18:09,2025-12-31 10:36,2025-12-31 14:03,집하+도착+하차,17,204060,2025-12-31,①하차일(제3자),218,181~365일
2025-08-25,111682239,서울,41555857,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로, 1세트",15,1,14,11940,167160,11940,26863071,2025-10-31,정산됨(일부),38948976,460223542100;460223542111;460223542122;460223542133;460223542144,2025-09-02 18:25,2025-09-03 10:51,2025-09-03 10:02,집하+도착+하차,1,167160,2025-09-03,①하차일(제3자),337,181~365일
2025-12-05,119441784,안산3,48472778,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 갤럭시S24 울트라",15,0,15,10740,161100,0,,,정산명세에 없음(전량 미정산),41766179,461028226050;461028226061;461028226072;461028226083;461028226094,2025-12-05 18:29,2025-12-10 11:43,2025-12-15 08:36,집하+도착+하차,0,161100,2025-12-15,①하차일(제3자),234,181~365일
2026-06-01,133036256,이천4,62178970,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17프로 1세트,15,0,15,10740,161100,0,,,계산서 미발행(전량 미정산),47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착,0,161100,2026-06-09,②센터도착일(제3자),58,31~60일
2026-03-19,127025060,서울,50342949,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰16프로",14,0,14,10740,150360,0,,,계산서 미발행(전량 미정산),44806906,461935367832,2026-03-23 18:53,2026-03-24 11:40,2026-03-24 09:31,집하+도착+하차,0,150360,2026-03-24,①하차일(제3자),135,91~180일
2026-03-25,127563338,이천4,39017749,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15프로",13,0,13,10740,139620,0,,,계산서 미발행(전량 미정산),44984115,461977832072,2026-03-27 19:05,2026-03-28 08:35,,집하+도착,0,139620,2026-03-28,②센터도착일(제3자),131,91~180일
2026-06-26,135233887,경기광주3,41555857,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로, 1세트",11,0,11,11940,131340,0,,,정산명세에 없음(전량 미정산),47994335,462721350140,2026-06-30 18:42,2026-07-01 08:49,2026-07-01 11:16,집하+도착+하차,0,131340,2026-07-01,①하차일(제3자),36,31~60일
2025-09-15,113349931,경기광주3,39017751,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15플러스",12,0,12,10740,128880,0,,,정산명세에 없음(전량 미정산),39552632,460380800165;460380802372,2025-09-19 18:09,2025-09-24 11:30,2025-09-24 12:03,집하+도착+하차,0,128880,2025-09-24,①하차일(제3자),316,181~365일
2025-09-05,112588227,양산1,41555886,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로맥스, 1세트",10,0,10,11940,119400,0,,,정산명세에 없음(전량 미정산),39101790,460255397873,2025-09-08 20:02,2025-09-09 09:10,2025-09-11 00:55,집하+도착+하차,0,119400,2025-09-11,①하차일(제3자),329,181~365일
