adgroup_id,bep_g,product_count
grp-a001-02-000000043610882,1.4204,33
grp-a001-02-000000043610925,1.4264,34
grp-a001-02-000000043610930,1.2234,122
grp-a001-02-000000043615764,1.4204,15
grp-a001-02-000000044108257,1.5005,4
grp-a001-02-000000044108615,1.4204,6
grp-a001-02-000000044108616,1.5021,1
grp-a001-02-000000044299892,1.5002,1
grp-a001-02-000000044299955,1.4604,1
grp-a001-02-000000044299975,1.5106,1
grp-a001-02-000000044300022,1.4323,3
grp-a001-02-000000044300024,1.4293,2
grp-a001-02-000000044300027,1.4642,2
grp-a001-02-000000044300450,1.5022,1
grp-a001-02-000000044300513,1.4814,1
grp-a001-02-000000044490481,1.556,7
grp-a001-02-000000044490484,1.5379,8
grp-a001-02-000000044601438,1.5001,4
grp-a001-02-000000044601555,1.4916,4
grp-a001-02-000000044603941,1.5366,3
grp-a001-02-000000044603942,1.4566,3
grp-a001-02-000000044628749,1.5125,5
grp-a001-02-000000044743916,1.5035,5
grp-a001-02-000000044743917,1.5939,4
grp-a001-02-000000044743918,1.5035,5
grp-a001-02-000000044743919,1.5035,6
grp-a001-02-000000044744110,1.5939,3
grp-a001-02-000000044744111,1.5818,2
grp-a001-02-000000044744526,1.5939,1
grp-a001-02-000000044823468,1.5781,4
grp-a001-02-000000044825994,1.3849,5
grp-a001-02-000000044952212,1.7148,5
grp-a001-02-000000044952305,1.6042,6
grp-a001-02-000000045023176,1.4144,6
grp-a001-02-000000045023177,1.403,8
grp-a001-02-000000045023993,1.4989,4
grp-a001-02-000000045025481,1.507,2
grp-a001-02-000000045025482,1.435,2
grp-a001-02-000000045025483,1.4168,5
grp-a001-02-000000045087060,1.9071,2
grp-a001-02-000000045087074,1.6088,1
grp-a001-02-000000045329157,1.7993,4
grp-a001-02-000000045448744,1.8333,1
grp-a001-02-000000045687119,1.7463,2
grp-a001-02-000000045811975,1.4982,1
grp-a001-02-000000045949118,1.9451,2
grp-a001-02-000000045949119,1.9496,1
grp-a001-02-000000045949120,1.6042,1
grp-a001-02-000000045949121,1.6088,1
grp-a001-02-000000046072248,1.5125,8
grp-a001-02-000000046072553,1.7581,8
grp-a001-02-000000046072554,1.5584,7
grp-a001-02-000000046074558,1.7635,1
grp-a001-02-000000046074559,1.7847,1
grp-a001-02-000000046125958,1.8864,1
grp-a001-02-000000046125983,1.6088,1
grp-a001-02-000000046126151,1.9543,1
grp-a001-02-000000046126174,1.7855,1
grp-a001-02-000000046126176,1.514,1
grp-a001-02-000000046126252,1.9733,1
grp-a001-02-000000046126256,1.8065,1
grp-a001-02-000000046126369,1.8849,1
grp-a001-02-000000046126373,1.7334,1
grp-a001-02-000000046161213,1.9435,3
grp-a001-02-000000046161215,1.7517,3
grp-a001-02-000000046222149,1.9075,2
grp-a001-02-000000046222157,1.9075,2
grp-a001-02-000000046223421,1.841,3
grp-a001-02-000000046224017,1.9422,3
grp-a001-02-000000046224018,1.9334,5
grp-a001-02-000000046224076,2.1912,1
grp-a001-02-000000046224077,2.3227,1
grp-a001-02-000000046415318,1.8209,3
grp-a001-02-000000046415341,1.6946,3
grp-a001-02-000000046437508,1.4185,1
grp-a001-02-000000046838302,1.9159,2
grp-a001-02-000000046838304,1.7706,1
grp-a001-02-000000046838305,1.6946,2
grp-a001-02-000000047005161,1.625,1
grp-a001-02-000000047005364,1.4885,1
grp-a001-02-000000047076131,1.8724,1
grp-a001-02-000000047076159,1.5716,1
grp-a001-02-000000047076722,1.8557,1
grp-a001-02-000000047076723,1.8724,1
grp-a001-02-000000047076737,1.5716,1
grp-a001-02-000000047076738,1.8724,1
grp-a001-02-000000047076745,1.7274,2
grp-a001-02-000000047076797,1.8396,3
grp-a001-02-000000047076945,1.6499,3
grp-a001-02-000000047076946,1.7512,5
grp-a001-02-000000047077161,1.8095,4
grp-a001-02-000000047485224,1.3977,14
grp-a001-02-000000049350416,1.8724,1
grp-a001-02-000000049354013,1.5716,1
grp-a001-02-000000051215431,1.8209,3
grp-a001-02-000000051215435,1.6946,3
grp-a001-02-000000052193550,1.2497,3
grp-a001-02-000000052193556,1.2423,2
grp-a001-02-000000052193617,1.2423,3
grp-a001-02-000000052193624,1.2423,4
grp-a001-02-000000052193631,1.3714,3
grp-a001-02-000000052350984,1.3306,20
grp-a001-02-000000052819145,1.3535,2
grp-a001-02-000000053481812,2.0955,1
grp-a001-02-000000053481831,2.0769,1
grp-a001-02-000000053481892,2.2159,1
grp-a001-02-000000053481974,1.8295,1
grp-a001-02-000000053482043,2.0769,1
grp-a001-02-000000053482102,2.2159,1
grp-a001-02-000000053482158,2.0769,1
grp-a001-02-000000053482203,1.9334,1
grp-a001-02-000000054204201,1.7106,1
grp-a001-02-000000054212607,1.2423,69
grp-a001-02-000000054282282,2.7546,1
grp-a001-02-000000054530371,1.5028,1
grp-a001-02-000000054536931,1.613,2
grp-a001-02-000000054537415,1.4264,14
grp-a001-02-000000054537529,1.5005,1
grp-a001-02-000000054537533,1.4168,1
grp-a001-02-000000054537767,1.7765,2
grp-a001-02-000000054538147,1.4204,1
grp-a001-02-000000054607977,1.2423,3
grp-a001-02-000000054608016,1.3503,2
grp-a001-02-000000055045417,1.5028,1
grp-a001-02-000000055074537,2.0477,2
grp-a001-02-000000055074671,1.9491,2
grp-a001-02-000000055087285,1.7343,2
grp-a001-02-000000055116659,1.2423,72
grp-a001-02-000000055116668,1.3977,88
grp-a001-02-000000055116672,1.4258,84
grp-a001-02-000000055116677,1.2234,68
grp-a001-02-000000055116682,1.4264,35
