adgroup_id,adgroup_name,campaign_name,campaign_type,parsed_model,matched_json_model,launch_kr,preorder_kr,announce_kr,source_tier,match_confidence,model_known,cost_365d,golf_flag
grp-a001-01-000000031116306,핸드폰필름,○ 00. 자사키워드,WEB_SITE,,,,,,,no_model,False,553593,False
grp-a001-01-000000031175118,00. 지문방지필름,○ 02. 파워링크_MO,WEB_SITE,,,,,,,no_model,False,312020,False
grp-a001-01-000000031176101,00. 강화유리필름,○ 02. 파워링크_MO,WEB_SITE,,,,,,,no_model,False,218882,False
grp-a001-01-000000031176229,01. 갤럭시,○ 02. 파워링크_MO,WEB_SITE,,,,,,,no_model,False,133640,False
grp-a001-01-000000031185769,00. 지문방지필름,○ 02. 파워링크_PC,WEB_SITE,,,,,,,no_model,False,82090,False
grp-a001-01-000000031185770,00. 강화유리필름,○ 02. 파워링크_PC,WEB_SITE,,,,,,,no_model,False,20670,False
grp-a001-01-000000031185773,01. 갤럭시,○ 02. 파워링크_PC,WEB_SITE,,,,,,,no_model,False,21620,False
grp-a001-01-000000031186688,02. 아이폰12,○ 02. 파워링크_MO,WEB_SITE,iphone:UNKNOWN_12,,,,,,unresolved,True,40180,False
grp-a001-01-000000032245671,01. 갤럭시S23,○ 02. 파워링크_MO,WEB_SITE,galaxy_s:S23,갤럭시 S23 (+/울트라/FE),2023-02-17,2023-02-07,2023-02-01,unverified,exact,True,690520,False
grp-a001-01-000000037423343,00. 일반필름,○ 02. 파워링크_MO,WEB_SITE,,,,,,,no_model,False,235400,False
grp-a001-01-000000037423348,00. 사생활보호필름,○ 02. 파워링크_MO,WEB_SITE,,,,,,,no_model,False,478790,False
grp-a001-01-000000037423351,아이폰17_맥세이프케이스,○ 02. 파워링크_MO,WEB_SITE,iphone:17,아이폰17(추정 매핑),2025-09-19,,,inferred_from_order,fuzzy,True,134220,False
grp-a001-01-000000037423354,01. 갤럭시폴드6,○ 02. 파워링크_MO,WEB_SITE,galaxy_z_fold:6,갤럭시 Z 폴드6,2024-07-19,2024-07-12,2024-07-10,official,exact,True,585524,False
grp-a001-01-000000037423356,01. 갤럭시 플립6,○ 02. 파워링크_MO,WEB_SITE,galaxy_z_flip:6,갤럭시 Z 플립6,2024-07-19,2024-07-12,2024-07-10,official,exact,True,553480,False
grp-a001-01-000000037423624,00. 일반필름,○ 02. 파워링크_PC,WEB_SITE,,,,,,,no_model,False,198842,False
grp-a001-01-000000037423628,00. 사생활보호필름,○ 02. 파워링크_PC,WEB_SITE,,,,,,,no_model,False,53120,False
grp-a001-01-000000037423635,01. 갤럭시폴드,○ 02. 파워링크_PC,WEB_SITE,,,,,,,no_model,False,238991,False
grp-a001-01-000000037423636,01. 갤럭시플립,○ 02. 파워링크_PC,WEB_SITE,,,,,,,no_model,False,214612,False
grp-a001-01-000000037840548,02. 아이폰15,○ 02. 파워링크_MO,WEB_SITE,iphone:15,아이폰15(추정 매핑),2023-09-22,,,inferred_from_order,fuzzy,True,178757,False
grp-a001-01-000000037842041,02. 아이폰15,○ 02. 파워링크_PC,WEB_SITE,iphone:15,아이폰15(추정 매핑),2023-09-22,,,inferred_from_order,fuzzy,True,32651,False
grp-a001-01-000000038737184,02. 아이폰13,○ 02. 파워링크_MO,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,165270,False
grp-a001-01-000000038737213,02. 아이폰14,○ 02. 파워링크_MO,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,129300,False
grp-a001-01-000000038737226,01. 갤럭시_이전기종,○ 02. 파워링크_MO,WEB_SITE,,,,,,,no_model,False,76090,False
grp-a001-01-000000038769329,02. 아이폰12,○ 02. 파워링크_PC,WEB_SITE,iphone:UNKNOWN_12,,,,,,unresolved,True,20740,False
grp-a001-01-000000038769330,02. 아이폰13,○ 02. 파워링크_PC,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,40780,False
grp-a001-01-000000038769331,02. 아이폰14,○ 02. 파워링크_PC,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,54490,False
grp-a001-01-000000038769333,02. 아이폰_이전기종,○ 02. 파워링크_PC,WEB_SITE,,,,,,,no_model,False,43680,False
grp-a001-01-000000038934985,02. 아이패드_종이질감,○ 02. 파워링크_MO,WEB_SITE,ipad:generic_gen_unknown,,,,,,unresolved,True,485280,False
grp-a001-01-000000038934999,02. 아이패드_종이질감,○ 02. 파워링크_PC,WEB_SITE,ipad:generic_gen_unknown,,,,,,unresolved,True,131580,False
grp-a001-01-000000038935115,01. 갤럭시탭_종이필름,○ 02. 파워링크_PC,WEB_SITE,galaxy_tab:generic_gen_unknown,,,,,,unresolved,True,48410,False
grp-a001-01-000000040080458,01. 갤럭시S23_지문방지필름,○ 02. 파워링크_PC,WEB_SITE,galaxy_s:S23,갤럭시 S23 (+/울트라/FE),2023-02-17,2023-02-07,2023-02-01,unverified,exact,True,145072,False
grp-a001-01-000000040080459,01. 갤럭시S24,○ 02. 파워링크_MO,WEB_SITE,galaxy_s:S24,갤럭시 S24 (+/울트라),2024-01-31,2024-01-19,2024-01-17,official,exact,True,164810,False
grp-a001-01-000000040173278,02. 아이폰15_강화유리,○ 02. 파워링크_MO,WEB_SITE,iphone:15,아이폰15(추정 매핑),2023-09-22,,,inferred_from_order,fuzzy,True,827484,False
grp-a001-01-000000040173279,02. 아이폰15_사생활 강화유리,○ 02. 파워링크_MO,WEB_SITE,iphone:15,아이폰15(추정 매핑),2023-09-22,,,inferred_from_order,fuzzy,True,205340,False
grp-a001-01-000000040173283,02. 아이폰15_지문방지,○ 02. 파워링크_MO,WEB_SITE,iphone:15,아이폰15(추정 매핑),2023-09-22,,,inferred_from_order,fuzzy,True,166856,False
grp-a001-01-000000040173285,02. 아이폰15_강화유리,○ 02. 파워링크_PC,WEB_SITE,iphone:15,아이폰15(추정 매핑),2023-09-22,,,inferred_from_order,fuzzy,True,105050,False
grp-a001-01-000000040173291,02. 아이폰_사생활보호,○ 02. 파워링크_PC,WEB_SITE,,,,,,,no_model,False,71250,False
grp-a001-01-000000040173293,02. 아이폰15_지문방지,○ 02. 파워링크_PC,WEB_SITE,iphone:15,아이폰15(추정 매핑),2023-09-22,,,inferred_from_order,fuzzy,True,77661,False
grp-a001-01-000000040189692,01. 갤럭시S24_사생활보호,○ 02. 파워링크_MO,WEB_SITE,galaxy_s:S24,갤럭시 S24 (+/울트라),2024-01-31,2024-01-19,2024-01-17,official,exact,True,185370,False
grp-a001-01-000000040189693,01. 갤럭시S23_사생활보호,○ 02. 파워링크_MO,WEB_SITE,galaxy_s:S23,갤럭시 S23 (+/울트라/FE),2023-02-17,2023-02-07,2023-02-01,unverified,exact,True,426247,False
grp-a001-01-000000040189696,01. 갤럭시S_사생활보호,○ 02. 파워링크_PC,WEB_SITE,,,,,,,no_model,False,168200,False
grp-a001-01-000000040211251,01. 갤럭시_S22/S21/S20/노트20_사생활보호,○ 02. 파워링크_MO,WEB_SITE,note:노트20,,,,,,unresolved,True,70020,False
grp-a001-01-000000040284140,01. 갤럭시S24_강화유리,○ 02. 파워링크_MO,WEB_SITE,galaxy_s:S24,갤럭시 S24 (+/울트라),2024-01-31,2024-01-19,2024-01-17,official,exact,True,105290,False
grp-a001-01-000000040284151,01. 갤럭시S24_강화유리,○ 02. 파워링크_PC,WEB_SITE,galaxy_s:S24,갤럭시 S24 (+/울트라),2024-01-31,2024-01-19,2024-01-17,official,exact,True,27920,False
grp-a001-01-000000042724551,00. 태블릿_종이질감필름,○ 02. 파워링크_MO,WEB_SITE,,,,,,,no_model,False,35360,False
grp-a001-01-000000042969517,55. 갤럭시워치 실리콘 스트랩,○ 02. 파워링크_MO,WEB_SITE,,,,,,,no_model,False,132360,False
grp-a001-01-000000042969832,55. 갤럭시워치 스트랩,○ 02. 파워링크_PC,WEB_SITE,,,,,,,no_model,False,34664,False
grp-a001-01-000000043502507,50. 골프 버디 필름,○ 02. 파워링크_MO,WEB_SITE,,,,,,,no_model,False,203170,True
grp-a001-01-000000043935093,골프필름,○ 00. 자사키워드,WEB_SITE,,,,,,,no_model,False,44286,True
grp-a001-01-000000044377702,37 LG_지문방지필름,○ 02. 파워링크_MO,WEB_SITE,,,,,,,no_model,False,10820,False
grp-a001-01-000000044378320,37 LG_지문방지필름,○ 02. 파워링크_PC,WEB_SITE,,,,,,,no_model,False,6720,False
grp-a001-01-000000044807690,02. 아이폰16_강화유리,○ 02. 파워링크_MO,WEB_SITE,iphone:16,아이폰16(추정 매핑),2024-09-20,,,inferred_from_order,fuzzy,True,1298350,False
grp-a001-01-000000044807691,02. 아이폰16_지문방지,○ 02. 파워링크_MO,WEB_SITE,iphone:16,아이폰16(추정 매핑),2024-09-20,,,inferred_from_order,fuzzy,True,61070,False
grp-a001-01-000000044808405,02. 아이폰16_사생활보호,○ 02. 파워링크_MO,WEB_SITE,iphone:16,아이폰16(추정 매핑),2024-09-20,,,inferred_from_order,fuzzy,True,204050,False
grp-a001-01-000000044808498,02. 아이폰16_강화유리,○ 02. 파워링크_PC,WEB_SITE,iphone:16,아이폰16(추정 매핑),2024-09-20,,,inferred_from_order,fuzzy,True,190453,False
