adgroup_id,adgroup_name,campaign_name,campaign_type,parsed_model,matched_json_model,launch_kr,preorder_kr,announce_kr,source_tier,match_confidence,model_known,cost_365d,golf_flag
grp-a001-01-000000031186688,02. 아이폰12,○ 02. 파워링크_MO,WEB_SITE,iphone:UNKNOWN_12,,,,,,unresolved,True,40180,False
grp-a001-01-000000038737184,02. 아이폰13,○ 02. 파워링크_MO,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,165270,False
grp-a001-01-000000038737213,02. 아이폰14,○ 02. 파워링크_MO,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,129300,False
grp-a001-01-000000038769329,02. 아이폰12,○ 02. 파워링크_PC,WEB_SITE,iphone:UNKNOWN_12,,,,,,unresolved,True,20740,False
grp-a001-01-000000038769330,02. 아이폰13,○ 02. 파워링크_PC,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,40780,False
grp-a001-01-000000038769331,02. 아이폰14,○ 02. 파워링크_PC,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,54490,False
grp-a001-01-000000038934985,02. 아이패드_종이질감,○ 02. 파워링크_MO,WEB_SITE,ipad:generic_gen_unknown,,,,,,unresolved,True,485280,False
grp-a001-01-000000038934999,02. 아이패드_종이질감,○ 02. 파워링크_PC,WEB_SITE,ipad:generic_gen_unknown,,,,,,unresolved,True,131580,False
grp-a001-01-000000038935115,01. 갤럭시탭_종이필름,○ 02. 파워링크_PC,WEB_SITE,galaxy_tab:generic_gen_unknown,,,,,,unresolved,True,48410,False
grp-a001-01-000000040211251,01. 갤럭시_S22/S21/S20/노트20_사생활보호,○ 02. 파워링크_MO,WEB_SITE,note:노트20,,,,,,unresolved,True,70020,False
grp-a001-01-000000045692018,01. 갤럭시 Z폴드SE_지문방지필름,○ 02. 파워링크_MO,WEB_SITE,galaxy_z_fold:SE_unresolved,,,,,,unresolved,True,28670,False
grp-a001-01-000000045694026,01. 갤럭시 Z폴드SE_지문방지필름,○ 02. 파워링크_PC,WEB_SITE,galaxy_z_fold:SE_unresolved,,,,,,unresolved,True,10980,False
grp-a001-01-000000046416698,01. 종이질감_K10 플러스,○ 04. 뮤패드,WEB_SITE,mupad:generic,,,,,,unresolved,True,40378,False
grp-a001-01-000000046416699,01. 종이질감_K11 LTE,○ 04. 뮤패드,WEB_SITE,mupad:generic,,,,,,unresolved,True,200787,False
grp-a001-01-000000046416701,01. 종이질감_K13 OLED,○ 04. 뮤패드,WEB_SITE,mupad:generic,,,,,,unresolved,True,72988,False
grp-a001-01-000000046416702,01. 종이질감_P11/GS10/RS10/10,○ 04. 뮤패드,WEB_SITE,mupad:generic,,,,,,unresolved,True,32435,False
grp-a001-01-000000046507364,01. 갤럭시탭_S7시리즈,○ 02. 파워링크_MO,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,99230,False
grp-a001-01-000000046581751,01. 갤럭시탭_S6시리즈,○ 02. 파워링크_MO,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,73460,False
grp-a001-01-000000046584475,01. 갤럭시탭_A9,○ 02. 파워링크_MO,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,27820,False
grp-a001-01-000000046585858,01. 갤럭시탭_A8,○ 02. 파워링크_MO,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,20580,False
grp-a001-01-000000046646662,01. 갤럭시S21,○ 02. 파워링크_MO,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,82739,False
grp-a001-01-000000046646763,01. 갤럭시S20,○ 02. 파워링크_MO,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,102720,False
grp-a001-01-000000046742693,01. 갤럭시 노트20,○ 02. 파워링크_MO,WEB_SITE,note:노트20,,,,,,unresolved,True,126560,False
grp-a001-01-000000046834534,01. 갤럭시탭_S5시리즈,○ 02. 파워링크_MO,WEB_SITE,galaxy_tab:generic_gen_unknown,,,,,,unresolved,True,8640,False
grp-a001-01-000000046835241,01. 갤럭시탭_A7,○ 02. 파워링크_MO,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,17941,False
grp-a001-01-000000046838157,01. 갤럭시탭_S7시리즈,○ 02. 파워링크_PC,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,11780,False
grp-a001-01-000000046838297,01. 갤럭시탭_S6시리즈,○ 02. 파워링크_PC,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,7870,False
grp-a001-01-000000046838896,01. 갤럭시탭_S5시리즈,○ 02. 파워링크_PC,WEB_SITE,galaxy_tab:generic_gen_unknown,,,,,,unresolved,True,540,False
grp-a001-01-000000046839232,01. 갤럭시탭_A9,○ 02. 파워링크_PC,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,12630,False
grp-a001-01-000000046939809,01. 갤럭시탭_S7 시리즈_6H BLC,○ 02. 파워링크_MO,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,11880,False
grp-a001-01-000000046954978,01. 갤럭시S21_사생활보호,○ 02. 파워링크_MO,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,118500,False
grp-a001-01-000000046962945,02. 아이폰14_사생활 강화유리,○ 02. 파워링크_MO,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,46690,False
grp-a001-01-000000046970893,02.아이패드_에어 4/5세대_종이질감,○ 02. 파워링크_MO,WEB_SITE,ipad:air5|ipad:air4,,,,,,unresolved,True,15170,False
grp-a001-01-000000046971480,02.아이패드_에어 4/5세대_종이질감,○ 02. 파워링크_PC,WEB_SITE,ipad:air5|ipad:air4,,,,,,unresolved,True,7070,False
