axis,bucket,count,pct
month_phase,중간,2432,61.0
month_phase,월말(말5일),1152,28.9
month_phase,월초(1~5일),402,10.1
weekday,Tuesday,1743,43.7
weekday,Wednesday,689,17.3
weekday,Thursday,659,16.5
weekday,Friday,494,12.4
weekday,Monday,392,9.8
weekday,Sunday,7,0.2
weekday,Saturday,2,0.1
hour,15,683,17.1
hour,13,605,15.2
hour,10,591,14.8
hour,16,481,12.1
hour,11,454,11.4
hour,9,275,6.9
hour,14,229,5.7
hour,17,220,5.5
hour,8,119,3.0
hour,12,87,2.2
hour,18,82,2.1
hour,3,76,1.9
hour,2,27,0.7
hour,21,22,0.6
hour,20,17,0.4
hour,1,16,0.4
hour,4,1,0.0
hour,22,1,0.0
launch_proximity_14d,within_14d_of_any_launch,2392,60.0
launch_proximity_14d,baseline_calendar_rate(728일창 중 ±14일 비율),406,55.8
