adgroup_id,adgroup_name,campaign_type,band_total,band_baseline_only,direction,dominant_label,dominant_excess,cost_total,conv_amt_total
grp-a001-01-000000052260531,01. 갤럭시 폴드7,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),F3,-1178613.3,1900099,3840230
grp-a001-02-000000052176575,폴드7,SHOPPING,band1,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F1b,951590.27,8705950,17894020
grp-a001-02-000000052176555,플립7,SHOPPING,band2,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F1b,488310.33,4103720,7924220
grp-a001-01-000000052225586,01. 갤럭시 플립7,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),F3,-289963.9,357459,618920
grp-a001-01-000000054618773,17 아이폰_맥세이프케이스,WEB_SITE,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F3,277177.57,84703,63510
grp-a001-01-000000054671417,00. 아이폰17_강화유리,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),F3,-269493.02,400098,810920
grp-a001-01-000000055142639,01. 갤럭시탭_S11,WEB_SITE,band1,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F3,257565.06,185665,679200
grp-a001-01-000000054666555,00. 아이폰17_사생활,WEB_SITE,band1,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F3,247273.17,409970,1113290
grp-a001-02-000000047485224,S25FE,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-243697.24,5847026,11785240
grp-a001-02-000000059830952,Z플립7,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-202602.92,1883183,3752690
grp-a001-02-000000052819145,00. Z플립폴드7,SHOPPING,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F1b,-163422.02,1298273,1595220
grp-a001-01-000000054671419,00. 아이폰17_사생활,WEB_SITE,band1,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F3,162750.96,95030,296210
grp-a001-02-000000043610930,03. 컨텐츠매체_03,SHOPPING,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-142564.56,1460976,2356760
grp-a001-02-000000054537415,S24플러스,SHOPPING,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-140339.77,1073844,1771140
grp-a001-01-000000044807690,02. 아이폰16_강화유리,WEB_SITE,band1,band2,band_total이_더_우수(요인이_없으면_더_나쁨),휴가창,137191.78,1293400,2960120
grp-a001-02-000000044601438,16프로,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-125144.29,2520924,4964570
grp-a001-02-000000054536931,Z플립6,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-114062.69,1760957,3477370
grp-a001-01-000000070136001,골프버디필름(스마트스토어)_MO,WEB_SITE,band1,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),휴가창,111465.52,88012,242900
grp-a001-02-000000055074537,01. 갤럭시탭S11,SHOPPING,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),F3,108608.44,858520,1516610
grp-a001-02-000000046072553,03. 아이폰15,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-97579.45,560516,1105460
grp-a001-02-000000055074671,01. 갤럭시탭S11_종이질감,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-86878.8,427797,795400
grp-a001-02-000000047076722,01. 아이패드에어4/5세대10.9인치,SHOPPING,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),휴가창,85333.4,516809,922850
grp-a001-01-000000060531709,플립5_지문방지,WEB_SITE,band1,band2,band_total이_더_우수(요인이_없으면_더_나쁨),주말,83638.58,249015,594200
grp-a001-01-000000060480728,S23울트라_지문방지_TPU,WEB_SITE,band3,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-82221.27,524119,839800
grp-a001-01-000000048499536,50. 골프버디필름,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-79607.0,572000,1028700
grp-a001-02-000000046843736,,SHOPPING,band2,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),휴가창,-74987.0,45250,77910
grp-a001-01-000000060824082,지문방지필름,WEB_SITE,band3,band1,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-74487.9,276802,427200
grp-a001-01-000000052822210,00. 폴드7 케이스,WEB_SITE,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F2,-71965.61,324970,290400
grp-a001-02-000000046224076,01. 갤럭시탭S10/플러스_지문방지,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-71220.92,983442,1956750
grp-a001-02-000000045023177,S21울트라,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-70749.98,1367556,2645530
grp-a001-02-000000059820987,S20,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-66796.24,180531,348600
grp-a001-01-000000037423351,아이폰17_맥세이프케이스,WEB_SITE,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),F3,-66414.73,133990,85530
grp-a001-02-000000043624094,,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-66142.32,592490,1204520
grp-a001-02-000000059879629,17프로,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),F3,-64206.09,266700,475610
grp-a001-01-000000060480724,S24울트라_지문방지_TPU,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-63884.3,673901,1256800
grp-a001-02-000000059830521,16,SHOPPING,band1,band2,band_total이_더_우수(요인이_없으면_더_나쁨),주말,62425.22,160717,435600
grp-a001-01-000000060603885,아이폰17_사생활보호,WEB_SITE,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),F3,61537.17,324980,667600
grp-a001-02-000000059810410,S22,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-61012.11,227796,397500
grp-a001-01-000000052822167,00. 플립7 케이스,WEB_SITE,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F2,-60108.98,210830,127360
grp-a001-01-000000060531711,플립6_지문방지,WEB_SITE,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-58699.26,284354,413800
grp-a001-01-000000060604029,아이폰15_강화유리,WEB_SITE,band3,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-58201.49,233285,366000
grp-a001-01-000000060825799,S9_종이질감,WEB_SITE,band1,band3,band_total이_더_우수(요인이_없으면_더_나쁨),주말,56738.4,85302,266200
grp-a001-01-000000037423356,01. 갤럭시 플립6,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-55601.37,553480,1022030
grp-a001-02-000000044299955,03. S20FE,SHOPPING,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-55333.31,614282,971210
grp-a001-02-000000043610925,02. 컨텐츠매체_02,SHOPPING,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-51979.96,601543,952480
grp-a001-02-000000043624057,,SHOPPING,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),휴가창,51921.76,356630,640320
grp-a001-02-000000061581308,S26플러스_맥,SHOPPING,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F3,49272.0,47408,0
grp-a001-01-000000046835750,02.아이패드_에어 6(M2)세대_종이질감,WEB_SITE,band1,band2,band_total이_더_우수(요인이_없으면_더_나쁨),주말,47651.36,83860,221800
grp-a001-01-000000060792987,아이폰17프로_사생활보호,WEB_SITE,band1,band3,band_total이_더_우수(요인이_없으면_더_나쁨),F3,46443.58,206111,492200
grp-a001-01-000000055151707,01. 갤럭시탭_S11,WEB_SITE,band1,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F3,46074.92,90800,344100
grp-a001-02-000000059820998,S20플러스,SHOPPING,band1,band3,band_total이_더_우수(요인이_없으면_더_나쁨),주말,44118.4,103341,232500
grp-a001-01-000000060604040,아이폰16프로_강화유리,WEB_SITE,band1,band3,band_total이_더_우수(요인이_없으면_더_나쁨),휴가창,42634.53,121642,241600
grp-a001-02-000000044603941,12프로,SHOPPING,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),휴가창,41849.73,691058,1244010
grp-a001-01-000000060481178,S22울트라_지문방지_TPU,WEB_SITE,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),주말,41613.78,291777,518900
grp-a001-02-000000046074558,05. 아이폰13,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-39929.84,452833,927200
grp-a001-01-000000060826108,S11울트라_종이질감,WEB_SITE,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-38925.25,273484,452200
grp-a001-02-000000059811691,S25플러스,SHOPPING,band1,band2,band_total이_더_우수(요인이_없으면_더_나쁨),주말,37518.86,159794,367700
grp-a001-02-000000059808403,S25,SHOPPING,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-36828.57,175345,251400
grp-a001-01-000000037423636,01. 갤럭시플립,WEB_SITE,band1,band3,band_total이_더_우수(요인이_없으면_더_나쁨),주말,36669.94,213742,452830
grp-a001-02-000000059832147,폴드7,SHOPPING,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),공휴일,35838.46,667273,1256200
grp-a001-01-000000060554863,폴드6_지문방지,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-35797.09,234971,416600
grp-a001-02-000000044743916,03. 아이폰15 시리즈,SHOPPING,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),주말,35435.79,274697,489230
grp-a001-01-000000060617379,A17_지문방지_TPU,WEB_SITE,band1,band3,band_total이_더_우수(요인이_없으면_더_나쁨),F3,35273.9,118490,272300
grp-a001-02-000000052193613,03. 아이폰_13,SHOPPING,band3,band1,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-34704.32,92332,113920
grp-a001-01-000000060480727,S23플러스_지문방지_TPU,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-34697.46,211112,389500
grp-a001-02-000000055116686,벌크6,SHOPPING,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-34280.79,348639,545300
grp-a001-02-000000059820960,S21플러스,SHOPPING,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),주말,34063.41,170149,306900
grp-a001-01-000000038934999,02. 아이패드_종이질감,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-32858.15,131580,253810
grp-a001-01-000000060610039,노트10플러스_지문방지_TPU,WEB_SITE,band1,band3,band_total이_더_우수(요인이_없으면_더_나쁨),주말,32055.43,70629,184800
grp-a001-01-000000060604039,아이폰16_강화유리,WEB_SITE,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-31884.99,183166,265500
grp-a001-02-000000052193550,01. 갤럭시_S25,SHOPPING,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-31645.57,177749,226900
grp-a001-02-000000059823013,S21플러스,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-31491.92,232754,477000
grp-a001-01-000000040173283,02. 아이폰15_지문방지,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-31361.27,166366,306200
grp-a001-02-000000061581264,S26_맥,SHOPPING,band3,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-30223.53,71991,33800
grp-a001-01-000000047486489,01. 갤럭시S25_EZ강화유리,WEB_SITE,band3,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-30019.93,146480,244750
