adgroup_id,campaign_id,campaign_type,cost,conv_amt,conv_cnt,clk,n_days,band,roas,aov_used,aov_layer
grp-a001-01-000000031116306,cmp-a001-01-000000006006664,WEB_SITE,548772,8264340,405,2188,358,band1,15.059696923312414,20405.777777777777,adgroup
grp-a001-01-000000031175118,cmp-a001-01-000000005930052,WEB_SITE,312020,802250,44,497,192,band1,2.571149285302224,18232.954545454544,adgroup
grp-a001-01-000000031176101,cmp-a001-01-000000005930052,WEB_SITE,218882,610750,31,368,192,band1,2.790316243455378,19701.612903225807,adgroup
grp-a001-01-000000031176229,cmp-a001-01-000000005930052,WEB_SITE,133640,318510,19,282,192,band1,2.383343310386112,16763.684210526317,adgroup
grp-a001-01-000000031185769,cmp-a001-01-000000005314376,WEB_SITE,82090,308100,18,163,192,band1,3.7531977098306735,17116.666666666668,adgroup
grp-a001-01-000000031185770,cmp-a001-01-000000005314376,WEB_SITE,20670,35910,2,46,192,band2,1.737300435413643,17955.0,adgroup
grp-a001-01-000000031185773,cmp-a001-01-000000005314376,WEB_SITE,21620,115300,6,44,192,band1,5.333024976873266,19216.666666666668,adgroup
grp-a001-01-000000031186688,cmp-a001-01-000000005930052,WEB_SITE,40180,130410,6,45,192,band1,3.245644599303136,21735.0,adgroup
grp-a001-01-000000032245671,cmp-a001-01-000000005930052,WEB_SITE,690520,1496530,91,840,192,band1,2.167250767537508,16445.384615384617,adgroup
grp-a001-01-000000037423343,cmp-a001-01-000000005930052,WEB_SITE,235400,525600,26,464,192,band1,2.2327952421410364,20215.384615384617,adgroup
grp-a001-01-000000037423348,cmp-a001-01-000000005930052,WEB_SITE,478790,419020,23,562,193,band3,0.8751644771194051,18218.260869565216,adgroup
grp-a001-01-000000037423351,cmp-a001-01-000000005930052,WEB_SITE,134220,85530,5,447,141,band3,0.6372373714796603,17106.0,adgroup
grp-a001-01-000000037423354,cmp-a001-01-000000005930052,WEB_SITE,585524,1573150,79,987,192,band1,2.6867387160902028,19913.291139240508,adgroup
grp-a001-01-000000037423356,cmp-a001-01-000000005930052,WEB_SITE,553480,1022030,58,933,192,band2,1.8465527209655273,17621.206896551725,adgroup
grp-a001-01-000000037423624,cmp-a001-01-000000005314376,WEB_SITE,198842,452800,24,296,192,band1,2.2771849005743254,18866.666666666668,adgroup
grp-a001-01-000000037423628,cmp-a001-01-000000005314376,WEB_SITE,53120,285230,12,113,192,band1,5.369540662650603,23769.166666666668,adgroup
grp-a001-01-000000037423635,cmp-a001-01-000000005314376,WEB_SITE,238991,623130,27,313,193,band1,2.6073366779502156,23078.88888888889,adgroup
grp-a001-01-000000037423636,cmp-a001-01-000000005314376,WEB_SITE,214612,452830,24,312,192,band1,2.1099938493653663,18867.916666666668,adgroup
grp-a001-01-000000037840548,cmp-a001-01-000000005930052,WEB_SITE,178757,361100,19,175,193,band2,2.0200607528656223,19005.263157894737,adgroup
grp-a001-01-000000037842041,cmp-a001-01-000000005314376,WEB_SITE,32651,73600,4,37,191,band1,2.2541422927322285,18400.0,adgroup
grp-a001-01-000000038737184,cmp-a001-01-000000005930052,WEB_SITE,165270,439200,20,146,192,band1,2.6574695952078415,21960.0,adgroup
grp-a001-01-000000038737213,cmp-a001-01-000000005930052,WEB_SITE,129300,516250,28,157,192,band1,3.9926527455529777,18437.5,adgroup
grp-a001-01-000000038737226,cmp-a001-01-000000005930052,WEB_SITE,76090,63600,4,92,45,band3,0.8358522801945065,15900.0,adgroup
grp-a001-01-000000038769329,cmp-a001-01-000000005314376,WEB_SITE,20740,37800,2,24,192,band2,1.8225650916104146,18900.0,adgroup
