campaign_type,year_month,distinct_ad_date,expected_days_in_window,missing_days,missing_dates,rows,n_adgroups,cost,conv_amt,data_gap
SHOPPING,2025-07,10,10,0,,1062,112,10491250,22381100,False
SHOPPING,2025-08,31,31,0,,3678,145,20079580,45617690,False
SHOPPING,2025-09,30,30,0,,4041,153,29371060,56461010,False
SHOPPING,2025-10,31,31,0,,4266,144,13281810,24151830,False
SHOPPING,2025-11,30,30,0,,4172,140,6473450,13004950,False
SHOPPING,2025-12,31,31,0,,4491,225,14798970,27644380,False
SHOPPING,2026-01,31,31,0,,6463,215,22628410,41004420,False
SHOPPING,2026-02,27,28,1,2026-02-16,6597,294,10363440,15513300,False
SHOPPING,2026-03,22,31,9,2026-03-03;2026-03-04;2026-03-05;2026-03-10;2026-03-11;2026-03-26;2026-03-27;2026-03-28;2026-03-29,1404,287,585022,960610,True
SHOPPING,2026-04,30,30,0,,7406,287,3492718,7159900,False
SHOPPING,2026-05,31,31,0,,7044,277,5217009,9548910,False
SHOPPING,2026-06,30,30,0,,6195,220,10945632,23239380,False
SHOPPING,2026-07,31,31,0,,6499,235,15368187,27257200,False
SHOPPING,2026-08,16,16,0,,3179,210,9199252,15242140,False
WEB_SITE,2025-07,10,10,0,,1583,161,1903200,5407400,False
WEB_SITE,2025-08,31,31,0,,4995,165,3830850,11081910,False
WEB_SITE,2025-09,30,30,0,,5114,178,4103230,10709920,False
WEB_SITE,2025-10,31,31,0,,5331,179,3665030,8274600,False
WEB_SITE,2025-11,30,30,0,,5203,175,3931320,9423110,False
WEB_SITE,2025-12,31,31,0,,5484,182,4276730,11123430,False
WEB_SITE,2026-01,31,31,0,,5959,403,5293400,12468100,False
WEB_SITE,2026-02,27,28,1,2026-02-16,6717,299,3568310,10222410,False
WEB_SITE,2026-03,9,31,22,2026-03-03;2026-03-04;2026-03-05;2026-03-08;2026-03-10;2026-03-11;2026-03-13;2026-03-14;2026-03-15;2026-03-16;2026-03-17;2026-03-18;2026-03-19;2026-03-20;2026-03-21;2026-03-22;2026-03-23;2026-03-24;2026-03-26;2026-03-27;2026-03-28;2026-03-29,1597,460,524256,1286900,True
WEB_SITE,2026-04,30,30,0,,6304,229,3466361,9327900,False
WEB_SITE,2026-05,31,31,0,,6300,209,6232942,10758650,False
WEB_SITE,2026-06,30,30,0,,6091,205,7240084,14697280,False
WEB_SITE,2026-07,31,31,0,,6242,252,5848646,9346040,False
WEB_SITE,2026-08,16,16,0,,2828,196,2516080,4857190,False
