factor_label,campaign_type,baseline_variant,is_canonical,sum_excess,group_days,n_groups,sum_cost,sum_conv_amt,observed_roas,daily_avg_excess_per_group_day
F1a,ALL,V1,True,-50956.78049595057,24,12,111900,12900,0.11528150134048257,-2123.1991873312736
F1a,ALL,V2,False,-50956.78049595057,24,12,111900,12900,0.11528150134048257,-2123.1991873312736
F1a,SHOPPING,V1,True,-48432.42158581726,12,6,92740,0,0.0,-4036.0351321514386
F1a,SHOPPING,V2,False,-48432.42158581726,12,6,92740,0,0.0,-4036.0351321514386
F1a,WEB_SITE,V1,True,-2524.3589101333123,12,6,19160,12900,0.673277661795407,-210.36324251110935
F1a,WEB_SITE,V2,False,-2524.3589101333123,12,6,19160,12900,0.673277661795407,-210.36324251110935
F1b,ALL,V1,True,1543259.382573389,56,19,4256390,9877800,2.320698996097632,27558.20326023909
F1b,ALL,V2,False,1543259.382573389,56,19,4256390,9877800,2.320698996097632,27558.20326023909
F1b,SHOPPING,V1,True,1273447.6983786826,26,9,3779850,8526200,2.255697977432967,48978.75762994933
F1b,SHOPPING,V2,False,1273447.6983786826,26,9,3779850,8526200,2.255697977432967,48978.75762994933
F1b,WEB_SITE,V1,True,269811.6841947065,30,10,476540,1351600,2.8362781718218826,8993.722806490217
F1b,WEB_SITE,V2,False,269811.6841947065,30,10,476540,1351600,2.8362781718218826,8993.722806490217
F2,ALL,V1,True,45097.08743781679,676,36,11543689,20527310,1.7782279131047276,66.71166780742128
F2,ALL,V2,False,413438.844914376,676,36,11543689,20527310,1.7782279131047276,611.5959244295502
F2,SHOPPING,V1,True,375236.7671071832,288,16,9331285,16106350,1.7260591654847108,1302.905441344386
F2,SHOPPING,V2,False,716192.5728429058,288,16,9331285,16106350,1.7260591654847108,2486.779766815645
F2,WEB_SITE,V1,True,-330139.6796693664,388,20,2212404,4420960,1.998260715493192,-850.8754630653773
F2,WEB_SITE,V2,False,-302753.7279285298,388,20,2212404,4420960,1.998260715493192,-780.2931132178603
F3,ALL,V1,True,848347.9171454054,3000,72,9893940,19681650,1.9892631247005743,282.78263904846847
F3,ALL,V2,False,880739.5300478243,3000,72,9893940,19681650,1.9892631247005743,293.57984334927477
F3,SHOPPING,V1,True,2238501.7216218635,1351,33,6746700,12702000,1.8826982080128063,1656.9220737393512
F3,SHOPPING,V2,False,2273650.972569162,1351,33,6746700,12702000,1.8826982080128063,1682.9392839149978
F3,WEB_SITE,V1,True,-1390153.804476458,1649,39,3147240,6979650,2.2177050367941433,-843.028383551521
F3,WEB_SITE,V2,False,-1392911.442521338,1649,39,3147240,6979650,2.2177050367941433,-844.7006928570879
공휴일,ALL,V1,False,-1079525.3692848415,4547,746,6123704,11150240,1.8208326202572822,-237.41486019020044
공휴일,ALL,V2,True,-915911.6384980282,4547,746,6123704,11150240,1.8208326202572822,-201.43207356455426
공휴일,SHOPPING,V1,False,-636001.4334696246,2255,299,4393863,7721030,1.7572304826072183,-282.04054699318164
공휴일,SHOPPING,V2,True,-524454.4106658141,2255,299,4393863,7721030,1.7572304826072183,-232.57401803362043
공휴일,WEB_SITE,V1,False,-443523.9358152169,2292,447,1729841,3429210,1.9823845081715603,-193.50957060000738
공휴일,WEB_SITE,V2,True,-391457.2278322141,2292,447,1729841,3429210,1.9823845081715603,-170.79285682033773
연휴,ALL,V1,False,-1207277.5747712548,3206,712,3254100,5374700,1.6516702006699242,-376.5681767845461
연휴,ALL,V2,True,-1050319.0483091397,3206,712,3254100,5374700,1.6516702006699242,-327.61043303466613
연휴,SHOPPING,V1,False,-711228.397381441,1463,283,2588660,4007900,1.5482527639782744,-486.1438122908004
연휴,SHOPPING,V2,True,-429487.49914885923,1463,283,2588660,4007900,1.5482527639782744,-293.566301537156
연휴,WEB_SITE,V1,False,-496049.1773898138,1743,429,665440,1366800,2.0539793219523923,-284.5950530062041
연휴,WEB_SITE,V2,True,-620831.5491602805,1743,429,665440,1366800,2.0539793219523923,-356.1856277454277
주말,ALL,V1,False,-7762658.532921446,30606,771,47580386,86855790,1.8254536648777924,-253.6319196537099
주말,ALL,V2,True,-8020469.9127575755,30606,771,47580386,86855790,1.8254536648777924,-262.05547646728013
주말,SHOPPING,V1,False,-3397295.487401139,15043,312,36064791,64503490,1.7885446778271916,-225.83896080576608
주말,SHOPPING,V2,True,-3749033.3690614086,15043,312,36064791,64503490,1.7885446778271916,-249.22112404848824
주말,WEB_SITE,V1,False,-4365363.045520307,15563,459,11515595,22352300,1.941046033661309,-280.49624400952945
주말,WEB_SITE,V2,True,-4271436.543696167,15563,459,11515595,22352300,1.941046033661309,-274.4610000447322
휴가창,ALL,V1,True,284529.61081322643,14240,600,22937760,49648440,2.1644851110134558,19.981011995310844
휴가창,ALL,V2,False,-2554685.738888191,14240,600,22937760,49648440,2.1644851110134558,-179.4020884050696
휴가창,SHOPPING,V1,True,596232.0226246695,6680,235,18254089,38000380,2.081746177527676,89.25629081207627
휴가창,SHOPPING,V2,False,-2652138.6212211545,6680,235,18254089,38000380,2.081746177527676,-397.02673970376566
휴가창,WEB_SITE,V1,True,-311702.4118114431,7560,365,4683671,11648060,2.4869509408325223,-41.23047775283639
휴가창,WEB_SITE,V2,False,97452.8823329632,7560,365,4683671,11648060,2.4869509408325223,12.890592901185608
