adgroup_id,campaign_type,cost,conv_amt,bep_g,product_count,ad_profit_account,ad_profit_prod,band_account,band_prod,diverges
grp-a001-01-000000031116306,WEB_SITE,548692,8228740,,,4260624.19,,band1,not_judged_no_bep,False
grp-a001-01-000000031175118,WEB_SITE,312020,802250,,,156857.85,,band1,not_judged_no_bep,False
grp-a001-01-000000031176101,WEB_SITE,218882,610750,,,138073.0,,band1,not_judged_no_bep,False
grp-a001-01-000000031176229,WEB_SITE,133640,318510,,,52514.3,,band1,not_judged_no_bep,False
grp-a001-01-000000031185769,WEB_SITE,82090,308100,,,97980.13,,band1,not_judged_no_bep,False
grp-a001-01-000000031185770,WEB_SITE,20670,35910,,,317.73,,band2,not_judged_no_bep,False
grp-a001-01-000000031185773,WEB_SITE,21520,99400,,,36574.68,,band1,not_judged_no_bep,False
grp-a001-01-000000031186688,WEB_SITE,40180,130410,,,36038.59,,band1,not_judged_no_bep,False
grp-a001-01-000000032245671,WEB_SITE,690520,1496530,,,184132.25,,band1,not_judged_no_bep,False
grp-a001-01-000000037423343,WEB_SITE,234450,525600,,,72738.78,,band1,not_judged_no_bep,False
grp-a001-01-000000037423348,WEB_SITE,477740,419020,,,-232842.28,,band3,not_judged_no_bep,False
grp-a001-01-000000037423351,WEB_SITE,133990,85530,,,-84001.69,,band3,not_judged_no_bep,False
grp-a001-01-000000037423354,WEB_SITE,585014,1573150,,,334419.08,,band1,not_judged_no_bep,False
grp-a001-01-000000037423356,WEB_SITE,553480,1022030,,,43849.05,,band2,not_judged_no_bep,False
grp-a001-01-000000037423624,WEB_SITE,197502,452800,,,67138.56,,band1,not_judged_no_bep,False
grp-a001-01-000000037423628,WEB_SITE,53120,285230,,,113583.68,,band1,not_judged_no_bep,False
grp-a001-01-000000037423635,WEB_SITE,236711,623130,,,127479.53,,band1,not_judged_no_bep,False
grp-a001-01-000000037423636,WEB_SITE,213742,452830,,,50916.09,,band1,not_judged_no_bep,False
grp-a001-01-000000037840548,WEB_SITE,177937,361100,,,33109.17,,band2,not_judged_no_bep,False
grp-a001-01-000000037842041,WEB_SITE,32651,73600,,,10364.78,,band1,not_judged_no_bep,False
grp-a001-01-000000038737184,WEB_SITE,165270,439200,,,91421.99,,band1,not_judged_no_bep,False
grp-a001-01-000000038737213,WEB_SITE,129300,516250,,,172424.14,,band1,not_judged_no_bep,False
grp-a001-01-000000038737226,WEB_SITE,76090,63600,,,-38918.76,,band3,not_judged_no_bep,False
grp-a001-01-000000038769329,WEB_SITE,20740,37800,,,1352.34,,band2,not_judged_no_bep,False
grp-a001-01-000000038769330,WEB_SITE,40780,186900,,,68454.37,,band1,not_judged_no_bep,False
grp-a001-01-000000038769331,WEB_SITE,54490,115510,,,13020.23,,band1,not_judged_no_bep,False
grp-a001-01-000000038769333,WEB_SITE,43680,64500,,,-5982.75,,band3,not_judged_no_bep,False
grp-a001-01-000000038934985,WEB_SITE,483630,544600,,,-165336.6,,band3,not_judged_no_bep,False
grp-a001-01-000000038934999,WEB_SITE,131580,253810,,,16760.15,,band2,not_judged_no_bep,False
grp-a001-01-000000038935115,WEB_SITE,48410,111300,,,16639.68,,band1,not_judged_no_bep,False
grp-a001-01-000000040080458,WEB_SITE,145072,425710,,,103735.71,,band1,not_judged_no_bep,False
grp-a001-01-000000040080459,WEB_SITE,164810,618540,,,196697.89,,band1,not_judged_no_bep,False
grp-a001-01-000000040173278,WEB_SITE,825764,1406800,,,-3554.77,,band2,not_judged_no_bep,False
grp-a001-01-000000040173279,WEB_SITE,205340,552200,,,117395.24,,band1,not_judged_no_bep,False
grp-a001-01-000000040173283,WEB_SITE,166366,306200,,,12593.67,,band2,not_judged_no_bep,False
grp-a001-01-000000040173285,WEB_SITE,105050,166100,,,-7972.27,,band3,not_judged_no_bep,False
grp-a001-01-000000040173291,WEB_SITE,69370,139300,,,12044.38,,band2,not_judged_no_bep,False
grp-a001-01-000000040173293,WEB_SITE,77301,178900,,,27257.74,,band1,not_judged_no_bep,False
grp-a001-01-000000040189692,WEB_SITE,185370,439840,,,71696.04,,band1,not_judged_no_bep,False
grp-a001-01-000000040189693,WEB_SITE,424067,1330020,,,353267.89,,band1,not_judged_no_bep,False
grp-a001-01-000000040189696,WEB_SITE,168200,378030,,,52740.97,,band1,not_judged_no_bep,False
grp-a001-01-000000040211251,WEB_SITE,70020,157410,,,21978.83,,band1,not_judged_no_bep,False
grp-a001-01-000000040284140,WEB_SITE,105290,253600,,,42927.42,,band1,not_judged_no_bep,False
