adgroup_id,adgroup_name,campaign_name,campaign_type,model,cost,conv_amt,total_ad_profit,residual_v1,residual_v2,baseline_v1_daily,baseline_v2_used_fallback,n_days,n_baseline_days,band_total,band_baseline_only,baseline_unavailable,excess_F2,excess_F1b,excess_F1a,excess_연휴,excess_공휴일,excess_휴가창,excess_주말,excess_F3
grp-a001-02-000000054617868,02. 사생활,● 00. 아이폰_17,SHOPPING,아이폰17(추정 매핑),1764560,2289030,-426728.32,-3672930.09,-3819847.3,-20988.172,True,175,9,band3,band3,False,296827.38,0.0,0.0,62964.52,83952.69,104940.86,844856.7,1852659.63
grp-a001-01-000000067675781,맥세이프카드지갑(이지),○ 기타 파워링크,WEB_SITE,,811579,281600,-646996.88,-806693.9,-602238.43,-10614.3934,False,76,37,band3,band3,False,0.0,0.0,0.0,0.0,19717.0,158925.26,-18945.24,0.0
grp-a001-01-000000054618773,17 아이폰_맥세이프케이스,○ 02. 파워링크_PC,WEB_SITE,아이폰17(추정 매핑),84703,63510,-47584.36,-597460.0,-606827.33,-4267.5714,True,140,7,band3,band4_unjudgeable,False,102952.0,0.0,0.0,0.0,7925.14,0.0,161820.93,277177.57
grp-a001-02-000000054608016,00. 아이폰_17 맥세이프,● 12. 케이스/지갑/방수팩/셀카봉/충전기/스트랩,SHOPPING,아이폰17(추정 매핑),328215,94080,-273229.61,-556774.99,-838200.11,-1874.6633,True,297,80,band3,band3,False,-50101.93,0.0,0.0,6648.65,16011.97,38600.93,125581.41,146804.36
grp-a001-02-000000052959049,07. 맥세이프카드지갑,● 12. 케이스/지갑/방수팩/셀카봉/충전기/스트랩,SHOPPING,,727237,422370,-480381.36,-459413.79,-433273.76,-1578.7416,True,291,186,band3,band3,False,0.0,0.0,0.0,7893.71,-34028.32,16707.64,-11540.59,0.0
grp-a001-02-000000054204201,09. 셀카봉,● 12. 케이스/지갑/방수팩/셀카봉/충전기/스트랩,SHOPPING,,856987,754470,-416034.34,-316708.54,-312885.18,-1740.1568,False,182,124,band3,band3,False,0.0,0.0,0.0,3080.78,-6885.75,0.0,-95520.84,0.0
grp-a001-02-000000070109616,맥세이프_MO,● [P_삭제금지]맥세이프카드케이스_쇼검,SHOPPING,,295745,67600,-256235.94,-315433.47,-315433.47,-39429.1838,True,8,4,band3,band3,False,0.0,0.0,0.0,0.0,17162.71,38055.18,3979.63,0.0
grp-a001-02-000000054530371,S25울트라,● 01. 갤럭시_지문방지_TPU,SHOPPING,갤럭시 S25 (+/울트라/FE),1948527,3142760,-111729.81,-312260.23,-343970.87,-1062.1096,False,294,186,band3,band3,False,0.0,0.0,0.0,11713.2,29545.34,2773.61,156498.27,0.0
grp-a001-01-000000060823768,셀카봉,○ 기타 파워링크,WEB_SITE,,426199,268800,-269097.89,-286234.38,-262405.89,-2120.2546,False,135,75,band3,band3,False,0.0,0.0,0.0,-2918.98,-4488.47,25998.35,-1454.41,0.0
grp-a001-02-000000061793423,S26울트라_일,소다케이스_갤럭시,SHOPPING,갤럭시 S26 (+/울트라),97028,106000,-35075.93,-284333.33,-284333.33,-4738.8889,True,60,9,band3,band3,False,18955.56,39445.93,1397.78,2047.78,4086.89,0.0,52321.67,131001.81
