ad_date,cost,conv_amt,clk,imp,ad_profit,n_grp,roas,dow,md,year,seg,is_summer
2025-07-22,1650090,5349400,1548,206882,1476385.7451782583,264,3.2418837760364587,1,07-22,2025,B 7/20-7/24 (창 초입),True
2025-07-23,2097640,5221400,1820,235444,954025.69257744,262,2.489178314677447,2,07-23,2025,B 7/20-7/24 (창 초입),True
2025-07-24,1822880,3739200,1675,258962,362508.66160140256,265,2.0512595453348546,3,07-24,2025,B 7/20-7/24 (창 초입),True
2025-07-25,1348800,2396000,1461,219913,51550.67212156621,265,1.776393831553974,4,07-25,2025,C 7/25-8/10 (절정),True
2025-07-26,1320700,2230600,1484,190634,-17017.942723553562,259,1.6889528280457333,5,07-26,2025,C 7/25-8/10 (절정),True
2025-07-27,1107040,1629400,1236,177928,-154731.4085330217,265,1.4718528689116925,6,07-27,2025,C 7/25-8/10 (절정),True
2025-07-28,883980,1737700,1042,214408,131624.90940970188,264,1.9657684562999163,0,07-28,2025,C 7/25-8/10 (절정),True
2025-07-29,773160,1835000,889,137796,299312.2384570426,266,2.373376791349785,1,07-29,2025,C 7/25-8/10 (절정),True
2025-07-30,733390,1872300,853,124732,360882.3553477498,267,2.5529390910702356,2,07-30,2025,C 7/25-8/10 (절정),True
2025-07-31,656770,1777500,801,125057,382096.1601402688,268,2.706426907440961,3,07-31,2025,C 7/25-8/10 (절정),True
2025-08-01,599200,1446300,737,125534,246095.14903565162,269,2.4137182910547397,4,08-01,2025,C 7/25-8/10 (절정),True
2025-08-02,690520,1395800,809,112289,125260.24547048504,264,2.021375195504837,5,08-02,2025,C 7/25-8/10 (절정),True
2025-08-03,649050,1717000,789,115853,354456.7212156633,264,2.6454048224327864,6,08-03,2025,C 7/25-8/10 (절정),True
2025-08-04,605590,1395700,773,140732,210131.80011689063,265,2.304694595353292,0,08-04,2025,C 7/25-8/10 (절정),True
2025-08-05,655930,1833000,840,141248,415373.3313851548,268,2.7945055112588233,1,08-05,2025,C 7/25-8/10 (절정),True
2025-08-06,698100,1796700,891,150308,351987.6680303915,282,2.573700042973786,2,08-06,2025,C 7/25-8/10 (절정),True
2025-08-07,675530,1704000,826,141642,320378.82524839265,288,2.5224638432045947,3,08-07,2025,C 7/25-8/10 (절정),True
2025-08-08,664770,1781500,776,138973,376433.97428404435,289,2.6798742422191135,4,08-08,2025,C 7/25-8/10 (절정),True
2025-08-09,747840,1517770,828,122695,139226.0432495616,283,2.029538403936671,5,08-09,2025,C 7/25-8/10 (절정),True
2025-08-10,656270,1494400,747,124073,217137.36411455282,287,2.277111554695476,6,08-10,2025,C 7/25-8/10 (절정),True
2025-08-11,721650,1660900,819,143097,249068.87784921093,292,2.3015312131919905,0,08-11,2025,D 8/11-8/15 (창 말미),True
2025-08-12,786060,2091770,871,147784,436482.37288135587,291,2.6610818512581735,1,08-12,2025,D 8/11-8/15 (창 말미),True
2025-08-13,785700,2197400,858,145627,498578.1998831092,283,2.7967417589410717,2,08-13,2025,D 8/11-8/15 (창 말미),True
2025-08-14,696260,1441940,744,128824,146486.9316189362,279,2.0709792318961306,3,08-14,2025,D 8/11-8/15 (창 말미),True
2025-08-15,678340,1025390,720,114177,-79047.18877849214,276,1.5116165934487131,4,08-15,2025,D 8/11-8/15 (창 말미),True
2025-08-16,846340,1857220,831,119153,239118.79602571588,277,2.1944135926459816,5,08-16,2025,E 8/16-8/31 (창 밖 後),True
2025-08-17,874510,1624180,857,120823,74747.74400935118,279,1.8572457719179885,6,08-17,2025,E 8/16-8/31 (창 밖 後),True
2025-08-18,876640,2341060,901,133425,491600.7948568088,281,2.670491878079942,0,08-18,2025,E 8/16-8/31 (창 밖 後),True
2025-08-19,888160,1932790,913,126118,241465.94973699583,281,2.1761732120338677,1,08-19,2025,E 8/16-8/31 (창 밖 後),True
2025-08-20,909540,2183840,857,109187,366813.00993571006,285,2.4010378872836817,2,08-20,2025,E 8/16-8/31 (창 밖 後),True
2025-08-21,877520,2423250,812,111691,538757.0309760374,284,2.7614755219254263,3,08-21,2025,E 8/16-8/31 (창 밖 後),True
2025-08-22,805880,1855670,774,105525,278672.8930450028,279,2.302662927483,4,08-22,2025,E 8/16-8/31 (창 밖 後),True
2025-08-23,855220,1786760,817,104051,189058.19988310922,277,2.08924019550525,5,08-23,2025,E 8/16-8/31 (창 밖 後),True
2025-08-24,951010,2069200,890,101813,258341.25657510222,278,2.1757920526598036,6,08-24,2025,E 8/16-8/31 (창 밖 後),True
2025-08-25,869800,2238440,816,118944,438464.17299824656,284,2.573511151988963,0,08-25,2025,E 8/16-8/31 (창 밖 後),True
2025-08-26,897970,2170600,859,134948,370644.8451198129,282,2.41722997427531,1,08-26,2025,E 8/16-8/31 (창 밖 後),True
2025-08-27,854390,2399080,835,151660,547760.7890122734,281,2.8079448495417783,2,08-27,2025,E 8/16-8/31 (창 밖 後),True
2025-08-28,777700,1804780,789,147238,277110.05260081816,284,2.320663494920921,3,08-28,2025,E 8/16-8/31 (창 밖 後),True
