ad_date,sentinel_cost,real_cost,diff
2026-02-16,0,0,0
2026-03-03,0,0,0
2026-03-04,0,0,0
2026-03-05,0,0,0
2026-03-10,0,0,0
2026-03-11,0,0,0
2026-03-26,0,0,0
2026-03-27,0,0,0
2026-03-28,0,0,0
2026-03-29,0,0,0
2026-07-04,866687,866685,2
2026-07-05,858716,858719,-3
2026-07-06,792491,792483,8
2026-07-07,627808,627816,-8
2026-07-08,618185,618185,0
2026-07-09,592975,592965,10
2026-07-10,523211,523208,3
2026-07-11,603609,603609,0
2026-07-12,659359,659369,-10
2026-07-13,616066,616080,-14
2026-07-14,705500,705503,-3
2026-07-15,781331,781317,14
2026-07-16,592890,592896,-6
2026-07-17,576212,576225,-13
2026-07-18,557878,557877,1
2026-07-19,539056,539060,-4
2026-07-20,673181,673173,8
2026-07-21,630527,630527,0
2026-07-22,636808,636799,9
2026-07-23,815438,815425,13
2026-07-24,622096,622092,4
2026-07-25,552646,552651,-5
2026-07-26,574939,574934,5
2026-07-27,775850,775862,-12
2026-07-28,959960,959962,-2
2026-07-29,925916,925912,4
2026-07-30,691677,691691,-14
2026-07-31,758565,758570,-5
2026-08-01,704684,704684,0
2026-08-02,755635,755642,-7
2026-08-03,950242,950239,3
2026-08-04,803108,803108,0
2026-08-05,675090,675089,1
2026-08-06,757725,757715,10
2026-08-07,789957,789957,0
2026-08-08,689605,689607,-2
2026-08-09,789263,789260,3
2026-08-10,735995,736007,-12
2026-08-11,703574,703574,0
2026-08-12,776520,776523,-3
2026-08-13,699952,699959,-7
2026-08-14,676289,676294,-5
2026-08-15,596047,596042,5
2026-08-16,611631,611632,-1
