dow,dow_name,campaign_type,n_group_days,mean_ad_profit,sum_cost,sum_conv_amt,roas
0,월,ALL,14923,462.39576899974304,22325004,50004550,2.239845063409619
1,화,ALL,14924,380.6729446730372,22556242,48314200,2.1419436801573597
2,수,ALL,14786,395.8188698014129,22612279,48703370,2.1538461470424983
3,목,ALL,15018,280.7086217365188,20340969,42016430,2.0656061173880165
4,금,ALL,15249,239.99151574607652,20226173,40868610,2.020580462749923
0,월,SHOPPING,7263,586.2016281814915,16829770,36080460,2.1438474797932474
1,화,SHOPPING,7268,434.3098694967039,17090461,34642660,2.027017293448082
2,수,SHOPPING,7298,449.8429191027571,17042850,34777450,2.040588868645796
3,목,SHOPPING,7401,277.62962979634295,14936771,29072470,1.946369131588079
4,금,SHOPPING,7532,167.07141576807825,15081133,27956910,1.853767220274498
0,월,WEB_SITE,7660,345.00647980430716,5495234,13924090,2.53384842210541
1,화,WEB_SITE,7656,329.7542966037569,5465781,13671540,2.501296703984298
2,수,WEB_SITE,7488,343.165623033089,5569429,13925920,2.500421497428192
3,목,WEB_SITE,7617,283.70030078985235,5404198,12943960,2.3951676085887303
4,금,WEB_SITE,7717,311.16349877501045,5145040,12911700,2.509543171676022
