op_id,op_date,op_type,entity_type,tier,campaign_id,n_groups,pre_avg,post_avg,pre_days,post_days
19,2026-07-25,extended_toggle,adgroup,A_확정,cmp-a001-01-000000010206612,6,-8996.710908028266,580.4383401519576,4,6
20,2026-07-25,extended_toggle,adgroup,A_확정,cmp-a001-01-000000010206612,6,-8996.710908028266,580.4383401519576,4,6
22,2026-07-26,status_flip,adgroup,A_확정,cmp-a001-01-000000010206612,6,-8996.710908028266,660.2974868497952,4,7
23,2026-07-26,status_flip,adgroup,A_확정,cmp-a001-01-000000010206612,6,-8996.710908028266,660.2974868497952,4,7
24,2026-07-26,status_flip,adgroup,A_확정,cmp-a001-01-000000010206612,6,-8996.710908028266,660.2974868497952,4,7
25,2026-07-28,campaign_add,campaign,A_확정,cmp-a001-02-000000010907625,3,,-5409.069290213651,0,3
26,2026-07-28,adgroup_add,adgroup,A_확정,cmp-a001-02-000000010907625,3,,-5409.069290213651,0,3
27,2026-07-28,adgroup_add,adgroup,A_확정,cmp-a001-02-000000010907625,3,,-5409.069290213651,0,3
28,2026-07-28,adgroup_add,adgroup,A_확정,cmp-a001-02-000000010907625,3,,-5409.069290213651,0,3
78,2026-07-28,status_flip,adgroup,A_확정,cmp-a001-01-000000010206612,6,-5626.8787453730765,3610.559934318554,6,7
79,2026-07-28,status_flip,adgroup,A_확정,cmp-a001-01-000000010206612,6,-5626.8787453730765,3610.559934318554,6,7
80,2026-07-28,status_flip,adgroup,A_확정,cmp-a001-01-000000010206612,6,-5626.8787453730765,3610.559934318554,6,7
81,2026-07-28,extended_toggle,adgroup,A_확정,cmp-a001-01-000000010206612,6,-5626.8787453730765,3610.559934318554,6,7
83,2026-07-29,budget_change,adgroup,A_확정,cmp-a001-02-000000008425541,3,-26343.02474186636,-7048.035178536644,7,7
97,2026-07-31,adgroup_add,adgroup,A_확정,cmp-a001-02-000000010164717,3,-601.3608026495227,-4034.4893545963123,1,7
98,2026-07-31,adgroup_add,adgroup,A_확정,cmp-a001-02-000000010164717,3,-601.3608026495227,-4034.4893545963123,1,7
99,2026-07-31,adgroup_add,adgroup,A_확정,cmp-a001-02-000000010164717,3,-601.3608026495227,-4034.4893545963123,1,7
103,2026-07-31,status_flip,campaign,A_확정,cmp-a001-02-000000010907625,3,-5409.069290213651,9818.819403857393,3,1
413,2026-08-07,adgroup_add,adgroup,A_확정,cmp-a001-01-000000010206612,6,6162.291228326513,-631.606843672595,7,7
414,2026-08-07,adgroup_add,adgroup,A_확정,cmp-a001-01-000000010206612,6,6162.291228326513,-631.606843672595,7,7
415,2026-08-07,adgroup_add,adgroup,A_확정,cmp-a001-01-000000010206612,6,6162.291228326513,-631.606843672595,7,7
416,2026-08-07,keyword_add,adgroup,A_확정,cmp-a001-01-000000010206612,6,6162.291228326513,-631.606843672595,7,7
432,2026-08-11,keyword_add,adgroup,A_확정,cmp-a001-01-000000010206612,6,488.51751737125716,-814.5212351451395,7,6
433,2026-08-11,keyword_add,adgroup,A_확정,cmp-a001-01-000000010206612,6,488.51751737125716,-814.5212351451395,7,6
106,2026-08-03,ad_edit,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,-12385.254480810443,6635.9288358242175,4,7
107,2026-08-03,ad_edit,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,-12385.254480810443,6635.9288358242175,4,7
387,2026-08-04,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,-13144.312293006042,8580.708190698837,5,7
388,2026-08-04,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,-13144.312293006042,8580.708190698837,5,7
397,2026-08-05,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-7048.035178536644,-304.12162199772035,7,7
398,2026-08-05,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-7048.035178536644,-304.12162199772035,7,7
399,2026-08-05,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-7048.035178536644,-304.12162199772035,7,7
400,2026-08-05,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-7048.035178536644,-304.12162199772035,7,7
404,2026-08-05,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-7048.035178536644,-304.12162199772035,7,7
405,2026-08-05,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,-7253.829664263914,6858.5606857588145,6,7
406,2026-08-05,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,-7253.829664263914,6858.5606857588145,6,7
410,2026-08-06,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,2214.8360468676033,2114.7043778352927,7,7
411,2026-08-06,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,2214.8360468676033,2114.7043778352927,7,7
412,2026-08-06,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,2214.8360468676033,2114.7043778352927,7,7
417,2026-08-07,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,1273.7846149564418,134.22270462831304,7,7
418,2026-08-07,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,1273.7846149564418,134.22270462831304,7,7
421,2026-08-07,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,1273.7846149564418,134.22270462831304,7,7
422,2026-08-07,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,1273.7846149564418,134.22270462831304,7,7
434,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-1514.0165316857335,-11532.885089940908,7,6
435,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-1514.0165316857335,-11532.885089940908,7,6
436,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-1514.0165316857335,-11532.885089940908,7,6
437,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-1514.0165316857335,-11532.885089940908,7,6
438,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-1514.0165316857335,-11532.885089940908,7,6
439,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-1514.0165316857335,-11532.885089940908,7,6
440,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-1514.0165316857335,-11532.885089940908,7,6
441,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-1514.0165316857335,-11532.885089940908,7,6
442,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-1514.0165316857335,-11532.885089940908,7,6
443,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-1514.0165316857335,-11532.885089940908,7,6
444,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,8580.708190698837,-1832.5702967725188,7,6
445,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,8580.708190698837,-1832.5702967725188,7,6
446,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,8580.708190698837,-1832.5702967725188,7,6
447,2026-08-11,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,8580.708190698837,-1832.5702967725188,7,6
449,2026-08-12,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-304.12162199772035,-12716.469199298659,7,5
451,2026-08-12,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,-304.12162199772035,-12716.469199298659,7,5
452,2026-08-12,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,6858.5606857588145,-4227.7945451003325,7,5
453,2026-08-12,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,6858.5606857588145,-4227.7945451003325,7,5
454,2026-08-12,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,6858.5606857588145,-4227.7945451003325,7,5
455,2026-08-12,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,6858.5606857588145,-4227.7945451003325,7,5
456,2026-08-12,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,6858.5606857588145,-4227.7945451003325,7,5
457,2026-08-12,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,6858.5606857588145,-4227.7945451003325,7,5
458,2026-08-12,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,6858.5606857588145,-4227.7945451003325,7,5
460,2026-08-12,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,6858.5606857588145,-4227.7945451003325,7,5
461,2026-08-13,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,5267.53488630987,-5697.032534580168,7,4
462,2026-08-13,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,5267.53488630987,-5697.032534580168,7,4
463,2026-08-13,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,5267.53488630987,-5697.032534580168,7,4
464,2026-08-13,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,5267.53488630987,-5697.032534580168,7,4
465,2026-08-13,ad_edit,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,5267.53488630987,-5697.032534580168,7,4
466,2026-08-13,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,5267.53488630987,-5697.032534580168,7,4
467,2026-08-13,ad_edit,ad,B_ad레벨_상한,cmp-a001-02-000000010164717,3,5267.53488630987,-5697.032534580168,7,4
468,2026-08-14,bid_change,ad,B_ad레벨_상한,cmp-a001-02-000000008425541,3,134.22270462831304,-20909.84622378077,7,3
