adgroup_id,name,campaign_id,campaign_type,is_tpu3,first_seen,baseline_0615_0719_days,baseline_0615_0719_cost,baseline_0615_0719_conv_amt,baseline_0615_0719_ad_profit,F1b_0728_0806_days,F1b_0728_0806_cost,F1b_0728_0806_conv_amt,F1b_0728_0806_ad_profit,D0_D9_0807_0816_days,D0_D9_0807_0816_cost,D0_D9_0807_0816_conv_amt,D0_D9_0807_0816_ad_profit,full_0720_0816_days,full_0720_0816_cost,full_0720_0816_conv_amt,full_0720_0816_ad_profit
grp-a001-01-000000070094275,폴드8_PC,cmp-a001-01-000000010852962,WEB_SITE,False,2026-07-13,7,40396,0,-40396.0,0,0,0,0.0,0,0,0,0.0,2,322,0,-322.0
grp-a001-01-000000070109481,플립8_MO,cmp-a001-01-000000010852962,WEB_SITE,False,2026-07-13,7,67142,0,-67142.0,0,0,0,0.0,0,0,0,0.0,2,0,0,0.0
grp-a001-01-000000070110695,폴드8_MO,cmp-a001-01-000000010852962,WEB_SITE,False,2026-07-13,7,62010,0,-62010.0,0,0,0,0.0,0,0,0,0.0,2,550,0,-550.0
grp-a001-01-000000070110703,폴드8_컨텐츠 매체,cmp-a001-01-000000010852962,WEB_SITE,False,2026-07-14,6,4388,0,-4388.0,0,0,0,0.0,0,0,0,0.0,2,0,0,0.0
grp-a001-01-000000070111139,플립8_PC,cmp-a001-01-000000010852962,WEB_SITE,False,2026-07-13,7,14993,0,-14993.0,0,0,0,0.0,0,0,0,0.0,2,0,0,0.0
grp-a001-01-000000070111142,플립8_컨텐츠 매체,cmp-a001-01-000000010852962,WEB_SITE,False,2026-07-14,6,1721,0,-1721.0,0,0,0,0.0,0,0,0,0.0,2,0,0,0.0
grp-a001-01-000000070512941,폴드8_지문방지,cmp-a001-01-000000010206612,WEB_SITE,False,2026-07-21,0,0,0,0.0,10,211999,516220,89707.60432495616,10,189348,349800,15093.846873173574,26,489454,919420,47904.27001753357
grp-a001-01-000000070513016,폴드8울트라_지문방지,cmp-a001-01-000000010206612,WEB_SITE,False,2026-07-22,0,0,0,0.0,10,57385,182800,49453.10637054354,10,69663,132400,7718.6481589713585,24,146090,315200,38129.754529514896
grp-a001-01-000000070513065,플립8_지문방지,cmp-a001-01-000000010206612,WEB_SITE,False,2026-07-21,0,0,0,0.0,10,33040,44400,-7090.263004091175,10,37624,50400,-8167.541788427821,25,79128,94800,-23721.804792518997
grp-a001-01-000000071340947,폴드8_사생활,cmp-a001-01-000000010206612,WEB_SITE,False,2026-08-06,0,0,0,0.0,1,1640,0,-1640.0,10,48001,102700,12022.378141437755,11,49641,102700,10382.378141437755
grp-a001-01-000000071340962,폴드8울트라_사생활,cmp-a001-01-000000010206612,WEB_SITE,False,2026-08-06,0,0,0,0.0,1,31223,0,-31223.0,10,104864,80800,-57640.154295733475,11,136087,80800,-88863.15429573348
grp-a001-01-000000071340970,플립8_사생활,cmp-a001-01-000000010206612,WEB_SITE,False,2026-08-06,0,0,0,0.0,1,0,0,0.0,10,4149,0,-4149.0,11,4149,0,-4149.0
grp-a001-02-000000070451363,Z폴드8울트라,cmp-a001-02-000000008425541,SHOPPING,True,2026-07-20,0,0,0,0.0,10,332857,540600,-16901.41846873176,10,94899,134400,-16348.444769140857,28,500662,675000,-106155.8632378726
grp-a001-02-000000070523564,Z폴드8와이드,cmp-a001-02-000000008425541,SHOPPING,True,2026-07-21,0,0,0,0.0,10,1415428,1935260,-284358.45002922276,10,939121,1308720,-174234.9684395091,27,2716662,3423080,-716030.7901811808
grp-a001-02-000000070523694,Z플립8,cmp-a001-02-000000008425541,SHOPPING,True,2026-07-21,0,0,0,0.0,10,167769,224000,-36851.40794856809,10,46686,88800,5213.473991817649,27,289632,357200,-80865.19696084161
grp-a001-02-000000070833125,01. Z플립8,cmp-a001-02-000000010907625,SHOPPING,False,2026-07-28,0,0,0,0.0,3,5478,0,-5478.0,0,0,0,0.0,3,5478,0,-5478.0
grp-a001-02-000000070833126,02. Z폴드8 와이드,cmp-a001-02-000000010907625,SHOPPING,False,2026-07-28,0,0,0,0.0,3,16590,0,-16590.0,0,0,0,0.0,3,16590,0,-16590.0
grp-a001-02-000000070833127,03. Z폴드8 울트라,cmp-a001-02-000000010907625,SHOPPING,False,2026-07-28,0,0,0,0.0,4,50810,58200,-16794.80420806546,0,0,0,0.0,4,50810,58200,-16794.80420806546
grp-a001-02-000000070991863,폴드8,cmp-a001-02-000000010164717,SHOPPING,False,2026-07-30,0,0,0,0.0,8,557542,791220,-95110.67329047344,10,720602,1203340,-17305.682057276485,18,1278144,1994560,-112416.35534774992
