campaign_type,band,band3,n_groups,sum_cost,sum_ad_profit
SHOPPING,band1,<2.5,2,5910399,2362844.7199999997
SHOPPING,band1,"[2.5,4)",26,39376264,13767570.02
SHOPPING,band1,≥4,48,22986335,10785511.87
SHOPPING,band2,<2.5,1,4103720,527618.4
SHOPPING,band2,"[2.5,4)",14,32920703,4208940.49
SHOPPING,band2,≥4,29,14917132,1764901.9000000001
SHOPPING,band3,<2.5,8,484979,-228690.28999999998
SHOPPING,band3,"[2.5,4)",40,12523315,-3309153.67
SHOPPING,band3,≥4,178,34956548,-9861036.67
SHOPPING,cost0_excluded,<2.5,1,0,0.0
SHOPPING,cost0_excluded,"[2.5,4)",4,0,0.0
SHOPPING,cost0_excluded,≥4,15,0,0.0
WEB_SITE,band1,<2.5,141,19786875,15710220.17
WEB_SITE,band1,"[2.5,4)",73,8413751,6481789.59
WEB_SITE,band1,≥4,5,1750834,682713.65
WEB_SITE,band2,<2.5,30,8628328,964091.6
WEB_SITE,band2,"[2.5,4)",17,2315281,237062.66999999998
WEB_SITE,band2,≥4,1,20740,1352.34
WEB_SITE,band3,<2.5,87,6216479,-1554363.35
WEB_SITE,band3,"[2.5,4)",87,6833698,-3010004.25
WEB_SITE,band3,≥4,38,1281937,-839973.24
WEB_SITE,cost0_excluded,<2.5,1,0,0.0
WEB_SITE,cost0_excluded,"[2.5,4)",2,0,0.0
WEB_SITE,cost0_excluded,≥4,6,0,0.0
