adgroup_id,campaign_type,avg_rank,n_days,sum_cost,sum_conv_amt,sum_ad_profit,profit_per_group_day,band,band3
grp-a001-01-000000031116306,WEB_SITE,2.3496,355,548692,8228740,4260624.19,12001.76,band1,<2.5
grp-a001-01-000000031175118,WEB_SITE,2.1354,191,312020,802250,156857.85,821.25,band1,<2.5
grp-a001-01-000000031176101,WEB_SITE,2.4411,191,218882,610750,138073.0,722.9,band1,<2.5
grp-a001-01-000000031176229,WEB_SITE,2.2513,191,133640,318510,52514.3,274.94,band1,<2.5
grp-a001-01-000000031185769,WEB_SITE,2.5306,191,82090,308100,97980.13,512.98,band1,"[2.5,4)"
grp-a001-01-000000031185770,WEB_SITE,3.7313,191,20670,35910,317.73,1.66,band2,"[2.5,4)"
grp-a001-01-000000031185773,WEB_SITE,2.5872,191,21520,99400,36574.68,191.49,band1,"[2.5,4)"
grp-a001-01-000000031186688,WEB_SITE,2.0255,191,40180,130410,36038.59,188.68,band1,<2.5
grp-a001-01-000000032245671,WEB_SITE,2.4238,191,690520,1496530,184132.25,964.04,band1,<2.5
grp-a001-01-000000037423343,WEB_SITE,2.691,191,234450,525600,72738.78,380.83,band1,"[2.5,4)"
grp-a001-01-000000037423348,WEB_SITE,2.7886,191,477740,403120,-242135.09,-1267.72,band3,"[2.5,4)"
grp-a001-01-000000037423351,WEB_SITE,6.3212,140,133990,85530,-84001.69,-600.01,band3,≥4
grp-a001-01-000000037423354,WEB_SITE,2.3192,191,585014,1573150,334419.08,1750.89,band1,<2.5
grp-a001-01-000000037423356,WEB_SITE,2.3532,191,553480,1022030,43849.05,229.58,band2,<2.5
grp-a001-01-000000037423624,WEB_SITE,2.8423,191,197502,452800,67138.56,351.51,band1,"[2.5,4)"
grp-a001-01-000000037423628,WEB_SITE,3.5426,191,53120,285230,113583.68,594.68,band1,"[2.5,4)"
grp-a001-01-000000037423635,WEB_SITE,1.7572,191,236711,610330,119998.53,628.26,band1,<2.5
grp-a001-01-000000037423636,WEB_SITE,2.9074,191,213742,452830,50916.09,266.58,band1,"[2.5,4)"
grp-a001-01-000000037840548,WEB_SITE,2.3034,191,177937,342200,22063.0,115.51,band2,<2.5
grp-a001-01-000000037842041,WEB_SITE,2.6395,190,32651,73600,10364.78,54.55,band1,"[2.5,4)"
grp-a001-01-000000038737184,WEB_SITE,1.8677,191,165270,439200,91421.99,478.65,band1,<2.5
grp-a001-01-000000038737213,WEB_SITE,2.3685,191,129300,516250,172424.14,902.74,band1,<2.5
grp-a001-01-000000038737226,WEB_SITE,2.3445,45,76090,63600,-38918.76,-864.86,band3,<2.5
grp-a001-01-000000038769329,WEB_SITE,4.3693,191,20740,37800,1352.34,7.08,band2,≥4
grp-a001-01-000000038769330,WEB_SITE,3.2103,191,40780,186900,68454.37,358.4,band1,"[2.5,4)"
grp-a001-01-000000038769331,WEB_SITE,3.4387,191,54490,115510,13020.23,68.17,band1,"[2.5,4)"
grp-a001-01-000000038769333,WEB_SITE,2.7693,188,43680,64500,-5982.75,-31.82,band3,"[2.5,4)"
grp-a001-01-000000038934985,WEB_SITE,2.2128,191,483630,544600,-165336.6,-865.64,band3,<2.5
grp-a001-01-000000038934999,WEB_SITE,3.1002,191,131580,253810,16760.15,87.75,band2,"[2.5,4)"
grp-a001-01-000000038935115,WEB_SITE,2.6551,191,48410,111300,16639.68,87.12,band1,"[2.5,4)"
grp-a001-01-000000040080458,WEB_SITE,3.3822,191,145072,425710,103735.71,543.12,band1,"[2.5,4)"
grp-a001-01-000000040080459,WEB_SITE,2.4442,191,164810,618540,196697.89,1029.83,band1,<2.5
grp-a001-01-000000040173278,WEB_SITE,2.0129,191,825764,1406800,-3554.77,-18.61,band3,<2.5
grp-a001-01-000000040173279,WEB_SITE,2.435,191,205340,552200,117395.24,614.63,band1,<2.5
grp-a001-01-000000040173283,WEB_SITE,2.3442,191,166366,306200,12593.67,65.94,band2,<2.5
grp-a001-01-000000040173285,WEB_SITE,2.9591,191,105050,166100,-7972.27,-41.74,band3,"[2.5,4)"
grp-a001-01-000000040173291,WEB_SITE,3.8031,191,69370,139300,12044.38,63.06,band2,"[2.5,4)"
grp-a001-01-000000040173293,WEB_SITE,2.3103,191,77301,178900,27257.74,142.71,band1,<2.5
