scope,rank_bucket_ref38,imp_1yr,clk_1yr,ctr_1yr,"imp_ref38(90일,SHOPPING)",clk_ref38,ctr_ref38,ctr_diff(1yr-ref38)
SHOPPING,~2.0,748208,7436,0.00994,106479,1001,0.0094,0.00054
SHOPPING,2~3,2134461,27076,0.01269,273324,3476,0.01272,-3e-05
SHOPPING,3~4,3215625,32081,0.00998,405072,4954,0.01223,-0.00225
SHOPPING,4~5,8208235,30824,0.00376,488524,4267,0.00873,-0.00497
SHOPPING,5~7,14293785,31257,0.00219,1078576,4433,0.00411,-0.00192
SHOPPING,7+,10272469,12691,0.00124,1266427,1924,0.00152,-0.00028
WEB_SITE,~2.0,1775772,20631,0.01162,106479,1001,0.0094,0.00222
WEB_SITE,2~3,4443241,40978,0.00922,273324,3476,0.01272,-0.0035
WEB_SITE,3~4,1519331,9752,0.00642,405072,4954,0.01223,-0.00581
WEB_SITE,4~5,476653,2714,0.00569,488524,4267,0.00873,-0.00304
WEB_SITE,5~7,334228,1954,0.00585,1078576,4433,0.00411,0.00174
WEB_SITE,7+,130546,985,0.00755,1266427,1924,0.00152,0.00603
ALL(SHOPPING+WEB_SITE),~2.0,2523980,28067,0.01112,106479,1001,0.0094,0.00172
ALL(SHOPPING+WEB_SITE),2~3,6577702,68054,0.01035,273324,3476,0.01272,-0.00237
ALL(SHOPPING+WEB_SITE),3~4,4734956,41833,0.00883,405072,4954,0.01223,-0.0034
ALL(SHOPPING+WEB_SITE),4~5,8684888,33538,0.00386,488524,4267,0.00873,-0.00487
ALL(SHOPPING+WEB_SITE),5~7,14628013,33211,0.00227,1078576,4433,0.00411,-0.00184
ALL(SHOPPING+WEB_SITE),7+,10403015,13676,0.00131,1266427,1924,0.00152,-0.00021
