campaign_type,rank_bin,n_group_days,n_groups,sum_cost,sum_conv_amt,sum_ad_profit,roas,profit_per_group_day,cost_per_group_day,profit_per_cost_pct
SHOPPING,"[1,1.5)",435,106,1949288,4719800,809215.8,2.42,1860.27,4481.12,41.51
SHOPPING,"[1.5,2)",752,121,8646907,16088990,756360.1,1.86,1005.8,11498.55,8.75
SHOPPING,"[2,2.5)",1995,206,17795124,33526940,1799814.63,1.88,902.16,8919.86,10.11
SHOPPING,"[2.5,3)",3051,209,23264803,43942420,2417499.75,1.89,792.36,7625.3,10.39
SHOPPING,"[3,3.5)",4633,282,24287680,46106880,2659649.05,1.9,574.07,5242.32,10.95
SHOPPING,"[3.5,4)",5098,277,21899340,41027070,2079076.13,1.87,407.82,4295.67,9.49
SHOPPING,"[4,5)",11070,322,34884502,68010540,4864498.58,1.95,439.43,3151.26,13.94
SHOPPING,"[5,7)",17317,338,26954442,50202510,2386592.48,1.86,137.82,1556.53,8.85
SHOPPING,"[7,∞)",20132,331,8497309,18381460,2245800.29,2.16,111.55,422.08,26.43
WEB_SITE,"[1,1.5)",4957,291,3851111,7898650,765282.92,2.05,154.38,776.9,19.87
WEB_SITE,"[1.5,2)",13356,381,12488856,33135060,6877046.98,2.65,514.9,935.07,55.07
WEB_SITE,"[2,2.5)",20943,423,17455334,39746070,5774397.15,2.28,275.72,833.47,33.08
WEB_SITE,"[2.5,3)",13402,432,11264564,26141850,4014132.67,2.32,299.52,840.51,35.64
WEB_SITE,"[3,3.5)",6863,411,4733321,9149470,614119.09,1.93,89.48,689.69,12.97
WEB_SITE,"[3.5,4)",2912,337,1934172,3755170,260550.38,1.94,89.47,664.21,13.47
WEB_SITE,"[4,5)",2934,282,1776464,3472450,253021.68,1.95,86.24,605.48,14.24
WEB_SITE,"[5,7)",1774,187,1174299,2091080,47840.1,1.78,26.97,661.95,4.07
WEB_SITE,"[7,∞)",701,100,569802,1088710,66498.41,1.91,94.86,812.84,11.67
