variant,campaign_type,band3,n_group_days,n_groups,profit_per_group_day,order_in_variant,order_generic,note,matches_baseline_order
"0_baseline(그룹-일 가중, 경계 원본)",SHOPPING,<2.5,3182,235,1057.63,"<2.5>[2.5,4)>≥4",0>1>2,,True
"0_baseline(그룹-일 가중, 경계 원본)",SHOPPING,"[2.5,4)",12782,320,559.87,"<2.5>[2.5,4)>≥4",0>1>2,,True
"0_baseline(그룹-일 가중, 경계 원본)",SHOPPING,≥4,48519,358,195.74,"<2.5>[2.5,4)>≥4",0>1>2,,True
"0_baseline(그룹-일 가중, 경계 원본)",WEB_SITE,<2.5,39256,426,341.78,"<2.5>[2.5,4)>≥4",0>1>2,,True
"0_baseline(그룹-일 가중, 경계 원본)",WEB_SITE,"[2.5,4)",23177,463,210.93,"<2.5>[2.5,4)>≥4",0>1>2,,True
"0_baseline(그룹-일 가중, 경계 원본)",WEB_SITE,≥4,5409,305,67.92,"<2.5>[2.5,4)>≥4",0>1>2,,True
1_bin_shift_-0.25,SHOPPING,<2.25,2116,206,1101.67,"<2.25>[2.25,3.75)>≥3.75",0>1>2,,True
1_bin_shift_-0.25,SHOPPING,"[2.25,3.75)",11293,315,627.13,"<2.25>[2.25,3.75)>≥3.75",0>1>2,,True
1_bin_shift_-0.25,SHOPPING,≥3.75,51074,361,207.64,"<2.25>[2.25,3.75)>≥3.75",0>1>2,,True
1_bin_shift_-0.25,WEB_SITE,<2.25,29733,419,357.13,"<2.25>[2.25,3.75)>≥3.75",0>1>2,,True
1_bin_shift_-0.25,WEB_SITE,"[2.25,3.75)",31517,463,242.4,"<2.25>[2.25,3.75)>≥3.75",0>1>2,,True
1_bin_shift_-0.25,WEB_SITE,≥3.75,6592,343,62.9,"<2.25>[2.25,3.75)>≥3.75",0>1>2,,True
1_bin_shift_+0.25,SHOPPING,<2.75,4626,259,984.85,"<2.75>[2.75,4.25)>≥4.25",0>1>2,,True
1_bin_shift_+0.25,SHOPPING,"[2.75,4.25)",14302,328,531.03,"<2.75>[2.75,4.25)>≥4.25",0>1>2,,True
1_bin_shift_+0.25,SHOPPING,≥4.25,45555,356,172.71,"<2.75>[2.75,4.25)>≥4.25",0>1>2,,True
1_bin_shift_+0.25,WEB_SITE,<2.75,47596,441,337.63,"<2.75>[2.75,4.25)>≥4.25",0>1>2,,True
1_bin_shift_+0.25,WEB_SITE,"[2.75,4.25)",16043,454,143.75,"<2.75>[2.75,4.25)>≥4.25",0>1>2,,True
1_bin_shift_+0.25,WEB_SITE,≥4.25,4203,267,70.68,"<2.75>[2.75,4.25)>≥4.25",0>1>2,,True
2_평시행만,SHOPPING,<2.5,1731,190,1103.98,"<2.5>[2.5,4)>≥4",0>1>2,,True
2_평시행만,SHOPPING,"[2.5,4)",7129,269,808.14,"<2.5>[2.5,4)>≥4",0>1>2,,True
2_평시행만,SHOPPING,≥4,27898,326,226.37,"<2.5>[2.5,4)>≥4",0>1>2,,True
2_평시행만,WEB_SITE,<2.5,21587,413,389.91,"<2.5>[2.5,4)>≥4",0>1>2,,True
2_평시행만,WEB_SITE,"[2.5,4)",13638,440,268.8,"<2.5>[2.5,4)>≥4",0>1>2,,True
2_평시행만,WEB_SITE,≥4,2905,270,40.68,"<2.5>[2.5,4)>≥4",0>1>2,,True
3_그룹가중(그룹별 평균 먼저),SHOPPING,<2.5,,12,-565.57,"≥4>[2.5,4)><2.5",2>1>0,그룹당 profit_per_group_day의 단순평균(가중 없음),False
3_그룹가중(그룹별 평균 먼저),SHOPPING,"[2.5,4)",,84,-542.83,"≥4>[2.5,4)><2.5",2>1>0,그룹당 profit_per_group_day의 단순평균(가중 없음),False
3_그룹가중(그룹별 평균 먼저),SHOPPING,≥4,,270,-258.57,"≥4>[2.5,4)><2.5",2>1>0,그룹당 profit_per_group_day의 단순평균(가중 없음),False
3_그룹가중(그룹별 평균 먼저),WEB_SITE,<2.5,,259,259.87,"<2.5>[2.5,4)>≥4",0>1>2,그룹당 profit_per_group_day의 단순평균(가중 없음),True
3_그룹가중(그룹별 평균 먼저),WEB_SITE,"[2.5,4)",,179,-181.08,"<2.5>[2.5,4)>≥4",0>1>2,그룹당 profit_per_group_day의 단순평균(가중 없음),True
3_그룹가중(그룹별 평균 먼저),WEB_SITE,≥4,,50,-355.13,"<2.5>[2.5,4)>≥4",0>1>2,그룹당 profit_per_group_day의 단순평균(가중 없음),True
