bep_value,campaign_type,band3,n_group_days,sum_ad_profit,profit_per_group_day,order_in_bep
1.711(현재 계정 BEP),SHOPPING,<2.5,3182,3365390.53,1057.63,"<2.5>[2.5,4)>≥4"
1.711(현재 계정 BEP),SHOPPING,"[2.5,4)",12782,7156224.93,559.87,"<2.5>[2.5,4)>≥4"
1.711(현재 계정 BEP),SHOPPING,≥4,48519,9496891.36,195.74,"<2.5>[2.5,4)>≥4"
1.711(현재 계정 BEP),WEB_SITE,<2.5,39256,13416727.05,341.78,"<2.5>[2.5,4)>≥4"
1.711(현재 계정 BEP),WEB_SITE,"[2.5,4)",23177,4888802.15,210.93,"<2.5>[2.5,4)>≥4"
1.711(현재 계정 BEP),WEB_SITE,≥4,5409,367360.19,67.92,"<2.5>[2.5,4)>≥4"
1.4758(ref31 진짜 BEP),SHOPPING,<2.5,3182,8426495.07,2648.18,"<2.5>[2.5,4)>≥4"
1.4758(ref31 진짜 BEP),SHOPPING,"[2.5,4)",12782,19365340.57,1515.05,"<2.5>[2.5,4)>≥4"
1.4758(ref31 진짜 BEP),SHOPPING,≥4,48519,22219994.46,457.96,"<2.5>[2.5,4)>≥4"
1.4758(ref31 진짜 BEP),WEB_SITE,<2.5,39256,20940964.08,533.45,"<2.5>[2.5,4)>≥4"
1.4758(ref31 진짜 BEP),WEB_SITE,"[2.5,4)",23177,8525789.59,367.86,"<2.5>[2.5,4)>≥4"
1.4758(ref31 진짜 BEP),WEB_SITE,≥4,5409,986983.45,182.47,"<2.5>[2.5,4)>≥4"
