k,v,n
distinct_source,expkeyword,2598758
distinct_source,shopping,457400
k,v,n
min_ad_date,2025-07-23,
k,v,n
max_ad_date,2026-08-16,
k,v,n
total_rows,3056158,
k,v,n
max_ad_date_shopping,2026-08-16,
k,v,n
max_ad_date_expkeyword,2026-08-16,
k,v,n
distinct_dates_14d_shopping,13,
k,v,n
distinct_dates_90d_shopping,44,
k,v,n
sum_clk_cost_14d_shopping,5234,7002348
k,v,n
sum_clk_cost_90d_shopping,15910,22366605
k,v,n
sum_convpurchase_14d_shopping,776,12070400
k,v,n
sum_convpurchase_90d_shopping,2093,34441890
k,v,n
nonzero_convpurchase_rows_14d_shopping,716,
