k,v
min_ad_date_shopping,2026-07-04
ad_date,rows,clk,cost
2026-07-04,12664,425,618748
2026-07-05,13785,431,614140
2026-07-06,12704,390,557745
2026-07-07,10573,298,421934
2026-07-08,9504,287,415173
2026-07-09,8092,266,379547
2026-07-10,7291,256,355809
2026-07-11,8062,292,426052
2026-07-12,8272,314,457361
2026-07-13,7768,304,450355
2026-07-14,7864,332,482759
2026-07-15,7726,316,460382
2026-07-16,6758,270,376962
2026-07-17,6862,305,402260
2026-07-18,7166,324,423395
2026-07-19,7156,264,365705
2026-07-20,8256,306,496010
2026-07-21,8309,275,443863
2026-07-22,7942,276,430758
2026-07-23,9185,402,552532
2026-07-24,7856,284,408821
2026-07-25,7407,264,390240
2026-07-26,7904,256,367853
2026-07-27,9951,372,581662
2026-07-28,11249,499,736322
2026-07-29,12162,522,733865
2026-07-30,11853,364,515263
2026-07-31,13743,410,592448
2026-08-01,11067,396,553644
2026-08-02,13024,435,587823
2026-08-03,13955,541,764826
2026-08-04,11451,510,618993
2026-08-05,7639,363,519910
2026-08-06,10505,403,505261
2026-08-07,12526,424,551092
2026-08-08,12187,397,499692
2026-08-09,11420,453,605301
2026-08-10,23133,410,558728
2026-08-11,11882,382,514301
2026-08-12,12490,431,597210
2026-08-13,11881,401,544896
2026-08-14,11698,378,531529
2026-08-15,11691,345,480381
2026-08-16,12787,337,475054
