source,len_bucket,n_combo,n_daily_rows,clk,cost,conv_cnt,conv_amt
expkeyword,7-10,367489,1216974,38484,28346714,0,0
expkeyword,11-15,412030,975501,24549,18665372,0,0
shopping,7-10,111844,204689,8065,11174213,990,15994180
shopping,11-15,103452,163856,5401,7788832,832,14001160
expkeyword,4-6,49087,223412,8932,6321996,0,0
shopping,4-6,20070,48288,1814,2579358,196,3210520
expkeyword,16-20,102760,155750,3390,2275422,0,0
shopping,16-20,25287,34959,509,654558,59,951400
expkeyword,1-3,1145,6025,1302,295070,0,0
shopping,1-3,1378,5608,121,169644,16,284630
expkeyword,21-+,17257,21096,251,135536,0,0
