source,unit_bucket,n_combo,n_daily_rows,clk,cost,conv_cnt,conv_amt
expkeyword,2,374998,1161088,41367,32754774,0,0
expkeyword,3,208496,589329,20808,14599511,0,0
shopping,2,104803,202547,8512,12699457,1228,19819260
expkeyword,1,258802,637401,10117,6044190,0,0
shopping,3,58298,93717,4225,5542694,524,8667660
shopping,1,58000,98095,1489,2144377,150,2483030
expkeyword,4,58043,102777,3369,1985962,0,0
shopping,4,21542,30741,1242,1445669,157,2936640
expkeyword,0,39662,95482,916,474534,0,0
shopping,0,15659,26518,220,306855,7,94500
shopping,5+,3729,5782,222,227553,27,440800
expkeyword,5+,9767,12681,331,181139,0,0
