campaign_type,band,is_brand,n_combo,n_daily_rows,clk,cost,conv_cnt,conv_amt
WEB_SITE,band1,True,375111,1142000,35843,26200398,0,0
WEB_SITE,band2,True,103129,310206,11946,10909959,0,0
WEB_SITE,band3,True,199789,529602,15015,10392460,0,0
SHOPPING,band3,True,79554,137103,6873,9070986,713,11775590
SHOPPING,band1,True,64289,118453,4740,6947069,796,13472980
WEB_SITE,band1,False,150577,332375,6536,3904113,0,0
SHOPPING,band2,True,35228,61673,1888,3030723,323,5112320
WEB_SITE,band3,False,62429,150334,4315,2840287,0,0
SHOPPING,band1,False,34909,60260,1391,1812269,181,2832400
WEB_SITE,band2,False,31056,74257,2187,1286595,0,0
SHOPPING,band3,False,30958,51579,651,886871,42,683600
SHOPPING,band2,False,15629,26199,332,590091,38,565000
WEB_SITE,band4_unjudgeable,True,20776,46198,929,442516,0,0
WEB_SITE,band4_unjudgeable,False,6802,13633,137,63782,0,0
SHOPPING,band4_unjudgeable,True,1219,1780,32,26437,0,0
SHOPPING,band4_unjudgeable,False,243,351,3,2159,0,0
WEB_SITE,excluded_cost0,True,58,112,0,0,0,0
WEB_SITE,excluded_cost0,False,2,2,0,0,0,0
SHOPPING,excluded_cost0,True,2,2,0,0,0,0
