campaign_type,band,len_bucket,n_combo,n_daily_rows,clk,cost,conv_cnt,conv_amt
WEB_SITE,band1,7-10,198582,676430,19228,13913080,0,0
WEB_SITE,band1,11-15,228472,563539,15260,11413087,0,0
WEB_SITE,band3,7-10,104850,323605,10772,7314667,0,0
WEB_SITE,band2,7-10,52532,190042,8029,6885421,0,0
SHOPPING,band3,7-10,46627,83994,3818,5010706,332,5345740
SHOPPING,band1,7-10,44219,83053,3276,4646520,519,8512930
WEB_SITE,band3,11-15,113354,250815,5016,3587641,0,0
WEB_SITE,band2,11-15,58925,138563,3899,3495390,0,0
SHOPPING,band3,11-15,44453,68329,2582,3429426,329,5537600
WEB_SITE,band1,4-6,25882,120163,4237,2892271,0,0
SHOPPING,band1,11-15,36697,59538,1798,2672196,303,5254050
WEB_SITE,band3,4-6,14768,63333,2708,1770386,0,0
SHOPPING,band2,11-15,21784,35250,1009,1677464,200,3209510
WEB_SITE,band1,16-20,61786,98419,2453,1628983,0,0
WEB_SITE,band2,4-6,6540,33659,1842,1595490,0,0
SHOPPING,band2,7-10,20300,36623,949,1498809,139,2135510
SHOPPING,band1,4-6,8802,21099,820,1149283,127,2083600
SHOPPING,band3,4-6,7804,18952,822,1132800,55,915620
WEB_SITE,band3,16-20,24862,35396,555,418093,0,0
SHOPPING,band3,16-20,11056,15109,265,331398,28,450900
SHOPPING,band2,4-6,3313,7981,172,297275,14,211300
WEB_SITE,band4_unjudgeable,7-10,11490,26852,455,233546,0,0
SHOPPING,band1,16-20,8928,12696,168,206472,26,426000
WEB_SITE,band2,16-20,13654,18683,303,193802,0,0
WEB_SITE,band1,1-3,552,3156,1034,175351,0,0
WEB_SITE,band4_unjudgeable,11-15,11234,22496,374,169254,0,0
SHOPPING,band2,16-20,5223,7062,76,116688,5,74500
WEB_SITE,band3,1-3,406,1890,232,108089,0,0
SHOPPING,band1,1-3,552,2327,69,84867,2,28800
WEB_SITE,band1,21-+,10414,12668,167,81739,0,0
WEB_SITE,band4_unjudgeable,4-6,1885,6245,145,63849,0,0
SHOPPING,band3,1-3,572,2298,37,53527,11,209330
WEB_SITE,band4_unjudgeable,16-20,2451,3244,79,34544,0,0
WEB_SITE,band3,21-+,3978,4897,47,33871,0,0
SHOPPING,band2,1-3,237,956,14,30578,3,46500
SHOPPING,band4_unjudgeable,7-10,696,1017,22,18178,0,0
WEB_SITE,band2,21-+,2411,2928,30,17271,0,0
SHOPPING,band4_unjudgeable,11-15,518,739,12,9746,0,0
WEB_SITE,band2,1-3,123,588,30,9180,0,0
WEB_SITE,band4_unjudgeable,21-+,454,603,7,2655,0,0
WEB_SITE,band4_unjudgeable,1-3,64,391,6,2450,0,0
SHOPPING,band4_unjudgeable,1-3,17,27,1,672,0,0
WEB_SITE,excluded_cost0,7-10,24,34,0,0,0,0
WEB_SITE,excluded_cost0,11-15,27,70,0,0,0,0
WEB_SITE,excluded_cost0,16-20,2,3,0,0,0,0
WEB_SITE,excluded_cost0,4-6,7,7,0,0,0,0
SHOPPING,band4_unjudgeable,4-6,151,256,0,0,0,0
SHOPPING,band4_unjudgeable,16-20,80,92,0,0,0,0
SHOPPING,excluded_cost0,7-10,2,2,0,0,0,0
