campaign_type,band,unit_bucket,n_combo,n_daily_rows,clk,cost,conv_cnt,conv_amt
WEB_SITE,band1,2,209683,674752,22227,17276745,0,0
WEB_SITE,band1,3,120756,347715,12313,8622935,0,0
WEB_SITE,band3,2,102187,289018,10922,7818257,0,0
WEB_SITE,band2,2,51977,171668,7672,7397736,0,0
SHOPPING,band1,2,38009,76823,3715,5511816,649,10591160
SHOPPING,band3,2,44723,83093,3337,4748290,333,5410180
SHOPPING,band3,3,26137,42333,2431,3065015,239,3947240
WEB_SITE,band3,3,53033,142882,4540,2985901,0,0
WEB_SITE,band2,3,29497,87433,3664,2854621,0,0
WEB_SITE,band1,1,136951,341015,5107,2646053,0,0
SHOPPING,band2,2,21400,41512,1451,2433911,246,3817920
SHOPPING,band1,3,20444,33546,1333,1814131,201,3329420
WEB_SITE,band3,1,75156,180888,2784,1792879,0,0
WEB_SITE,band2,1,38418,97921,2094,1541036,0,0
WEB_SITE,band1,4,35090,63042,2214,1274619,0,0
SHOPPING,band3,4,10340,15071,959,1079526,125,2141140
SHOPPING,band1,1,23177,39821,690,926508,91,1535000
SHOPPING,band3,1,22885,38213,555,802351,36,595830
SHOPPING,band2,3,11318,17343,445,649375,84,1391000
SHOPPING,band2,1,11727,19761,241,413245,23,352200
WEB_SITE,band3,4,13452,22617,602,381568,0,0
WEB_SITE,band2,4,8124,14840,497,300928,0,0
WEB_SITE,band4_unjudgeable,2,11094,25550,546,262036,0,0
SHOPPING,band1,4,7404,10647,210,260166,26,709100
SHOPPING,band1,0,8903,15893,154,222120,5,62700
WEB_SITE,band3,0,16034,41308,415,209991,0,0
SHOPPING,band3,5+,1857,2857,184,191766,21,348900
WEB_SITE,band1,0,17430,40479,312,176647,0,0
WEB_SITE,band4_unjudgeable,3,5191,11278,291,136054,0,0
WEB_SITE,band1,5+,5778,7372,206,107512,0,0
SHOPPING,band2,4,3677,4884,66,99267,6,86400
WEB_SITE,band2,0,4762,10805,150,73760,0,0
SHOPPING,band3,0,4570,7115,58,70909,1,15900
WEB_SITE,band4_unjudgeable,1,8260,17551,132,64222,0,0
WEB_SITE,band3,5+,2356,3223,67,44151,0,0
WEB_SITE,band4_unjudgeable,4,1372,2273,56,28847,0,0
WEB_SITE,band2,5+,1407,1796,56,28473,0,0
SHOPPING,band1,5+,1261,1983,29,24597,5,78000
SHOPPING,band4_unjudgeable,3,399,495,16,14173,0,0
WEB_SITE,band4_unjudgeable,0,1435,2889,39,14136,0,0
SHOPPING,band2,0,2148,3459,8,13826,1,15900
SHOPPING,band2,5+,587,913,9,11190,1,13900
SHOPPING,band4_unjudgeable,4,121,139,7,6710,0,0
SHOPPING,band4_unjudgeable,2,670,1118,9,5440,0,0
SHOPPING,band4_unjudgeable,1,210,299,3,2273,0,0
WEB_SITE,band4_unjudgeable,5+,226,290,2,1003,0,0
WEB_SITE,excluded_cost0,2,42,85,0,0,0,0
WEB_SITE,excluded_cost0,1,10,19,0,0,0,0
WEB_SITE,excluded_cost0,3,7,9,0,0,0,0
WEB_SITE,excluded_cost0,0,1,1,0,0,0,0
SHOPPING,excluded_cost0,1,1,1,0,0,0,0
SHOPPING,excluded_cost0,2,1,1,0,0,0,0
SHOPPING,band4_unjudgeable,0,38,51,0,0,0,0
SHOPPING,band4_unjudgeable,5+,24,29,0,0,0,0
