token,n_combo,n_daily_rows,clk,cost,conv_cnt,conv_amt
갤럭시,259837,684897,24300,23309133,798,13145310
아이폰,161911,428967,11648,11730522,180,3063830
폴드7,37511,108911,5844,4271231,51,877300
갤럭시탭,68948,206073,5364,3997475,144,2472900
폴드8,25536,40863,2942,3386793,203,3564700
플립7,29447,80495,3551,2934546,26,326000
s25,40413,115762,3194,2573858,46,702610
s23울트라,7365,24133,1951,2353723,112,1706950
맥세이프,20567,54306,3772,2097664,7,158200
s25울트라,16563,53980,2226,2026397,23,356400
아이패드,68653,185799,2878,2008523,16,260400
s26,18745,38943,1698,1943983,20,371500
s10,32742,97845,2446,1899128,39,632100
s23,14073,43369,1840,1841673,48,749900
17,28933,65525,2018,1807928,27,462410
s26울트라,11563,28086,1561,1691044,35,545010
오하이,12413,28149,4054,1677835,144,2529930
16프로,10560,33226,1102,1325942,28,469200
s24울트라,8239,25841,1258,1306531,43,662400
15프로,8260,23588,909,1141652,24,380010
15,11715,29337,918,1103201,9,171000
폴드6,18950,45379,1320,1085909,30,549400
16,14880,38524,945,1026624,13,206700
17프로,17271,44747,1203,1016041,22,355310
s11,19896,56547,1192,984332,9,155100
s24,13517,34917,1065,919430,19,277100
폴드8와이드,4360,6869,894,905930,88,1502740
플립6,19916,47159,1152,893159,15,234600
s22,10303,28398,1086,836418,22,359700
플립5,15461,41003,1172,832146,10,119400
노트20,5560,14676,722,827750,52,843600
s9,16018,46043,1092,758574,29,483000
s22울트라,6670,19936,834,752358,25,373500
노트,8175,17695,622,697006,24,364600
폴드5,7231,21837,706,685856,27,485900
폴드8울트라,7240,11175,576,619808,40,667800
13,13340,35031,638,523541,3,47700
s8,6868,20348,608,521879,39,639100
10,14663,36040,672,508589,14,216600
노트20울트라,3889,10876,446,499612,50,809700
플립8,4907,8213,397,486917,31,462600
14프로,4925,14799,357,438864,10,177000
a16,4446,15206,508,432116,21,318900
s24fe,2702,9928,490,431066,19,283100
16프로맥스,3638,12157,383,427560,9,143100
폴드4,5617,15784,402,380970,17,327400
s23플러스,2507,9756,340,368769,10,148000
s25플러스,5233,17656,383,336776,4,79500
17프로맥스,8037,19185,402,332249,5,91500
플립4,7168,17823,388,314538,18,324200
플립3,6536,17121,395,312913,4,63300
a9,7390,19649,481,296144,24,467100
15프로맥스,3973,11574,262,289716,3,50700
s26플러스,3803,9002,250,288523,10,163500
14,8802,18152,244,227028,2,37800
s24플러스,3318,10721,272,221210,6,92400
13프로,2558,8018,204,208327,1,18900
13미니,2188,7972,192,207564,0,0
a34,2179,6300,199,198877,18,286000
12,11529,26189,257,183844,2,37800
폴드3,3425,8938,217,162642,1,16800
뮤패드,13867,37736,398,161117,2,31800
a17,3430,8181,180,130321,0,0
a24,1509,5060,110,126634,11,162900
14프로맥스,1890,5406,113,124373,5,82500
a23,1114,3244,97,121098,8,121200
13프로맥스,1611,4723,102,109812,1,15900
a35,1877,6010,105,100827,10,159000
s22플러스,1572,5688,115,96306,4,63600
폴드2,1151,3089,153,95023,2,39600
15플러스,1109,3256,67,91505,9,189000
트라이폴드,3099,9954,128,90746,0,0
12프로,1341,4156,78,88929,3,51700
아이뮤즈,4487,13801,200,88463,1,15900
a15,1591,5132,76,80319,15,236400
17에어,1889,5645,96,79520,0,0
16플러스,1135,4022,60,62431,2,31800
a33,1363,3315,37,46476,1,15900
a53,797,2282,38,41731,2,31800
ohi,487,1410,73,37402,0,0
플립2,479,1401,63,36990,0,0
14플러스,1016,2653,31,36102,2,37800
s25edge,490,1425,37,35719,1,15900
a25,961,2887,47,35164,2,28800
12프로맥스,888,2722,36,31760,0,0
a55,1213,2421,42,30866,0,0
a54,1068,2406,28,28867,2,31800
플립1,408,1054,44,20855,0,0
12미니,640,2419,23,17380,0,0
폴드6se,259,648,32,17202,1,13800
air7,44,108,4,1750,0,0
mini6,35,71,1,670,0,0
air6,72,266,1,340,0,0
mini7,32,41,0,0,0,0
pro7,6,6,0,0,0,0
pro6,20,22,0,0,0,0
