band          wd    hour  cost_sum      conv_sum  n_days    cpa       
------------  ----  ----  ------------  --------  --------  ----------
band1         0     0     46046         11        6         4186.0    
band1         0     1     15507         7         6         2215.0    
band1         0     2     16346         0         6                   
band1         0     3     6272          0         6                   
band1         0     4     7380          1         6         7380.0    
band1         0     5     4233          0         6                   
band1         0     6     22337         7         6         3191.0    
band1         0     7     31665         11        6         2879.0    
band1         0     8     49321         8         6         6165.0    
band1         0     9     62367         12        6         5197.0    
band1         0     10    90108         13        6         6931.0    
band1         0     11    65262         15        6         4351.0    
band1         0     12    92522         24        6         3855.0    
band1         0     13    103875        24        6         4328.0    
band1         0     14    103500        22        6         4705.0    
band1         0     15    81402         12        6         6784.0    
band1         0     16    99294         15        6         6620.0    
band1         0     17    70170         9         6         7797.0    
band1         0     18    70862         13        6         5451.0    
band1         0     19    76987         15        6         5132.0    
band1         0     20    96731         21        6         4606.0    
band1         0     21    99099         23        6         4309.0    
band1         0     22    80660         16        6         5041.0    
band1         0     23    68512         15        6         4567.0    
band1         1     0     37095         7         5         5299.0    
band1         1     1     19564         1         5         19564.0   
band1         1     2     5643          1         5         5643.0    
band1         1     3     6362          2         5         3181.0    
band1         1     4     2484          2         5         1242.0    
band1         1     5     3655          1         5         3655.0    
band1         1     6     24099         4         5         6025.0    
band1         1     7     28304         5         5         5661.0    
band1         1     8     47246         9         5         5250.0    
band1         1     9     63883         7         5         9126.0    
band1         1     10    60002         15        5         4000.0    
band1         1     11    65933         17        5         3878.0    
band1         1     12    53658         6         5         8943.0    
band1         1     13    43472         6         5         7245.0    
band1         1     14    68106         11        5         6191.0    
band1         1     15    63657         8         5         7957.0    
band1         1     16    69853         14        5         4990.0    
band1         1     17    72334         10        5         7233.0    
band1         1     18    42069         7         5         6010.0    
band1         1     19    60592         15        5         4039.0    
band1         1     20    73534         18        5         4085.0    
band1         1     21    69582         11        5         6326.0    
band1         1     22    47780         5         5         9556.0    
band1         1     23    43512         9         4         4835.0    
band1         2     0     39023         6         4         6504.0    
band1         2     1     9170          0         4                   
band1         2     2     10646         0         4                   
band1         2     3     8134          0         4                   
band1         2     4     10349         0         4                   
band1         2     5     6874          1         4         6874.0    
band1         2     6     5295          1         4         5295.0    
band1         2     7     33168         9         4         3685.0    
band1         2     8     44081         5         4         8816.0    
band1         2     9     30057         6         5         5010.0    
band1         2     10    58569         12        5         4881.0    
band1         2     11    63763         14        5         4555.0    
band1         2     12    62367         15        5         4158.0    
band1         2     13    54455         8         5         6807.0    
band1         2     14    70505         18        5         3917.0    
band1         2     15    76147         15        5         5076.0    
band1         2     16    43034         11        5         3912.0    
band1         2     17    59070         19        5         3109.0    
band1         2     18    57325         9         5         6369.0    
band1         2     19    38761         8         5         4845.0    
band1         2     20    43815         10        5         4382.0    
band1         2     21    77631         15        5         5175.0    
band1         2     22    51630         9         4         5737.0    
band1         2     23    47323         4         4         11831.0   
band1         3     0     32036         5         5         6407.0    
band1         3     1     19853         5         5         3971.0    
band1         3     2     13910         1         5         13910.0   
band1         3     3     1490          0         5                   
band1         3     4     8596          1         5         8596.0    
band1         3     5     10640         1         5         10640.0   
band1         3     6     9396          1         5         9396.0    
band1         3     7     38793         7         5         5542.0    
band1         3     8     45618         12        5         3802.0    
band1         3     9     73202         21        5         3486.0    
band1         3     10    62916         16        5         3932.0    
band1         3     11    61178         5         5         12236.0   
band1         3     12    42598         7         5         6085.0    
band1         3     13    56094         15        5         3740.0    
band1         3     14    65820         11        5         5984.0    
band1         3     15    59119         7         5         8446.0    
band1         3     16    67987         11        5         6181.0    
band1         3     17    78798         16        5         4925.0    
band1         3     18    41139         8         5         5142.0    
band1         3     19    62269         10        5         6227.0    
band1         3     20    62659         5         5         12532.0   
band1         3     21    65550         12        5         5463.0    
band1         3     22    61213         9         5         6801.0    
band1         3     23    53343         8         5         6668.0    
band1         4     0     32234         4         5         8059.0    
band1         4     1     19833         5         5         3967.0    
band1         4     2     11982         1         5         11982.0   
band1         4     3     5006          0         5                   
band1         4     4     8297          1         5         8297.0    
band1         4     5     8449          1         5         8449.0    
band1         4     6     22498         4         5         5625.0    
band1         4     7     42383         7         5         6055.0    
band1         4     8     42377         2         5         21189.0   
band1         4     9     37903         7         5         5415.0    
band1         4     10    67351         11        5         6123.0    
band1         4     11    50860         2         5         25430.0   
band1         4     12    69534         8         5         8692.0    
band1         4     13    48979         9         5         5442.0    
band1         4     14    45386         3         5         15129.0   
band1         4     15    69786         12        5         5816.0    
band1         4     16    60262         7         5         8609.0    
band1         4     17    44549         13        5         3427.0    
band1         4     18    38471         5         5         7694.0    
band1         4     19    41847         7         5         5978.0    
band1         4     20    62658         12        5         5222.0    
band1         4     21    67236         9         5         7471.0    
band1         4     22    51448         6         5         8575.0    
band1         4     23    60977         6         5         10163.0   
band1         5     0     42408         7         6         6058.0    
band1         5     1     19396         4         6         4849.0    
band1         5     2     17873         2         6         8937.0    
band1         5     3     8000          0         6                   
band1         5     4     5323          0         6                   
band1         5     5     9320          1         6         9320.0    
band1         5     6     18671         6         6         3112.0    
band1         5     7     38350         4         6         9588.0    
band1         5     8     48762         11        6         4433.0    
band1         5     9     50736         9         6         5637.0    
band1         5     10    87325         14        6         6238.0    
band1         5     11    71561         4         6         17890.0   
band1         5     12    58748         9         6         6528.0    
band1         5     13    74509         8         6         9314.0    
band1         5     14    69234         6         6         11539.0   
band1         5     15    54341         7         6         7763.0    
band1         5     16    73349         10        6         7335.0    
band1         5     17    81040         12        6         6753.0    
band1         5     18    52362         6         6         8727.0    
band1         5     19    65310         6         6         10885.0   
band1         5     20    68899         6         6         11483.0   
band1         5     21    74201         14        6         5300.0    
band1         5     22    50682         15        6         3379.0    
band1         5     23    64396         13        6         4954.0    
band1         6     0     40685         18        6         2260.0    
band1         6     1     28902         2         6         14451.0   
band1         6     2     13531         3         6         4510.0    
band1         6     3     9381          3         6         3127.0    
band1         6     4     8792          0         6                   
band1         6     5     9985          3         6         3328.0    
band1         6     6     11360         2         6         5680.0    
band1         6     7     25110         4         6         6278.0    
band1         6     8     31223         2         6         15612.0   
band1         6     9     50925         10        6         5093.0    
band1         6     10    72047         14        6         5146.0    
band1         6     11    78099         11        6         7100.0    
band1         6     12    41905         8         6         5238.0    
band1         6     13    52900         9         6         5878.0    
band1         6     14    67975         12        6         5665.0    
band1         6     15    88995         16        6         5562.0    
band1         6     16    71709         10        6         7171.0    
band1         6     17    95055         11        6         8641.0    
band1         6     18    51078         5         6         10216.0   
band1         6     19    60565         13        6         4659.0    
band1         6     20    81423         11        6         7402.0    
band1         6     21    104065        12        6         8672.0    
band1         6     22    74879         17        6         4405.0    
band1         6     23    80708         25        6         3228.0    
