campaign_type  wd    hour  cost_sum      conv_sum  n_days    cpa       
-------------  ----  ----  ------------  --------  --------  ----------
SHOPPING       0     0     109267        31        6         3525.0    
SHOPPING       0     1     69419         9         6         7713.0    
SHOPPING       0     2     39879         3         6         13293.0   
SHOPPING       0     3     21348         3         6         7116.0    
SHOPPING       0     4     12022         2         6         6011.0    
SHOPPING       0     5     27057         5         6         5411.0    
SHOPPING       0     6     48309         8         6         6039.0    
SHOPPING       0     7     73074         18        6         4060.0    
SHOPPING       0     8     114992        18        6         6388.0    
SHOPPING       0     9     149105        24        6         6213.0    
SHOPPING       0     10    192364        32        6         6011.0    
SHOPPING       0     11    155981        23        6         6782.0    
SHOPPING       0     12    180253        34        6         5302.0    
SHOPPING       0     13    208475        33        6         6317.0    
SHOPPING       0     14    231087        42        6         5502.0    
SHOPPING       0     15    187582        44        6         4263.0    
SHOPPING       0     16    240917        25        6         9637.0    
SHOPPING       0     17    185981        22        6         8454.0    
SHOPPING       0     18    185592        28        6         6628.0    
SHOPPING       0     19    218965        33        6         6635.0    
SHOPPING       0     20    221973        40        6         5549.0    
SHOPPING       0     21    236275        50        6         4726.0    
SHOPPING       0     22    216272        43        6         5030.0    
SHOPPING       0     23    149826        22        6         6810.0    
SHOPPING       1     0     109010        13        5         8385.0    
SHOPPING       1     1     69852         8         5         8732.0    
SHOPPING       1     2     48481         5         5         9696.0    
SHOPPING       1     3     33154         3         5         11051.0   
SHOPPING       1     4     19187         2         5         9594.0    
SHOPPING       1     5     21676         2         5         10838.0   
SHOPPING       1     6     73682         12        5         6140.0    
SHOPPING       1     7     109179        13        5         8398.0    
SHOPPING       1     8     149704        24        5         6238.0    
SHOPPING       1     9     123770        16        5         7736.0    
SHOPPING       1     10    134591        28        5         4807.0    
SHOPPING       1     11    156711        32        5         4897.0    
SHOPPING       1     12    152596        21        5         7266.0    
SHOPPING       1     13    155584        23        5         6765.0    
SHOPPING       1     14    190386        43        5         4428.0    
SHOPPING       1     15    170599        22        5         7755.0    
SHOPPING       1     16    184649        32        5         5770.0    
SHOPPING       1     17    138036        23        5         6002.0    
SHOPPING       1     18    140446        23        5         6106.0    
SHOPPING       1     19    152081        22        5         6913.0    
SHOPPING       1     20    177610        43        5         4130.0    
SHOPPING       1     21    160509        22        5         7296.0    
SHOPPING       1     22    106599        17        5         6271.0    
SHOPPING       1     23    91194         21        5         4343.0    
SHOPPING       2     0     82604         13        4         6354.0    
SHOPPING       2     1     16449         4         4         4112.0    
SHOPPING       2     2     28187         1         4         28187.0   
SHOPPING       2     3     21450         0         4                   
SHOPPING       2     4     17949         0         4                   
SHOPPING       2     5     17625         3         5         5875.0    
SHOPPING       2     6     32392         3         4         10797.0   
SHOPPING       2     7     77084         17        4         4534.0    
SHOPPING       2     8     107459        15        4         7164.0    
SHOPPING       2     9     104375        21        5         4970.0    
SHOPPING       2     10    134775        25        5         5391.0    
SHOPPING       2     11    213566        28        5         7627.0    
SHOPPING       2     12    170861        30        5         5695.0    
SHOPPING       2     13    207131        25        5         8285.0    
SHOPPING       2     14    253831        40        5         6346.0    
SHOPPING       2     15    234636        37        5         6342.0    
SHOPPING       2     16    156148        35        5         4461.0    
SHOPPING       2     17    145180        29        5         5006.0    
SHOPPING       2     18    151652        27        5         5617.0    
SHOPPING       2     19    107780        20        5         5389.0    
SHOPPING       2     20    150864        28        5         5388.0    
SHOPPING       2     21    160365        27        5         5939.0    
SHOPPING       2     22    148522        23        5         6457.0    
SHOPPING       2     23    121274        5         4         24255.0   
SHOPPING       3     0     80428         12        5         6702.0    
SHOPPING       3     1     51262         6         5         8544.0    
SHOPPING       3     2     32680         8         5         4085.0    
SHOPPING       3     3     23210         1         5         23210.0   
SHOPPING       3     4     20892         0         5                   
SHOPPING       3     5     32779         3         5         10926.0   
SHOPPING       3     6     35756         8         5         4470.0    
SHOPPING       3     7     86709         13        5         6670.0    
SHOPPING       3     8     126110        24        5         5255.0    
SHOPPING       3     9     154332        29        5         5322.0    
SHOPPING       3     10    149811        29        5         5166.0    
SHOPPING       3     11    107864        13        5         8297.0    
SHOPPING       3     12    103934        14        5         7424.0    
SHOPPING       3     13    149083        27        5         5522.0    
SHOPPING       3     14    159735        26        5         6144.0    
SHOPPING       3     15    114010        20        5         5701.0    
SHOPPING       3     16    161398        20        5         8070.0    
SHOPPING       3     17    142654        29        5         4919.0    
SHOPPING       3     18    127710        24        5         5321.0    
SHOPPING       3     19    143857        34        5         4231.0    
SHOPPING       3     20    166131        23        5         7223.0    
SHOPPING       3     21    160079        20        5         8004.0    
SHOPPING       3     22    142867        16        5         8929.0    
SHOPPING       3     23    155426        31        5         5014.0    
SHOPPING       4     0     92597         11        5         8418.0    
SHOPPING       4     1     53601         6         5         8934.0    
SHOPPING       4     2     22307         6         5         3718.0    
SHOPPING       4     3     13305         1         5         13305.0   
SHOPPING       4     4     16532         3         5         5511.0    
SHOPPING       4     5     16746         2         5         8373.0    
SHOPPING       4     6     46585         7         5         6655.0    
SHOPPING       4     7     68093         14        5         4864.0    
SHOPPING       4     8     89669         8         5         11209.0   
SHOPPING       4     9     104139        23        5         4528.0    
SHOPPING       4     10    151352        22        5         6880.0    
SHOPPING       4     11    110730        15        5         7382.0    
SHOPPING       4     12    128354        10        5         12835.0   
SHOPPING       4     13    142139        18        5         7897.0    
SHOPPING       4     14    139073        15        5         9272.0    
SHOPPING       4     15    145181        26        5         5584.0    
SHOPPING       4     16    156677        28        5         5596.0    
SHOPPING       4     17    146783        25        5         5871.0    
SHOPPING       4     18    131551        19        5         6924.0    
SHOPPING       4     19    153081        23        5         6656.0    
SHOPPING       4     20    172670        28        5         6167.0    
SHOPPING       4     21    166487        28        5         5946.0    
SHOPPING       4     22    173733        22        5         7897.0    
SHOPPING       4     23    140477        20        5         7024.0    
SHOPPING       5     0     117437        15        6         7829.0    
SHOPPING       5     1     66512         12        6         5543.0    
SHOPPING       5     2     46323         8         6         5790.0    
SHOPPING       5     3     19260         2         6         9630.0    
SHOPPING       5     4     17902         2         6         8951.0    
SHOPPING       5     5     21748         3         6         7249.0    
SHOPPING       5     6     56100         8         6         7013.0    
SHOPPING       5     7     84998         17        6         5000.0    
SHOPPING       5     8     109150        20        6         5458.0    
SHOPPING       5     9     120944        18        6         6719.0    
