band,dim_type,dim_value,imp,clk,cost,rank_sum,n_groups,ctr_pct,cpc
band1,h,00,51590,554,722899,246068,70,1.0739,1304.9
band1,h,01,35189,308,401677,179404,70,0.8753,1304.1
band1,h,02,28459,189,241039,144628,70,0.6641,1275.3
band1,h,03,20654,109,153283,94891,70,0.5277,1406.3
band1,h,04,19606,78,104934,90361,70,0.3978,1345.3
band1,h,05,22644,107,142573,109565,70,0.4725,1332.5
band1,h,06,29827,222,287633,137418,70,0.7443,1295.6
band1,h,07,38895,436,604218,176325,70,1.121,1385.8
band1,h,08,50703,596,824723,223847,71,1.1755,1383.8
band1,h,09,53817,699,976694,239763,71,1.2988,1397.3
band1,h,10,58960,861,1223155,269779,71,1.4603,1420.6
band1,h,11,63336,842,1146188,290429,71,1.3294,1361.3
band1,h,12,58893,767,1085176,272963,71,1.3024,1414.8
band1,h,13,59538,857,1176503,264195,71,1.4394,1372.8
band1,h,14,61524,886,1238811,276406,71,1.4401,1398.2
band1,h,15,62683,882,1220810,282753,71,1.4071,1384.1
band1,h,16,63336,920,1291599,285997,71,1.4526,1403.9
band1,h,17,61568,864,1208567,279013,70,1.4033,1398.8
band1,h,18,56442,752,1023756,252833,70,1.3323,1361.4
band1,h,19,58239,798,1089308,258996,70,1.3702,1365.0
band1,h,20,64674,935,1307277,292043,70,1.4457,1398.2
band1,h,21,69495,1030,1428443,316935,70,1.4821,1386.8
band1,h,22,69987,905,1232783,326715,70,1.2931,1362.2
band1,h,23,68363,797,1066562,327795,70,1.1658,1338.2
band1,m,11068,64645,494,693876,321617,71,0.7642,1404.6
band1,m,118495,2,0,0,4,1,0.0,
band1,m,122876,13571,18,8556,97656,21,0.1326,475.3
band1,m,27758,60596,1643,2328154,103444,69,2.7114,1417.0
band1,m,33421,378212,1135,1587382,1997136,71,0.3001,1398.6
band1,m,335738,2921,3,4451,17882,35,0.1027,1483.7
band1,m,341893,93318,635,702143,551838,71,0.6805,1105.7
band1,m,341898,26560,113,164216,45043,68,0.4255,1453.2
band1,m,370822,6000,37,51416,13937,68,0.6167,1389.6
band1,m,424040,23208,80,39509,125408,21,0.3447,493.9
band1,m,556927,524,0,0,533,38,0.0,
band1,m,612593,4263,26,22987,41140,26,0.6099,884.1
band1,m,612594,6464,79,75796,25859,26,1.2222,959.4
band1,m,684924,36935,135,185075,36935,68,0.3655,1370.9
band1,m,684925,13606,78,103790,13606,64,0.5733,1330.6
band1,m,684926,136252,2040,2761089,847540,71,1.4972,1353.5
band1,m,684927,36595,315,385792,418673,71,0.8608,1224.7
band1,m,684931,1,0,0,2,1,0.0,
band1,m,787478,9,0,0,12,4,0.0,
band1,m,787479,5,0,0,16,4,0.0,
band1,m,787480,25,0,0,401,14,0.0,
band1,m,787481,15,0,0,20,6,0.0,
band1,m,805759,533,1,1448,5837,48,0.1876,1448.0
band1,m,805760,436,4,5148,1692,41,0.9174,1287.0
band1,m,8753,323726,8558,12077783,972891,70,2.6436,1411.3
band1,r,-1,19,0,0,115,12,0.0,
band1,r,00,18368,95,132828,97032,70,0.5172,1398.2
band1,r,01,29057,545,758154,129277,71,1.8756,1391.1
band1,r,02,270755,3789,5272313,1227592,71,1.3994,1391.5
band1,r,03,53151,887,1233057,239677,71,1.6688,1390.1
band1,r,04,41025,691,966203,191216,71,1.6843,1398.3
band1,r,05,13484,213,279102,62697,70,1.5796,1310.3
band1,r,06,40690,559,741359,187258,71,1.3738,1326.2
band1,r,07,25808,410,561684,121315,71,1.5887,1370.0
band1,r,08,50678,723,966011,235843,71,1.4267,1336.1
band1,r,09,362043,3002,4118179,1610489,71,0.8292,1371.8
band1,r,10,18768,305,434419,83811,70,1.6251,1424.3
band1,r,11,60751,711,969275,267783,71,1.1704,1363.3
band1,r,12,20988,300,404699,82422,70,1.4294,1349.0
band1,r,13,28156,491,662928,130710,70,1.7439,1350.2
band1,r,14,7513,75,102024,35998,68,0.9983,1360.3
band1,r,15,44373,708,978350,201144,71,1.5956,1381.9
band1,r,16,27583,488,667885,126249,71,1.7692,1368.6
band1,r,17,8521,145,190084,38585,70,1.7017,1310.9
band1,r,18,26026,354,510549,118544,69,1.3602,1442.2
band1,r,99,80665,903,1249508,451365,71,1.1194,1383.7
band2,h,00,25265,230,336225,120073,39,0.9104,1461.8
band2,h,01,17678,139,190059,81507,39,0.7863,1367.3
band2,h,02,14077,60,87887,67513,39,0.4262,1464.8
band2,h,03,10312,46,70992,53392,39,0.4461,1543.3
band2,h,04,9479,26,37823,48534,39,0.2743,1454.7
band2,h,05,10788,39,57555,56004,39,0.3615,1475.8
band2,h,06,13643,82,119739,70606,39,0.601,1460.2
band2,h,07,17169,155,228393,87609,39,0.9028,1473.5
band2,h,08,22029,218,318306,109886,39,0.9896,1460.1
band2,h,09,22975,227,348220,114263,39,0.988,1534.0
band2,h,10,25006,260,405087,123824,40,1.0398,1558.0
band2,h,11,26714,280,414045,138258,40,1.0481,1478.7
band2,h,12,26366,242,361554,137845,40,0.9178,1494.0
band2,h,13,24393,290,435503,124046,40,1.1889,1501.7
band2,h,14,25417,329,522679,129786,40,1.2944,1588.7
band2,h,15,25572,269,412458,131592,40,1.0519,1533.3
band2,h,16,26646,279,419926,135148,40,1.0471,1505.1
band2,h,17,24961,288,416615,125767,39,1.1538,1446.6
band2,h,18,24238,265,397645,122488,39,1.0933,1500.5
band2,h,19,24463,258,372165,123888,39,1.0547,1442.5
band2,h,20,26411,291,436626,133480,39,1.1018,1500.4
band2,h,21,29140,323,468772,150470,39,1.1084,1451.3
band2,h,22,30611,310,464068,161973,39,1.0127,1497.0
band2,h,23,31530,266,376358,169521,39,0.8436,1414.9
band2,m,11068,32366,164,234997,197838,40,0.5067,1432.9
band2,m,122876,404,0,0,1008,8,0.0,
band2,m,27758,21559,532,760794,37140,37,2.4676,1430.1
