band,hour_code,media_code,imp,clk,cost,n_groups,cpc
band1,00,11068,11,7,9559,6,1365.6
band1,00,27758,28,25,30315,15,1212.6
band1,00,33421,120,53,65777,25,1241.1
band1,00,341893,54,29,30836,18,1063.3
band1,00,341898,11,6,8799,4,1466.5
band1,00,612594,6,5,3951,5,790.2
band1,00,684924,21,10,10766,7,1076.6
band1,00,684925,2,2,2199,2,1099.5
band1,00,684926,201,75,94858,29,1264.8
band1,00,684927,25,11,12076,8,1097.8
band1,00,8753,812,331,453763,49,1370.9
band1,01,11068,22,10,11117,7,1111.7
band1,01,27758,30,20,26549,12,1327.5
band1,01,33421,61,27,36971,17,1369.3
band1,01,341893,13,11,10986,8,998.7
band1,01,341898,6,4,7485,4,1871.2
band1,01,424040,3,2,620,2,310.0
band1,01,684924,6,2,2482,2,1241.0
band1,01,684925,2,2,2893,2,1446.5
band1,01,684926,152,57,69626,27,1221.5
band1,01,684927,12,6,7212,6,1202.0
band1,01,8753,307,167,225736,45,1351.7
band1,02,11068,2,2,2613,2,1306.5
band1,02,27758,17,10,15881,8,1588.1
band1,02,33421,30,10,13315,8,1331.5
band1,02,341893,14,12,12940,9,1078.3
band1,02,341898,4,2,2894,2,1447.0
band1,02,424040,4,1,239,1,239.0
band1,02,612594,1,1,936,1,936.0
band1,02,684924,1,1,55,1,55.0
band1,02,684925,2,2,2612,2,1306.0
band1,02,684926,94,36,46008,19,1278.0
band1,02,684927,2,1,1613,1,1613.0
band1,02,8753,180,111,141933,37,1278.7
band1,03,11068,9,4,4877,4,1219.2
band1,03,27758,12,7,10020,5,1431.4
band1,03,33421,24,12,17105,8,1425.4
band1,03,341893,10,6,9604,3,1600.7
band1,03,684926,53,21,26546,12,1264.1
band1,03,684927,3,1,1380,1,1380.0
band1,03,8753,119,58,83751,25,1444.0
band1,04,11068,2,1,1735,1,1735.0
band1,04,27758,3,3,5198,3,1732.7
band1,04,33421,13,7,10862,7,1551.7
band1,04,341893,3,2,2744,2,1372.0
band1,04,341898,2,2,2672,2,1336.0
band1,04,684926,26,9,12479,8,1386.6
band1,04,684927,3,3,1976,3,658.7
band1,04,8753,82,51,67268,25,1319.0
band1,05,11068,1,1,1831,1,1831.0
band1,05,27758,12,5,6616,4,1323.2
band1,05,33421,14,12,15993,8,1332.8
band1,05,341893,4,4,3913,4,978.2
band1,05,341898,1,1,1597,1,1597.0
band1,05,424040,2,1,151,1,151.0
band1,05,612594,1,1,1521,1,1521.0
band1,05,684924,3,1,1307,1,1307.0
band1,05,684925,2,2,2395,2,1197.5
band1,05,684926,24,11,13910,9,1264.5
band1,05,684927,1,1,381,1,381.0
band1,05,8753,109,67,92958,27,1387.4
band1,06,27758,10,10,13896,7,1389.6
band1,06,33421,54,17,23147,14,1361.6
band1,06,341893,33,20,19641,13,982.0
band1,06,424040,2,1,552,1,552.0
band1,06,684924,2,2,396,2,198.0
band1,06,684926,88,29,36976,19,1275.0
band1,06,684927,5,1,880,1,880.0
band1,06,8753,295,142,192145,39,1353.1
band1,07,11068,11,9,12447,7,1383.0
band1,07,27758,56,33,47926,16,1452.3
band1,07,33421,109,35,50807,16,1451.6
band1,07,341893,35,21,26710,14,1271.9
band1,07,341898,5,3,5308,2,1769.3
band1,07,424040,2,1,890,1,890.0
band1,07,612594,9,7,6837,5,976.7
band1,07,684924,5,3,4926,3,1642.0
band1,07,684925,2,2,2305,2,1152.5
band1,07,684926,132,49,60250,27,1229.6
band1,07,684927,5,3,1230,3,410.0
band1,07,8753,619,270,384582,42,1424.4
band1,08,11068,27,17,23298,12,1370.5
band1,08,122876,2,1,440,1,440.0
band1,08,27758,134,68,92831,21,1365.2
band1,08,33421,66,27,38536,15,1427.3
band1,08,341893,33,20,22001,11,1100.0
band1,08,341898,3,2,2857,2,1428.5
band1,08,370822,4,5,6960,5,1392.0
band1,08,424040,10,3,865,3,288.3
band1,08,612593,6,3,2176,3,725.3
band1,08,612594,6,3,2177,2,725.7
band1,08,684924,8,5,7456,5,1491.2
band1,08,684925,10,7,10193,5,1456.1
band1,08,684926,232,72,95966,31,1332.9
band1,08,684927,23,13,16308,11,1254.5
band1,08,8753,916,350,502659,49,1436.2
band1,09,11068,65,34,49615,14,1459.3
band1,09,122876,11,2,501,2,250.5
band1,09,27758,263,123,185050,31,1504.5
band1,09,33421,106,47,67282,27,1431.5
band1,09,335738,2,1,229,1,229.0
band1,09,341893,35,26,23949,20,921.1
band1,09,341898,7,4,6864,4,1716.0
band1,09,370822,3,3,3530,3,1176.7
band1,09,424040,6,1,264,1,264.0
band1,09,612594,8,2,1587,2,793.5
band1,09,684924,9,6,12003,4,2000.5
band1,09,684925,9,9,7713,7,857.0
band1,09,684926,237,84,109443,34,1302.9
band1,09,684927,67,24,31311,15,1304.6
band1,09,8753,852,333,477353,45,1433.5
band1,10,11068,83,48,69535,22,1448.6
band1,10,122876,6,1,440,1,440.0
band1,10,27758,274,147,206989,33,1408.1
band1,10,33421,137,53,82662,20,1559.7
band1,10,341893,41,28,29582,15,1056.5
band1,10,341898,11,7,10440,6,1491.4
band1,10,370822,4,4,5239,4,1309.8
band1,10,424040,35,6,2883,3,480.5
band1,10,612593,3,2,1521,2,760.5
band1,10,612594,8,5,8044,5,1608.8
band1,10,684924,14,7,10938,3,1562.6
band1,10,684925,8,7,9405,7,1343.6
band1,10,684926,233,103,143439,41,1392.6
band1,10,684927,56,25,34440,14,1377.6
band1,10,805760,1,1,1613,1,1613.0
band1,10,8753,1032,417,605985,49,1453.2
band1,11,11068,66,33,50490,16,1530.0
band1,11,122876,0,1,440,1,440.0
band1,11,27758,250,146,203827,34,1396.1
band1,11,33421,132,59,85395,28,1447.4
band1,11,341893,63,41,47537,22,1159.4
band1,11,341898,11,5,6067,5,1213.4
band1,11,370822,2,2,2695,2,1347.5
band1,11,424040,8,3,1045,2,348.3
band1,11,612593,4,2,2200,2,1100.0
band1,11,612594,6,3,4511,1,1503.7
band1,11,684924,9,7,8936,6,1276.6
band1,11,684925,7,6,8025,5,1337.5
band1,11,684926,219,90,124915,28,1387.9
band1,11,684927,34,22,26446,17,1202.1
band1,11,8753,1064,422,573659,53,1359.4
band1,12,11068,69,32,45175,17,1411.7
band1,12,122876,19,6,2496,3,416.0
band1,12,27758,112,80,116681,21,1458.5
band1,12,33421,123,50,71197,28,1423.9
band1,12,341893,44,23,24053,14,1045.8
band1,12,341898,2,2,2683,2,1341.5
band1,12,370822,4,3,3761,2,1253.7
band1,12,424040,21,5,2735,3,547.0
band1,12,612594,8,4,2145,1,536.2
band1,12,684924,6,6,10317,5,1719.5
band1,12,684925,9,4,5653,4,1413.2
band1,12,684926,250,89,129218,37,1451.9
band1,12,684927,34,15,17431,10,1162.1
band1,12,8753,1194,448,651631,53,1454.5
band1,13,11068,79,43,54939,24,1277.7
band1,13,27758,253,140,198325,36,1416.6
band1,13,33421,84,37,48722,22,1316.8
band1,13,335738,1,1,2179,1,2179.0
band1,13,341893,72,39,45083,16,1156.0
band1,13,341898,2,2,3376,2,1688.0
band1,13,370822,2,2,3205,2,1602.5
band1,13,424040,6,5,1726,4,345.2
