adgroup_id,dim_type,dim_value,imp,clk,cost,rank_sum,n_days
grp-a001-02-000000044103604,h,00,21,0,0,110,3
grp-a001-02-000000044103604,h,01,17,0,0,72,4
grp-a001-02-000000044103604,h,02,56,0,0,99,4
grp-a001-02-000000044103604,h,03,5,0,0,29,3
grp-a001-02-000000044103604,h,04,4,0,0,13,3
grp-a001-02-000000044103604,h,05,7,0,0,28,4
grp-a001-02-000000044103604,h,06,14,0,0,91,4
grp-a001-02-000000044103604,h,07,29,0,0,156,4
grp-a001-02-000000044103604,h,08,27,1,1611,132,4
grp-a001-02-000000044103604,h,09,44,2,3208,189,4
grp-a001-02-000000044103604,h,10,40,1,1501,148,4
grp-a001-02-000000044103604,h,11,64,3,4287,221,3
grp-a001-02-000000044103604,h,12,29,1,1534,190,3
grp-a001-02-000000044103604,h,13,33,1,1609,164,3
grp-a001-02-000000044103604,h,14,36,1,1587,204,4
grp-a001-02-000000044103604,h,15,36,1,1571,190,4
grp-a001-02-000000044103604,h,16,37,2,2909,192,4
grp-a001-02-000000044103604,h,17,27,1,1436,162,4
grp-a001-02-000000044103604,h,18,30,1,1581,176,4
grp-a001-02-000000044103604,h,19,22,1,1615,186,4
grp-a001-02-000000044103604,h,20,35,1,1601,187,4
grp-a001-02-000000044103604,h,21,34,0,0,186,4
grp-a001-02-000000044103604,h,22,49,0,0,209,4
grp-a001-02-000000044103604,h,23,38,0,0,235,4
grp-a001-02-000000044103604,m,11068,71,1,1602,234,4
grp-a001-02-000000044103604,m,27758,54,3,4771,78,5
grp-a001-02-000000044103604,m,33421,157,0,0,871,5
grp-a001-02-000000044103604,m,341893,60,1,1436,292,5
grp-a001-02-000000044103604,m,341898,16,0,0,20,5
grp-a001-02-000000044103604,m,370822,2,0,0,5,2
grp-a001-02-000000044103604,m,684924,9,0,0,9,4
grp-a001-02-000000044103604,m,684925,9,0,0,9,4
grp-a001-02-000000044103604,m,684926,130,1,1587,1029,5
grp-a001-02-000000044103604,m,684927,30,0,0,259,4
grp-a001-02-000000044103604,m,8753,196,11,16654,763,5
grp-a001-02-000000044103604,r,00,3,0,0,14,1
grp-a001-02-000000044103604,r,01,25,1,1512,107,4
grp-a001-02-000000044103604,r,02,158,4,5675,829,5
grp-a001-02-000000044103604,r,03,50,4,6222,228,5
grp-a001-02-000000044103604,r,04,35,0,0,166,5
grp-a001-02-000000044103604,r,05,13,0,0,125,4
grp-a001-02-000000044103604,r,06,36,1,1661,99,4
grp-a001-02-000000044103604,r,07,16,0,0,65,5
grp-a001-02-000000044103604,r,08,36,0,0,184,5
grp-a001-02-000000044103604,r,09,169,3,4799,729,5
grp-a001-02-000000044103604,r,10,14,0,0,66,4
grp-a001-02-000000044103604,r,11,48,1,1397,224,5
grp-a001-02-000000044103604,r,12,23,0,0,100,5
grp-a001-02-000000044103604,r,13,15,0,0,134,4
grp-a001-02-000000044103604,r,14,2,0,0,11,2
grp-a001-02-000000044103604,r,15,17,1,1615,83,5
grp-a001-02-000000044103604,r,16,21,1,1598,94,4
grp-a001-02-000000044103604,r,17,4,0,0,11,2
grp-a001-02-000000044103604,r,99,49,1,1571,300,5
grp-a001-02-000000044108257,h,00,501,2,3086,1878,99
grp-a001-02-000000044108257,h,01,418,2,3079,1413,85
grp-a001-02-000000044108257,h,02,394,5,7326,1120,80
grp-a001-02-000000044108257,h,03,386,1,1557,1298,94
grp-a001-02-000000044108257,h,04,421,1,1596,1655,92
grp-a001-02-000000044108257,h,05,360,0,0,1283,87
grp-a001-02-000000044108257,h,06,507,2,3089,2067,107
grp-a001-02-000000044108257,h,07,556,9,13649,2066,91
grp-a001-02-000000044108257,h,08,608,7,10859,2126,95
grp-a001-02-000000044108257,h,09,685,17,25672,2538,97
grp-a001-02-000000044108257,h,10,768,14,21989,2847,100
grp-a001-02-000000044108257,h,11,588,9,13597,2205,93
grp-a001-02-000000044108257,h,12,624,10,16035,2364,87
grp-a001-02-000000044108257,h,13,677,15,23407,2560,99
grp-a001-02-000000044108257,h,14,726,7,11215,2791,103
grp-a001-02-000000044108257,h,15,697,14,20798,2555,108
grp-a001-02-000000044108257,h,16,679,8,12701,2515,100
grp-a001-02-000000044108257,h,17,739,15,23919,2715,100
grp-a001-02-000000044108257,h,18,617,5,7416,2372,99
grp-a001-02-000000044108257,h,19,683,10,15151,2839,101
grp-a001-02-000000044108257,h,20,684,4,6474,2613,100
grp-a001-02-000000044108257,h,21,750,10,15518,2977,101
grp-a001-02-000000044108257,h,22,767,9,13374,3251,101
grp-a001-02-000000044108257,h,23,845,9,14057,3667,112
grp-a001-02-000000044108257,m,11068,780,5,7926,4423,104
grp-a001-02-000000044108257,m,27758,756,44,67724,1445,78
grp-a001-02-000000044108257,m,33421,7132,9,13730,23320,138
grp-a001-02-000000044108257,m,341893,634,13,16970,3323,127
grp-a001-02-000000044108257,m,341898,301,0,0,409,72
grp-a001-02-000000044108257,m,370822,48,0,0,113,39
grp-a001-02-000000044108257,m,684924,164,0,0,164,42
grp-a001-02-000000044108257,m,684925,279,6,9093,279,41
grp-a001-02-000000044108257,m,684926,1817,28,44297,10454,120
grp-a001-02-000000044108257,m,684927,368,9,12669,2097,92
grp-a001-02-000000044108257,m,787480,1,0,0,7,1
grp-a001-02-000000044108257,m,805759,5,0,0,52,4
grp-a001-02-000000044108257,m,805760,7,0,0,27,5
grp-a001-02-000000044108257,m,8753,2388,71,113155,9602,106
grp-a001-02-000000044108257,r,00,46,0,0,196,24
grp-a001-02-000000044108257,r,01,207,6,9612,1080,76
grp-a001-02-000000044108257,r,02,2169,48,73562,10201,123
grp-a001-02-000000044108257,r,03,438,8,12101,2218,90
grp-a001-02-000000044108257,r,04,374,12,18296,1723,89
grp-a001-02-000000044108257,r,05,67,0,0,372,33
grp-a001-02-000000044108257,r,06,356,5,7600,1524,83
grp-a001-02-000000044108257,r,07,272,8,13150,1080,73
grp-a001-02-000000044108257,r,08,448,13,19190,2122,94
grp-a001-02-000000044108257,r,09,7555,43,67506,22453,140
grp-a001-02-000000044108257,r,10,195,0,0,940,62
grp-a001-02-000000044108257,r,11,412,3,4658,1904,89
grp-a001-02-000000044108257,r,12,75,1,1001,446,34
grp-a001-02-000000044108257,r,13,228,5,7880,1131,75
grp-a001-02-000000044108257,r,14,55,1,1578,255,25
grp-a001-02-000000044108257,r,15,326,9,13044,1595,90
grp-a001-02-000000044108257,r,16,205,3,4676,1034,73
grp-a001-02-000000044108257,r,17,98,2,2806,424,42
grp-a001-02-000000044108257,r,18,339,4,6426,1323,46
grp-a001-02-000000044108257,r,99,815,14,22478,3694,104
grp-a001-02-000000044108615,h,00,229,0,0,1469,76
grp-a001-02-000000044108615,h,01,113,1,1528,622,50
grp-a001-02-000000044108615,h,02,85,0,0,645,39
grp-a001-02-000000044108615,h,03,107,0,0,555,27
grp-a001-02-000000044108615,h,04,62,1,1599,303,23
grp-a001-02-000000044108615,h,05,106,0,0,578,38
grp-a001-02-000000044108615,h,06,157,0,0,967,68
grp-a001-02-000000044108615,h,07,184,5,6824,990,72
grp-a001-02-000000044108615,h,08,200,0,0,1128,85
grp-a001-02-000000044108615,h,09,203,0,0,1189,79
grp-a001-02-000000044108615,h,10,238,2,2804,1526,93
grp-a001-02-000000044108615,h,11,195,5,7388,1259,92
grp-a001-02-000000044108615,h,12,161,2,2651,992,71
grp-a001-02-000000044108615,h,13,201,5,6905,1194,82
grp-a001-02-000000044108615,h,14,242,6,8886,1727,89
grp-a001-02-000000044108615,h,15,194,3,4399,1107,81
grp-a001-02-000000044108615,h,16,221,9,12518,1284,89
grp-a001-02-000000044108615,h,17,212,7,9709,1276,88
grp-a001-02-000000044108615,h,18,219,2,2733,1360,77
grp-a001-02-000000044108615,h,19,234,1,1426,1484,90
grp-a001-02-000000044108615,h,20,282,7,9655,1755,99
grp-a001-02-000000044108615,h,21,263,8,11552,1773,97
grp-a001-02-000000044108615,h,22,259,9,12533,1538,86
grp-a001-02-000000044108615,h,23,228,1,1102,1291,86
grp-a001-02-000000044108615,m,11068,278,3,4154,1843,87
grp-a001-02-000000044108615,m,27758,239,9,11882,485,77
grp-a001-02-000000044108615,m,33421,1055,7,9487,6927,117
grp-a001-02-000000044108615,m,341893,781,1,1323,5695,145
grp-a001-02-000000044108615,m,341898,159,0,0,269,86
grp-a001-02-000000044108615,m,370822,75,0,0,194,53
grp-a001-02-000000044108615,m,556927,2,0,0,2,1
grp-a001-02-000000044108615,m,684924,51,0,0,51,29
grp-a001-02-000000044108615,m,684925,23,0,0,23,18
grp-a001-02-000000044108615,m,684926,804,7,9179,6207,120
grp-a001-02-000000044108615,m,684927,184,2,2946,1723,87
grp-a001-02-000000044108615,m,787480,1,0,0,41,1
