adgroup_id,hour_code,region_code,media_code,imp,clk,cost,n_days
grp-a001-02-000000044103604,08,09,8753,2,1,1611,1
grp-a001-02-000000044103604,09,02,11068,2,1,1602,1
grp-a001-02-000000044103604,09,03,8753,1,1,1606,1
grp-a001-02-000000044103604,10,03,27758,3,1,1501,1
grp-a001-02-000000044103604,11,02,8753,1,1,1028,1
grp-a001-02-000000044103604,11,06,27758,1,1,1661,1
grp-a001-02-000000044103604,11,16,8753,2,1,1598,1
grp-a001-02-000000044103604,12,03,8753,1,1,1534,1
grp-a001-02-000000044103604,13,02,27758,1,1,1609,1
grp-a001-02-000000044103604,14,09,684926,1,1,1587,1
grp-a001-02-000000044103604,15,99,8753,2,1,1571,1
grp-a001-02-000000044103604,16,01,8753,1,1,1512,1
grp-a001-02-000000044103604,16,11,8753,1,1,1397,1
grp-a001-02-000000044103604,17,02,341893,1,1,1436,1
grp-a001-02-000000044103604,18,03,8753,1,1,1581,1
grp-a001-02-000000044103604,19,15,8753,2,1,1615,1
grp-a001-02-000000044103604,20,09,8753,2,1,1601,1
grp-a001-02-000000044108257,00,01,8753,3,1,1458,1
grp-a001-02-000000044108257,00,06,8753,2,1,1628,1
grp-a001-02-000000044108257,01,03,8753,1,1,1447,1
grp-a001-02-000000044108257,01,15,684927,2,1,1632,1
grp-a001-02-000000044108257,02,02,684927,2,1,1613,1
grp-a001-02-000000044108257,02,08,11068,1,1,1520,1
grp-a001-02-000000044108257,02,08,684926,7,1,1313,1
grp-a001-02-000000044108257,02,08,8753,1,1,1542,1
grp-a001-02-000000044108257,02,17,684926,3,1,1338,1
grp-a001-02-000000044108257,03,09,8753,5,1,1557,1
grp-a001-02-000000044108257,04,99,8753,1,1,1596,1
grp-a001-02-000000044108257,06,18,684926,1,1,1443,1
grp-a001-02-000000044108257,06,99,341893,2,1,1646,1
grp-a001-02-000000044108257,07,02,8753,1,1,1624,1
grp-a001-02-000000044108257,07,03,684926,2,1,1636,1
grp-a001-02-000000044108257,07,03,8753,1,1,1582,1
grp-a001-02-000000044108257,07,04,8753,1,1,1386,1
grp-a001-02-000000044108257,07,09,341893,1,1,1341,1
grp-a001-02-000000044108257,07,14,8753,2,1,1578,1
grp-a001-02-000000044108257,07,16,8753,1,1,1449,1
grp-a001-02-000000044108257,07,99,684926,4,2,3053,2
grp-a001-02-000000044108257,08,01,27758,1,1,1605,1
grp-a001-02-000000044108257,08,08,684925,1,1,1184,1
grp-a001-02-000000044108257,08,09,33421,5,1,1484,1
grp-a001-02-000000044108257,08,09,8753,3,1,1632,1
grp-a001-02-000000044108257,08,13,27758,1,1,1553,1
grp-a001-02-000000044108257,08,15,27758,1,1,1804,1
grp-a001-02-000000044108257,08,18,27758,1,1,1597,1
grp-a001-02-000000044108257,09,01,8753,3,1,1637,1
grp-a001-02-000000044108257,09,02,27758,1,1,1649,1
grp-a001-02-000000044108257,09,02,684926,4,2,3202,2
grp-a001-02-000000044108257,09,02,8753,1,1,1552,1
grp-a001-02-000000044108257,09,03,27758,1,1,1539,1
grp-a001-02-000000044108257,09,04,27758,1,1,1498,1
grp-a001-02-000000044108257,09,04,8753,8,2,3425,2
grp-a001-02-000000044108257,09,07,8753,1,1,1633,1
grp-a001-02-000000044108257,09,09,27758,3,3,4392,3
grp-a001-02-000000044108257,09,09,684926,1,1,1584,1
grp-a001-02-000000044108257,09,15,341893,1,1,1135,1
grp-a001-02-000000044108257,09,15,684927,1,1,868,1
grp-a001-02-000000044108257,09,99,33421,2,1,1558,1
grp-a001-02-000000044108257,10,01,8753,1,1,1636,1
grp-a001-02-000000044108257,10,02,27758,1,1,1265,1
grp-a001-02-000000044108257,10,02,684926,3,1,1835,1
grp-a001-02-000000044108257,10,02,8753,1,1,1646,1
grp-a001-02-000000044108257,10,03,27758,1,1,1547,1
grp-a001-02-000000044108257,10,08,27758,1,1,1153,1
grp-a001-02-000000044108257,10,08,684926,4,1,1892,1
grp-a001-02-000000044108257,10,09,27758,1,1,1565,1
grp-a001-02-000000044108257,10,09,33421,2,1,1255,1
grp-a001-02-000000044108257,10,09,8753,12,4,6858,4
grp-a001-02-000000044108257,10,16,8753,1,1,1337,1
grp-a001-02-000000044108257,11,02,27758,1,2,3369,2
grp-a001-02-000000044108257,11,02,341893,2,1,1137,1
grp-a001-02-000000044108257,11,04,341893,2,1,1530,1
grp-a001-02-000000044108257,11,06,8753,1,1,1595,1
grp-a001-02-000000044108257,11,07,27758,1,1,1598,1
grp-a001-02-000000044108257,11,09,684927,1,1,1166,1
grp-a001-02-000000044108257,11,09,8753,2,1,1634,1
grp-a001-02-000000044108257,11,18,33421,1,1,1568,1
grp-a001-02-000000044108257,12,02,27758,1,1,1522,1
grp-a001-02-000000044108257,12,04,8753,3,1,1601,1
grp-a001-02-000000044108257,12,09,27758,1,1,1561,1
grp-a001-02-000000044108257,12,09,684926,3,1,1608,1
grp-a001-02-000000044108257,12,09,8753,3,3,4735,3
grp-a001-02-000000044108257,12,13,8753,1,1,1550,1
grp-a001-02-000000044108257,12,16,684925,5,1,1890,1
grp-a001-02-000000044108257,12,99,8753,5,1,1568,1
grp-a001-02-000000044108257,13,01,27758,1,1,1626,1
grp-a001-02-000000044108257,13,02,27758,1,1,1497,1
grp-a001-02-000000044108257,13,02,684925,2,1,1642,1
grp-a001-02-000000044108257,13,02,684926,1,1,1546,1
grp-a001-02-000000044108257,13,02,8753,3,2,3187,2
grp-a001-02-000000044108257,13,03,8753,1,1,1593,1
grp-a001-02-000000044108257,13,07,27758,1,1,1421,1
grp-a001-02-000000044108257,13,08,8753,1,1,1634,1
grp-a001-02-000000044108257,13,09,27758,2,1,1577,1
grp-a001-02-000000044108257,13,09,684926,1,1,1533,1
grp-a001-02-000000044108257,13,09,684927,1,1,1469,1
grp-a001-02-000000044108257,13,13,27758,1,1,1589,1
grp-a001-02-000000044108257,13,13,8753,1,1,1549,1
grp-a001-02-000000044108257,13,99,8753,2,1,1544,1
grp-a001-02-000000044108257,14,02,27758,0,1,1604,1
grp-a001-02-000000044108257,14,02,8753,1,1,1649,1
grp-a001-02-000000044108257,14,04,8753,1,1,1544,1
grp-a001-02-000000044108257,14,07,684926,3,1,1650,1
grp-a001-02-000000044108257,14,08,341893,2,1,1429,1
grp-a001-02-000000044108257,14,99,8753,3,2,3339,2
grp-a001-02-000000044108257,15,02,341893,2,2,2138,2
grp-a001-02-000000044108257,15,02,684926,2,1,1891,1
grp-a001-02-000000044108257,15,03,684927,1,1,1293,1
grp-a001-02-000000044108257,15,04,11068,1,1,1372,1
grp-a001-02-000000044108257,15,04,27758,1,1,1695,1
grp-a001-02-000000044108257,15,06,33421,2,1,1364,1
grp-a001-02-000000044108257,15,09,27758,11,5,7791,5
grp-a001-02-000000044108257,15,09,8753,4,2,3254,2
grp-a001-02-000000044108257,16,01,27758,2,1,1650,1
grp-a001-02-000000044108257,16,02,27758,6,2,3203,2
grp-a001-02-000000044108257,16,02,684926,1,1,1823,1
grp-a001-02-000000044108257,16,08,27758,1,1,1419,1
grp-a001-02-000000044108257,16,09,684925,1,1,1517,1
grp-a001-02-000000044108257,16,09,8753,2,1,1505,1
grp-a001-02-000000044108257,16,99,8753,1,1,1584,1
grp-a001-02-000000044108257,17,02,27758,2,2,3236,2
grp-a001-02-000000044108257,17,02,684925,1,1,1263,1
grp-a001-02-000000044108257,17,02,8753,3,2,3095,2
grp-a001-02-000000044108257,17,04,8753,1,1,1603,1
grp-a001-02-000000044108257,17,06,684926,2,1,1627,1
grp-a001-02-000000044108257,17,07,8753,1,1,1828,1
grp-a001-02-000000044108257,17,08,341893,1,1,1197,1
grp-a001-02-000000044108257,17,09,27758,2,2,3504,2
grp-a001-02-000000044108257,17,09,8753,3,1,1672,1
grp-a001-02-000000044108257,17,11,27758,1,1,1612,1
grp-a001-02-000000044108257,17,15,8753,1,1,1543,1
grp-a001-02-000000044108257,17,99,8753,1,1,1739,1
grp-a001-02-000000044108257,18,02,27758,0,1,1016,1
grp-a001-02-000000044108257,18,02,341893,3,2,2942,2
grp-a001-02-000000044108257,18,09,8753,3,1,1722,1
grp-a001-02-000000044108257,18,99,8753,4,1,1736,1
grp-a001-02-000000044108257,19,02,11068,2,1,1769,1
grp-a001-02-000000044108257,19,02,27758,1,1,1342,1
grp-a001-02-000000044108257,19,02,684925,1,1,1597,1
grp-a001-02-000000044108257,19,02,684926,1,1,1482,1
grp-a001-02-000000044108257,19,02,8753,5,1,1515,1
grp-a001-02-000000044108257,19,04,11068,1,1,1528,1
grp-a001-02-000000044108257,19,09,33421,10,1,1569,1
grp-a001-02-000000044108257,19,09,684926,4,1,1374,1
grp-a001-02-000000044108257,19,11,8753,7,1,1432,1
grp-a001-02-000000044108257,19,15,8753,1,1,1543,1
grp-a001-02-000000044108257,20,02,684927,2,1,1579,1
grp-a001-02-000000044108257,20,06,684926,1,1,1386,1
grp-a001-02-000000044108257,20,09,8753,2,1,1870,1
grp-a001-02-000000044108257,20,13,684927,1,1,1639,1
grp-a001-02-000000044108257,21,02,11068,1,1,1737,1
grp-a001-02-000000044108257,21,02,684926,12,1,1555,1
