dim_value|rows_|imp|clk|cost|d0|d1|grps
8753|24440|843835|18375|25930854|2026-02-19|2026-08-18|304
684926|26143|388386|4685|6314479|2026-02-19|2026-08-18|301
27758|13345|152463|3875|5416035|2026-02-19|2026-08-18|288
33421|27728|1144676|2807|3864764|2026-02-19|2026-08-18|302
341893|24615|286963|1951|2018710|2026-02-19|2026-08-18|300
11068|18591|173949|1086|1489089|2026-02-19|2026-08-18|299
684927|17512|106849|759|944244|2026-02-19|2026-08-18|301
684924|10907|136866|371|485969|2026-02-19|2026-08-18|284
341898|13653|78006|316|398871|2026-02-19|2026-08-18|287
684925|7409|43928|218|282506|2026-02-19|2026-08-18|262
370822|7615|17998|126|148904|2026-02-19|2026-08-18|282
424040|2210|39557|349|140717|2026-02-19|2026-08-18|79
612594|2185|10002|99|101795|2026-02-19|2026-08-18|55
612593|1937|7144|34|32546|2026-02-19|2026-08-18|57
122876|1753|20090|51|26482|2026-02-19|2026-08-18|72
805760|836|1224|7|10609|2026-02-19|2026-08-18|137
335738|1859|5984|5|5676|2026-02-19|2026-08-18|89
805759|840|1208|1|1448|2026-02-20|2026-08-18|150
87620|11|57|2|1101|2026-04-03|2026-07-30|4
118495|4|5|1|805|2026-04-01|2026-07-31|3
137281|12|345|1|672|2026-04-04|2026-07-30|4
791888|8|33|1|493|2026-04-01|2026-07-30|4
98128|24|421|0|0|2026-03-30|2026-07-30|4
798056|4|8|0|0|2026-07-28|2026-07-29|3
791889|5|8|0|0|2026-04-06|2026-07-30|3
787481|52|67|0|0|2026-02-19|2026-08-17|27
787480|60|73|0|0|2026-02-19|2026-08-16|53
787479|90|147|0|0|2026-02-19|2026-08-17|53
787478|17|23|0|0|2026-02-19|2026-08-16|14
684931|11|46|0|0|2026-07-10|2026-08-15|5
684930|13|57|0|0|2026-02-21|2026-08-18|2
556927|830|1448|0|0|2026-02-19|2026-08-18|164
529514|25|6283|0|0|2026-03-25|2026-07-30|4
291244|10|38|0|0|2026-04-03|2026-07-30|4
248824|6|9|0|0|2026-07-28|2026-07-29|3
23123|10|29|0|0|2026-04-01|2026-07-30|4
172112|3|12|0|0|2026-07-29|2026-07-29|3
