band,ctype,blk,pc,mob,cost,imp,clk,bcost
band1,WEB_SITE,6,1,0,0,0,0,82090.0
band2,WEB_SITE,6,1,0,0,0,0,20670.0
band1,WEB_SITE,6,1,0,0,0,0,21620.0
band1,WEB_SITE,6,1,0,0,0,0,198842.0
band1,WEB_SITE,6,1,0,0,0,0,53120.0
band1,WEB_SITE,6,1,0,0,0,0,238991.0
band1,WEB_SITE,6,1,0,0,0,0,214612.0
band1,WEB_SITE,6,1,0,0,0,0,32651.0
band2,WEB_SITE,6,1,0,0,0,0,20740.0
band1,WEB_SITE,6,1,0,0,0,0,40780.0
band1,WEB_SITE,6,1,0,0,0,0,54490.0
band3,WEB_SITE,6,1,0,0,0,0,43680.0
band2,WEB_SITE,6,1,0,0,0,0,131580.0
band1,WEB_SITE,6,1,0,0,0,0,48410.0
band1,WEB_SITE,6,1,0,0,0,0,145072.0
band3,WEB_SITE,6,1,0,0,0,0,105050.0
band2,WEB_SITE,6,1,0,0,0,0,71250.0
band1,WEB_SITE,6,1,0,0,0,0,77661.0
band1,WEB_SITE,6,1,0,0,0,0,168200.0
band1,WEB_SITE,6,1,0,0,0,0,27920.0
band3,WEB_SITE,6,1,0,0,0,0,34664.0
band1,WEB_SITE,6,1,0,0,0,0,6720.0
band1,WEB_SITE,6,1,0,0,0,0,190453.0
band1,WEB_SITE,6,1,0,0,0,0,49740.0
band1,WEB_SITE,6,1,0,0,0,0,23860.0
band2,WEB_SITE,6,1,0,0,0,0,10980.0
band1,WEB_SITE,6,1,0,0,0,0,161220.0
band1,WEB_SITE,6,1,0,0,0,0,15749.0
band1,WEB_SITE,6,1,0,0,0,0,29350.0
band1,WEB_SITE,6,1,0,0,0,0,4900.0
band1,WEB_SITE,6,1,0,0,0,0,84070.0
band1,WEB_SITE,6,1,0,0,0,0,26630.0
band3,WEB_SITE,6,1,0,0,0,0,20640.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,11780.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,7870.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,540.0
band1,WEB_SITE,6,1,0,0,0,0,14370.0
band1,WEB_SITE,6,1,0,0,0,0,12630.0
band3,WEB_SITE,6,1,0,0,0,0,26454.0
band1,WEB_SITE,6,1,0,0,0,0,7070.0
band1,WEB_SITE,6,1,0,0,0,0,3410.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,2970.0
band1,WEB_SITE,6,1,0,0,0,0,2980.0
band1,WEB_SITE,6,1,0,0,0,0,3730.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,990.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,160.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,1390.0
band1,WEB_SITE,6,1,0,0,0,0,47210.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,1670.0
band1,WEB_SITE,6,1,0,0,0,0,17700.0
band1,WEB_SITE,6,1,0,0,0,0,142136.0
band2,WEB_SITE,6,1,0,0,0,0,115740.0
band1,WEB_SITE,6,1,0,0,0,0,13710.0
band1,WEB_SITE,6,1,0,0,0,0,9988.0
band1,WEB_SITE,6,1,0,0,0,0,272890.0
band3,WEB_SITE,6,1,0,0,0,0,61818.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,790.0
band1,WEB_SITE,6,1,0,0,0,0,48669.0
band1,WEB_SITE,6,1,0,0,0,0,10150.0
band3,WEB_SITE,6,1,0,0,0,0,162770.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,3910.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,1030.0
band2,WEB_SITE,6,1,0,0,0,0,27810.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,6790.0
band2,WEB_SITE,6,1,0,0,0,0,357459.0
band1,WEB_SITE,6,1,0,0,0,0,336107.0
band3,WEB_SITE,6,1,0,0,0,0,94340.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,1350.0
band3,WEB_SITE,6,1,0,0,0,0,119519.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,11270.0
band3,WEB_SITE,6,1,0,0,0,0,84703.0
band2,WEB_SITE,6,1,0,0,0,0,400098.0
band1,WEB_SITE,6,1,0,0,0,0,95030.0
band1,WEB_SITE,6,1,0,0,0,0,90800.0
band4_unjudgeable,WEB_SITE,6,1,0,0,0,0,18040.0
band3,WEB_SITE,6,1,0,0,0,0,19460.0
band1,WEB_SITE,6,1,0,0,0,0,4670.0
band1,WEB_SITE,6,0,1,0,0,0,312020.0
band1,WEB_SITE,6,0,1,0,0,0,218882.0
band1,WEB_SITE,6,0,1,0,0,0,133640.0
band1,WEB_SITE,6,0,1,0,0,0,40180.0
band1,WEB_SITE,6,0,1,0,0,0,690520.0
band1,WEB_SITE,6,0,1,0,0,0,235400.0
band3,WEB_SITE,6,0,1,0,0,0,478790.0
band3,WEB_SITE,6,0,1,0,0,0,134220.0
band1,WEB_SITE,6,0,1,0,0,0,585524.0
band2,WEB_SITE,6,0,1,0,0,0,553480.0
band2,WEB_SITE,6,0,1,0,0,0,178757.0
band1,WEB_SITE,6,0,1,0,0,0,165270.0
band1,WEB_SITE,6,0,1,0,0,0,129300.0
band3,WEB_SITE,6,0,1,0,0,0,76090.0
band3,WEB_SITE,6,0,1,0,0,0,485280.0
band1,WEB_SITE,6,0,1,0,0,0,164810.0
band2,WEB_SITE,6,0,1,0,0,0,827484.0
band1,WEB_SITE,6,0,1,0,0,0,205340.0
band2,WEB_SITE,6,0,1,0,0,0,166856.0
band1,WEB_SITE,6,0,1,0,0,0,185370.0
band1,WEB_SITE,6,0,1,0,0,0,426247.0
band1,WEB_SITE,6,0,1,0,0,0,70020.0
band1,WEB_SITE,6,0,1,0,0,0,105290.0
band1,WEB_SITE,6,0,1,0,0,0,35360.0
band3,WEB_SITE,6,0,1,0,0,0,132360.0
band2,WEB_SITE,6,0,1,0,0,0,203170.0
band3,WEB_SITE,6,0,1,0,0,0,10820.0
band1,WEB_SITE,6,0,1,0,0,0,1298350.0
band1,WEB_SITE,6,0,1,0,0,0,61070.0
band1,WEB_SITE,6,0,1,0,0,0,204050.0
band1,WEB_SITE,6,0,1,0,0,0,28670.0
band1,WEB_SITE,6,0,1,0,0,0,515720.0
band1,WEB_SITE,6,0,1,0,0,0,135660.0
band3,WEB_SITE,6,0,1,0,0,0,66800.0
band1,WEB_SITE,6,0,1,0,0,0,3720.0
band1,WEB_SITE,6,0,1,0,0,0,135600.0
band1,WEB_SITE,6,0,1,0,0,0,7040.0
band3,WEB_SITE,6,0,1,0,0,0,99230.0
band1,WEB_SITE,6,0,1,0,0,0,140190.0
band1,WEB_SITE,6,0,1,0,0,0,73244.0
band1,WEB_SITE,6,0,1,0,0,0,73460.0
band1,WEB_SITE,6,0,1,0,0,0,46130.0
band1,WEB_SITE,6,0,1,0,0,0,27820.0
band1,WEB_SITE,6,0,1,0,0,0,20580.0
band1,WEB_SITE,6,0,1,0,0,0,232770.0
band1,WEB_SITE,6,0,1,0,0,0,82739.0
band3,WEB_SITE,6,0,1,0,0,0,102720.0
band1,WEB_SITE,6,0,1,0,0,0,126560.0
band3,WEB_SITE,6,0,1,0,0,0,31180.0
band1,WEB_SITE,6,0,1,0,0,0,8640.0
band2,WEB_SITE,6,0,1,0,0,0,17941.0
band1,WEB_SITE,6,0,1,0,0,0,84190.0
band1,WEB_SITE,6,0,1,0,0,0,27560.0
band1,WEB_SITE,6,0,1,0,0,0,39190.0
band1,WEB_SITE,6,0,1,0,0,0,24310.0
band1,WEB_SITE,6,0,1,0,0,0,11880.0
band1,WEB_SITE,6,0,1,0,0,0,179730.0
band3,WEB_SITE,6,0,1,0,0,0,118500.0
band1,WEB_SITE,6,0,1,0,0,0,46690.0
band4_unjudgeable,WEB_SITE,6,0,1,0,0,0,2090.0
band1,WEB_SITE,6,0,1,0,0,0,15170.0
band1,WEB_SITE,6,0,1,0,0,0,11390.0
band3,WEB_SITE,6,0,1,0,0,0,12080.0
band1,WEB_SITE,6,0,1,0,0,0,2860.0
band1,WEB_SITE,6,0,1,0,0,0,20728.0
band4_unjudgeable,WEB_SITE,6,0,1,0,0,0,3030.0
band1,WEB_SITE,6,0,1,0,0,0,104270.0
band1,WEB_SITE,6,0,1,0,0,0,29280.0
band1,WEB_SITE,6,0,1,0,0,0,36510.0
band2,WEB_SITE,6,0,1,0,0,0,48423.0
band1,WEB_SITE,6,0,1,0,0,0,1105630.0
band3,WEB_SITE,6,0,1,0,0,0,146480.0
band4_unjudgeable,WEB_SITE,6,0,1,0,0,0,8100.0
band1,WEB_SITE,6,0,1,0,0,0,116510.0
band2,WEB_SITE,6,0,1,0,0,0,572000.0
band2,WEB_SITE,6,0,1,0,0,0,18010.0
band4_unjudgeable,WEB_SITE,6,0,1,0,0,0,2130.0
band2,WEB_SITE,6,0,1,0,0,0,60530.0
band1,WEB_SITE,6,0,1,0,0,0,488530.0
band1,WEB_SITE,6,0,1,0,0,0,85470.0
band1,WEB_SITE,6,0,1,0,0,0,28280.0
band3,WEB_SITE,6,0,1,0,0,0,136940.0
band3,WEB_SITE,6,0,1,0,0,0,148480.0
band1,WEB_SITE,6,0,1,0,0,0,113840.0
band1,WEB_SITE,6,0,1,0,0,0,55530.0
band1,WEB_SITE,6,0,1,0,0,0,22606.0
band1,WEB_SITE,6,0,1,0,0,0,1581083.0
band2,WEB_SITE,6,0,1,0,0,0,1901329.0
band3,WEB_SITE,6,0,1,0,0,0,210830.0
band3,WEB_SITE,6,0,1,0,0,0,324970.0
band3,WEB_SITE,6,0,1,0,0,0,144790.0
band3,WEB_SITE,6,0,1,0,0,0,35438.0
band3,WEB_SITE,6,0,1,0,0,0,410702.0
band3,WEB_SITE,6,0,1,0,0,0,39210.0
band1,WEB_SITE,6,0,1,0,0,0,410460.0
band1,WEB_SITE,6,0,1,0,0,0,982310.0
band1,WEB_SITE,6,0,1,0,0,0,186005.0
band3,WEB_SITE,6,0,1,0,0,0,99870.0
band3,WEB_SITE,6,0,1,0,0,0,52700.0
band4_unjudgeable,WEB_SITE,6,0,1,0,0,0,13020.0
band1,WEB_SITE,4,1,1,0,0,0,548772.0
band1,WEB_SITE,0,1,1,0,0,0,42250.0
band1,WEB_SITE,2,1,1,0,0,0,34301.0
band3,WEB_SITE,2,1,1,0,0,0,179552.0
band3,WEB_SITE,2,1,1,0,0,0,69647.0
band1,WEB_SITE,2,1,1,0,0,0,31243.0
band1,WEB_SITE,2,1,1,0,0,0,327926.0
band1,WEB_SITE,6,1,1,0,0,0,270117.0
band1,WEB_SITE,6,1,1,0,0,0,273471.0
band1,WEB_SITE,6,1,1,0,0,0,781355.0
band1,WEB_SITE,6,1,1,0,0,0,321674.0
band1,WEB_SITE,6,1,1,0,0,0,388490.0
band1,WEB_SITE,6,1,1,0,0,0,130651.0
band2,WEB_SITE,6,1,1,0,0,0,677211.0
band2,WEB_SITE,6,1,1,0,0,0,397240.0
band2,WEB_SITE,6,1,1,0,0,0,211112.0
band3,WEB_SITE,6,1,1,0,0,0,526609.0
