adgroup_id|probe_status|black_media_count|pc|mobile|media_edit_tm|imp|clk|cost|n_days
grp-a001-01-000000031185769|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000031185770|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000031185773|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000031186567|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000032824322|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000032895324|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000037423624|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000037423628|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000037423632|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000037423635|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000037423636|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000037842041|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000038769329|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000038769330|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000038769331|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000038769333|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000038769355|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000038934999|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000038935115|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000039544742|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000040080458|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000040173285|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000040173291|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000040173293|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000040189696|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000040284151|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000042969832|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000043502813|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000043996580|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000044378320|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000044808498|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000044808499|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000044808500|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000045694026|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000045802263|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046132066|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046436150|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046477597|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046480952|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046483564|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046588417|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000046837921|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046838157|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000046838297|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046838896|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000046839132|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046839232|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000046971358|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046971480|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046971678|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046975512|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000046975542|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000046975626|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000046975770|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000046976107|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000046976135|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
grp-a001-01-000000046978005|200|6|1|0|2025-08-14T01:30:58.000Z|0|0|0|0
grp-a001-01-000000046978099|200|6|1|0|2025-08-14T01:30:59.000Z|0|0|0|0
