media_code|grps_blocked|grps_open|imp_open|clk_open|cost_open|imp_blocked|cost_blocked|d0|d1
8753|0|304|843835|18375|25930854|0|0|2026-02-19|2026-08-18
684926|0|301|388386|4685|6314479|0|0|2026-02-19|2026-08-18
27758|0|288|152463|3875|5416035|0|0|2026-02-19|2026-08-18
33421|0|302|1144676|2807|3864764|0|0|2026-02-19|2026-08-18
341893|0|300|286963|1951|2018710|0|0|2026-02-19|2026-08-18
11068|0|299|173949|1086|1489089|0|0|2026-02-19|2026-08-18
684927|0|301|106849|759|944244|0|0|2026-02-19|2026-08-18
684924|0|284|136866|371|485969|0|0|2026-02-19|2026-08-18
341898|0|287|78006|316|398871|0|0|2026-02-19|2026-08-18
684925|0|262|43928|218|282506|0|0|2026-02-19|2026-08-18
370822|0|282|17998|126|148904|0|0|2026-02-19|2026-08-18
424040|0|79|39557|349|140717|0|0|2026-02-19|2026-08-18
612594|0|55|10002|99|101795|0|0|2026-02-19|2026-08-18
612593|0|57|7144|34|32546|0|0|2026-02-19|2026-08-18
122876|0|72|20090|51|26482|0|0|2026-02-19|2026-08-18
805760|0|137|1224|7|10609|0|0|2026-02-19|2026-08-18
335738|1|88|5983|5|5676|1|0|2026-02-19|2026-08-18
805759|0|150|1208|1|1448|0|0|2026-02-20|2026-08-18
87620|0|4|57|2|1101|0|0|2026-04-03|2026-07-30
118495|0|3|5|1|805|0|0|2026-04-01|2026-07-31
137281|0|4|345|1|672|0|0|2026-04-04|2026-07-30
791888|0|4|33|1|493|0|0|2026-04-01|2026-07-30
98128|0|4|421|0|0|0|0|2026-03-30|2026-07-30
798056|0|3|8|0|0|0|0|2026-07-28|2026-07-29
791889|0|3|8|0|0|0|0|2026-04-06|2026-07-30
787481|0|27|67|0|0|0|0|2026-02-19|2026-08-17
787480|0|53|73|0|0|0|0|2026-02-19|2026-08-16
787479|0|53|147|0|0|0|0|2026-02-19|2026-08-17
787478|0|14|23|0|0|0|0|2026-02-19|2026-08-16
684931|0|5|46|0|0|0|0|2026-07-10|2026-08-15
684930|0|2|57|0|0|0|0|2026-02-21|2026-08-18
556927|0|164|1448|0|0|0|0|2026-02-19|2026-08-18
529514|0|4|6283|0|0|0|0|2026-03-25|2026-07-30
291244|0|4|38|0|0|0|0|2026-04-03|2026-07-30
248824|0|3|9|0|0|0|0|2026-07-28|2026-07-29
23123|0|4|29|0|0|0|0|2026-04-01|2026-07-30
172112|0|3|12|0|0|0|0|2026-07-29|2026-07-29
