code|grps_blocking|grps_delivered|imp|clk|cost|d0|d1
8753|0|304|843835|18375|25930854|2026-02-19|2026-08-18
684926|0|301|388386|4685|6314479|2026-02-19|2026-08-18
27758|0|288|152463|3875|5416035|2026-02-19|2026-08-18
33421|0|302|1144676|2807|3864764|2026-02-19|2026-08-18
341893|1|300|286963|1951|2018710|2026-02-19|2026-08-18
11068|0|299|173949|1086|1489089|2026-02-19|2026-08-18
684927|0|301|106849|759|944244|2026-02-19|2026-08-18
684924|0|284|136866|371|485969|2026-02-19|2026-08-18
341898|0|287|78006|316|398871|2026-02-19|2026-08-18
684925|0|262|43928|218|282506|2026-02-19|2026-08-18
370822|1|282|17998|126|148904|2026-02-19|2026-08-18
424040|0|79|39557|349|140717|2026-02-19|2026-08-18
612594|791|55|10002|99|101795|2026-02-19|2026-08-18
612593|791|57|7144|34|32546|2026-02-19|2026-08-18
122876|56|72|20090|51|26482|2026-02-19|2026-08-18
805760|14|137|1224|7|10609|2026-02-19|2026-08-18
335738|717|89|5984|5|5676|2026-02-19|2026-08-18
805759|14|150|1208|1|1448|2026-02-20|2026-08-18
87620|21|4|57|2|1101|2026-04-03|2026-07-30
118495|965|3|5|1|805|2026-04-01|2026-07-31
137281|21|4|345|1|672|2026-04-04|2026-07-30
791888|14|4|33|1|493|2026-04-01|2026-07-30
118496|965|0|0|0|0||
335739|503|0|0|0|0||
98128|24|4|421|0|0|2026-03-30|2026-07-30
248824|23|3|9|0|0|2026-07-28|2026-07-29
49745|22|0|0|0|0||
529514|22|4|6283|0|0|2026-03-25|2026-07-30
137283|21|0|0|0|0||
151174|21|0|0|0|0||
172112|21|3|12|0|0|2026-07-29|2026-07-29
190274|21|0|0|0|0||
23123|21|4|29|0|0|2026-04-01|2026-07-30
282741|21|0|0|0|0||
282742|21|0|0|0|0||
291245|21|0|0|0|0||
298463|21|0|0|0|0||
417067|21|0|0|0|0||
417070|21|0|0|0|0||
417071|21|0|0|0|0||
419964|21|0|0|0|0||
49363|21|0|0|0|0||
498105|21|0|0|0|0||
498106|21|0|0|0|0||
502365|21|0|0|0|0||
51591|21|0|0|0|0||
131019|20|0|0|0|0||
245891|20|0|0|0|0||
291244|19|4|38|0|0|2026-04-03|2026-07-30
168242|15|0|0|0|0||
168243|15|0|0|0|0||
171228|15|0|0|0|0||
171229|15|0|0|0|0||
20546|14|0|0|0|0||
609155|14|0|0|0|0||
609156|14|0|0|0|0||
633013|14|0|0|0|0||
768323|14|0|0|0|0||
774861|14|0|0|0|0||
791889|14|3|8|0|0|2026-04-06|2026-07-30
798055|14|0|0|0|0||
798056|14|3|8|0|0|2026-07-28|2026-07-29
261145|8|0|0|0|0||
69559|8|0|0|0|0||
36379|7|0|0|0|0||
417068|7|0|0|0|0||
443152|7|0|0|0|0||
45714|7|0|0|0|0||
466189|2|0|0|0|0||
510563|2|0|0|0|0||
36010|1|0|0|0|0||
96499|1|0|0|0|0||
96500|1|0|0|0|0||
556927|0|164|1448|0|0|2026-02-19|2026-08-18
684930|0|2|57|0|0|2026-02-21|2026-08-18
684931|0|5|46|0|0|2026-07-10|2026-08-15
787478|0|14|23|0|0|2026-02-19|2026-08-16
787479|0|53|147|0|0|2026-02-19|2026-08-17
787480|0|53|73|0|0|2026-02-19|2026-08-16
787481|0|27|67|0|0|2026-02-19|2026-08-17
