adgroup_id,campaign_id,campaign_type,name,status,bid_amt,pc_weight,mobile_weight,cost_30d
grp-a001-02-000000070523564,cmp-a001-02-000000008425541,SHOPPING,Z폴드8와이드,ELIGIBLE,50,100,100,2851698
grp-a001-02-000000070991863,cmp-a001-02-000000010164717,SHOPPING,폴드8,ELIGIBLE,50,100,100,1380536
grp-a001-02-000000047005364,cmp-a001-02-000000008902804,SHOPPING,01. 버디필름,ELIGIBLE,50,100,100,1109270
grp-a001-02-000000054537529,cmp-a001-02-000000008425541,SHOPPING,S23울트라,ELIGIBLE,50,100,100,1022642
grp-a001-01-000000070512941,cmp-a001-01-000000010206612,WEB_SITE,폴드8_지문방지,ELIGIBLE,70,100,100,558871
grp-a001-02-000000070451363,cmp-a001-02-000000008425541,SHOPPING,Z폴드8울트라,ELIGIBLE,50,100,100,496584
grp-a001-02-000000054530371,cmp-a001-02-000000008425541,SHOPPING,S25울트라,ELIGIBLE,50,100,100,378713
grp-a001-02-000000044601438,cmp-a001-02-000000008492582,SHOPPING,16프로,ELIGIBLE,2590,70,100,328178
grp-a001-02-000000044108616,cmp-a001-02-000000008425541,SHOPPING,S24울트라,ELIGIBLE,1090,100,100,310458
grp-a001-02-000000070523694,cmp-a001-02-000000008425541,SHOPPING,Z플립8,ELIGIBLE,50,100,100,295636
grp-a001-02-000000045025483,cmp-a001-02-000000008425541,SHOPPING,노트20,ELIGIBLE,50,100,100,265089
grp-a001-02-000000059830874,cmp-a001-02-000000008425541,SHOPPING,Z폴드7,ELIGIBLE,50,100,100,217484
grp-a001-01-000000060480728,cmp-a001-01-000000010206612,WEB_SITE,S23울트라_지문방지_TPU,ELIGIBLE,70,100,105,215085
grp-a001-02-000000059820987,cmp-a001-02-000000008425541,SHOPPING,S20,ELIGIBLE,50,100,100,202387
grp-a001-02-000000054537533,cmp-a001-02-000000008425541,SHOPPING,노트20울트라,ELIGIBLE,50,100,100,201572
grp-a001-02-000000047485224,cmp-a001-02-000000008425541,SHOPPING,S25FE,ELIGIBLE,50,100,100,194831
grp-a001-01-000000062965454,cmp-a001-01-000000010206612,WEB_SITE,S26_지문방지_TPU,ELIGIBLE,70,100,105,185546
grp-a001-02-000000044300024,cmp-a001-02-000000008452546,SHOPPING,08. A24/A34,ELIGIBLE,1200,100,100,179687
grp-a001-02-000000044299892,cmp-a001-02-000000008452546,SHOPPING,02. S23FE,ELIGIBLE,1350,100,100,178428
grp-a001-02-000000062947040,cmp-a001-02-000000008425541,SHOPPING,S26울트라,ELIGIBLE,1200,100,100,169907
grp-a001-02-000000059879629,cmp-a001-02-000000008492582,SHOPPING,17프로,ELIGIBLE,50,70,100,168436
grp-a001-01-000000070513016,cmp-a001-01-000000010206612,WEB_SITE,폴드8울트라_지문방지,ELIGIBLE,70,100,100,164795
grp-a001-01-000000062965457,cmp-a001-01-000000010206612,WEB_SITE,S26울트라_지문방지_TPU,ELIGIBLE,70,100,105,162348
grp-a001-01-000000060554862,cmp-a001-01-000000010206612,WEB_SITE,폴드7_지문방지,ELIGIBLE,70,100,105,156617
grp-a001-01-000000060480724,cmp-a001-01-000000010206612,WEB_SITE,S24울트라_지문방지_TPU,ELIGIBLE,70,100,105,154009
grp-a001-02-000000047076797,cmp-a001-02-000000008883255,SHOPPING,01. 갤럭시탭S7시리즈,ELIGIBLE,50,70,100,151578
grp-a001-02-000000054538147,cmp-a001-02-000000008425541,SHOPPING,S22울트라,ELIGIBLE,50,100,100,145923
grp-a001-01-000000071340962,cmp-a001-01-000000010206612,WEB_SITE,폴드8울트라_사생활,PAUSED,70,100,100,143173
grp-a001-02-000000044490481,cmp-a001-02-000000008425541,SHOPPING,Z폴드5,ELIGIBLE,1700,100,100,134598
grp-a001-02-000000044601555,cmp-a001-02-000000008492582,SHOPPING,14프로,ELIGIBLE,1720,70,100,133779
grp-a001-02-000000044823468,cmp-a001-02-000000008492582,SHOPPING,15프로,ELIGIBLE,2970,70,100,132705
grp-a001-02-000000054537767,cmp-a001-02-000000008425541,SHOPPING,Z폴드4,ELIGIBLE,1100,100,100,130349
grp-a001-02-000000045023176,cmp-a001-02-000000008425541,SHOPPING,S20울트라,ELIGIBLE,50,100,100,125173
grp-a001-02-000000044108257,cmp-a001-02-000000008425541,SHOPPING,S23플러스,ELIGIBLE,50,100,100,116064
